move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
1952	in rage 1, 1, b or f+3, 2	m(Throw)	55	16 pc1~		Throw(KND)	Throw(KND)	Rage art	Mx_RageArts_nRv
1476	1 or f+1	h	7	10	+1	+8	+8		Mx_lplp00y
1478	1, 1	h, h	7,7	10	-3	+4	+4		Mx_lp00y
1517	1, 2	h, m	7,20	10	-17~-16	KND	KND		
1497	2 or f+2	Sm	15	15~16	-9~-8	0~+1	0~+1		Mx_4rp00
1542	3 or b+3	h	14	15	-8	+3	+3		Mx_6lk00
1553	4	h	12	14~15	-13~-12	+2~+3	+2~+3		Mx_rklky
1580	4, 3	h, h	12,17	14~15	-5~-4	+19k	KND	Tail spin, Homing	
1834	1+2 or WS+1+2	h	14	31 pc8~	-20	-8	-8	Power crush	Mx_saving3
	1+2, f, f (Cancel)	h	14	315 pc8~	-5	+7	+7		
	1+2, b, b (Cancel)	h	14	315 pc8~	-15	-3	-3		
	1+2, *	h	20	40 pc8~	-11	CS	CS	Power crush	
	1+2*, f, f (Cancel)	h	20	405 pc8~	+4	CS(21)	CS(21)	Power crush	
	1+2*, b, b (Cancel)	h	20	405 pc8~	-6	CS(11)	CS(11)	Power crush	
1830	1+2, (Hold long as possible)*	h!	25	65 pc8~54	CS	CS	CS	Power crush	Mx_saving_cn
	1+2 (Hold long as possible)*, f, f (Cancel)	h	25	65 pc8~	CS(21)	CS(21)	CS(21)	Power crush	
	1+2 (Hold long as possible)*, b, b (Cancel)	h	25	65 pc8~	CS(11)	CS(11)	CS(11)	Power crush	
1543	f+3	m	16	17	-4	+7	+7		Mx_3lk00
1971	f+4	h	20	16~17	-5~-4	KND	KND	Tail spin, Homing	
1537	f+1+2	mm	8,17	20,32	-8s	+7s	+7s		
	f+1+2 (Second hit miss)	m	5	20	–	–	–		Mx_6lrp2
1547	f+3+4	m (TJ)(TPORT)	20	22~23a js9~	-9~-8	+2~+3	+2~+3	Homing	
1587	d/f+1	m	10	13~14	-4~-3	+7~+8	+7~+8		Mx_3lpy2
1615	d/f+1, 1	m, h	10,7	13~14	-3	+6	+6		
1597	d/f+1, 2	m, mm	10,5,15	13~14	-13s	+7s	+7s		Mx_3lprp2G
1596	d/f+1, 2 (Third hit miss)	m, m	10,5	13~14	–	–	–		Mx_3lprp2
1508	d/f+2	m	10	16~17	-7~-6	+3~+4	+3~+4		Mx_3rplpy
1510	d/f+2, 1	m, m	10,10	16~17	-18~-17	Launch (JG?)	Launch (JG?)		Mx_3rplpG
1513	d/f+2, 4	m, m	10,13	16~17	-11	0	0		Mx_3rprklky
1539	d/f+2, 4, 3	m, m, m	10,13,23	16~17	-17~-16	KND	KND		
1569	d/f+3	m	14	12	-9	+1	+1		
1610	d/f+4	m	24	19	-16	KND	KND		Co_t_srk00
1599	d/f+1+2	m	20	20 pc8~	-14	KND	KND	Power crush	Mx_3lrparm
1570	d/b or d+1 or FC+1	Sm (TC)	5	10s cs4or1~	-5	+6	+6		Co_t_slp00y
1563	d/b or d+1, 2 or FC+1, 2	Sm (TC), Sm (TC)	5,6	s js1~	-13	-2	-2		Co_syarp00
1601	d/b or d+2 or FC+2	Sm (TC)	6	12s cs4or1~	-4	+7	+7		Co_t_slk00
	d/b or d+3 or FC+3 (Close)	l (TC)	10	15s cs6or1~	-13	-4	-4		
1627	d/b or d+3 or FC+3	l (TC)	7	15s cs6or1~	-13	-4	-4		
1611	d/b or d+4 or FC+4	l (TC)	17	17~18s cs6or1~	-27	KND	KND		Co_t_srk00G
1519	b+1	h	12	14~15	-14~-13	KND	KND		
1522	b+2	m	18	23~24	-9~-8	+8~+9	CS	Homing	
1968	b+4	l	15	20~21	-13~-12	+1~+2	+1~+2		
1554	f, F+2	m	14	15(16~)	-14	-2	-2		Mx_66rp_mis
1557	f, F+2:1	m, m	14,20	15(16~)	-13~-12	KND	KND		
1559	f, F+4	m	23	20~21 (21~)	0~+1	+2~+3s	+2~+3s		
1655	f, f, f+1	h	30	16~17 (19~)	+1~+2	KND	KND		
