move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2355	in rage b+1+2 in rage WS+b+1+2 in rage DES b+1+2	h x 6, (DES)	55	13(~43?) pc8~	+1	KND	KND	Rage art	Aa_RageArts02
1962	in rage f+2+3	m (TJ)m	12,25	16~17 ,36~37	0~+1	SPD	SPD	Rage art, Tail spin	Aa_66RP_EX
1964	in rage f+2+3, 3+4	m (TJ)m, (SBT)	12,25	16~17 ,36~37	+5~+6	SPD	SPD	Rage art, Tail spin	Aa_66RPLK_EX
	in rage f+2+3, f+3+4	m (TJ)m, (DBT)	12,25	16~17 ,36~37	+5~+6	SPD	SPD	Rage art, Tail spin
1603	1	h	7	10	+1	+8	+8		Aa_lp00F
1605	1, 1	h, h	7,18	10	-3	+5	KND		Aa_lplp_R
	1, 1, 1+2	h, h, (DES)	7,18	10	-3	+5	KND	
1612	1, 2	h, h	7,10	10	-2	+4	+9		Aa_lprp
1614	1, 2, 2	h, h, l	7,10,17	10	-11~-10	+2~+3	KND		Aa_lprprp
	1, 2, 2*	h, h, l	7,10,22	10	-10~-9	KND	KND	
1613	1, 2, 4	h, h, h	7,10,21	10	-5~-4	KND	KND	Tail spin	Aa_lprprk
1616	2	h	10	12	-6	+5	+5		Aa_rp00
1618	2, 3	h, m	10,8	12	-10~-9	+1~+2	+1~+2		Aa_rphiza
1619	2, 3, 3	h, m, m (TJ)	10,8,25	12a	-11~-9	KND	KND	Tail spin	Aa_rplklk
1685	2, 3, 4	h, m, l (TJ)	10,7,20	js24~	-13~-12	KND	KND		Aa_rplkrk
1617	2, 4	h, h	10,21	12	-5~-4	KND	KND	Tail spin	Aa_rprk
1625	3	m	12	13~14	-12~-11	-1~0	-1~0		Aa_lk00
1627	3, 2	m, m x 5, (DES)	12,4*5	13~14	-12	+5	+5		Aa_lkrp
1640	4	h	24	13~14	-5~-4	KND	KND	Tail spin, Homing	Aa_rk00
1622	1+2	m (TJ)	21	33~34 js7~	-5~-4	KND	KND		Aa_lrp00
1646,1647	f+2	m	12	17~18	-4~-3	+7~+8	+7~+8		Aa_rp00F
1648	f+2, 1	m, m, (DES)	12,20	17~18	-14	CS	CS		Aa_6rplp
1649	f+2, 1+2	m, (DES)	12	17~18	-4~-3	+7~+8	+7~+8		Aa_rp00Fchain
1650	f+2, 3	m, h (TJ)	12,8	js17~	-8	+4	+4		Aa_6rplk
	f+2, 3, f	m, h (TJ), (Special)	12,8	17~a	-12	0	0	
