move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2353	In rage b+3+4	m (throw)	55	20	-22	throw	throw	Rage art	Ak_RageArts02
1677	In rage f, N, d, d/f+1+2	h!	0	20	+24g	+24g	+24g	Rage drive
1579	1	h	7	10	+1	+8	+8		Ak_lp00F
1565	1,2	h, h	7,10		-1	+5	+5		Ak_lprpF
1566	1, 2, 1	h, h, m	7, 10, 17		-5	+1	+31g		Ak_rplu6
1567	2	l	10	10	+1	+7	+7		Ak_rp00
1568	2, 1	l, m	10, 12		-1	+7	+7		Ak_rplu4t
	3	h	25	17	-14	KND	KND	
	4	h	20	13	-5	+6	JG	
1569	1+2	m	10	17	-10	0	0		Ak_TurnElbow
1571	1+2, B	m (BT)	10		-10	0	0		Ak_ElbowUpSho
	1+2, 2	m, h	10, 20		-3	KND	KND	
	1+2, 3	m, m	10, 17		-13	+8	KND	
2236	3+4	m (TJ)	10	25 js11	-7	+3	+3		Ak_sokuten
2240	3+4, 1	m, m (TJ) (throw)	10, 25(,5)		0	Throw	Throw		Ak_sokubody
	3+4, 1	m, m (TJ)	10, 25		0	+2s	+2s	
2248	3+4, 2	m, m (TJ)	10, 25		-18	KND	KND		Ak_sokuelbow
1724	1+4	m!	25	52	KND	KND	KND		Ak_EXC00_
1580	f+2	m	12	15	-11	+2	+2		Ak_rp00F
1581	f+2, 1	m, h	12, 20		-9	KND	KND		Ak_6rplp
1584	f+3	m	17	16	-3	+4	+4		Ak_lk00F
1585	f+3, 4	m, m	17, 10		-7	+3	+3		Ak_lkrk00
1586	f+3, 4, 3	m, m, h	17, 10, 23		-7	KND	KND	Tail Spin	Ak_lkrklk00
	f+3, 4, 3 + b	m, m,	17, 10		-15			
1589	f+4	m	21	23	+2s	+7s	KND		Ak_rk00F
1582	f+1+2	m	25	20 pc8	-13	KND	KND	Power Crush	Ak_tataki
1722	f+1+4 or f+1~4	m	28	13	-20	KND	KND		Ak_Shoulder
1645	d/f+1	m	12	13	-1	+7	+7		Ak_t_slpF
1646	d/f+2	m	21	15	-12	-1	KND		Ak_t_srpF
	d/f+2, 1	m, h	21, 8		-12g	-1	-1	
1649	d/f+3	m	17	17	-5	+5	KND		Ak_t_slkF
	d/f+4	m	15	12	-4	+7	+7	
1648	d/f+1+2	m	20	23	-7	KND	KND	Homing, Tail spin	Ak_t_slrpF
1651	d/f+3+4	m (TC) (throw)	15(,30)	28 cs13	-18	-7	-7		Ak_frank00
1618	d/b or d+1	sm (TC)	5	10 cs4	-5	+6	+6		Ak_t_slp01
1690	d+1, 4 or FC+1, 4	sm, m	5, 13		-10	+6	+6		Ak_lpsru4u01
1619	d+2	m	17	17	-2	+5s	+9		Ak_t_srp00
1620	d+2, 4	m, m	17, 17		-14	-3	-3		Ak_t_srp01
1621	d+2, 4, 3	m, m, m	17, 17, 20		-11s	KND	KND		Ak_t_srp02
