move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2224	in rage d/f+1+2 or FC+d/f+1+2	m	55	20	-22	KND	KND	Rage art	Bx_RageArts_nRv2
1777	in rage b+1+2	m	30	18~19	+6~+7s	KND	KND	Rage art	Bx_sphiji_EX
1766	1	h	7	10	+1	+8	+8		Bx_lp00_2F
1767	1, 2	h, h	7,8	10	-2	+5	+5		Bx_lp00_3F
1772	1, 2, 1	h, h, m	7,8,18	10	-6	+6	CS		Bx_lprplp
1704	1, 2, 3	h, h, l	7,8,15	10	-12	+2	KND		Bx_lprplk00
1705	1, 2, 4	h, h, h	7,8,24	10	-3	KND	KND	Tail spin	Bx_lprk
1793	1, 4	h, h	7,14	10	-7	+4	+4		Bx_rprk_00
1726	1, 4, 2	h, h, h	7,14,18	10	-7	+4	CS	Rage art, Rage art	Bx_rkbRP_3_R_A
1724	1, 4, 2, 1	h, h, h, h	7,14,18,17	10	0	CS	CS	Rage art, Rage art	Bx_back_RP2
1716	1, 4, 2, 1, 2	h, h, h, h, h	7,14,18,17,22	10	-9	KND	KND		Bx_super2RP
	1, 4, 2, 1, u or d (Cancel)	h, h, h	7,14,18	10	-10	+1	CS	
1787	1, 4, 2, 4	h, h, h, m (TJ)	7,14,18,21	js16~	-5~-4	KND	KND	Tail spin	Bx_4RPRK
1788	1, 4, 2, 1, 4	h, h, h, h, m (TJ)	7,14,18,17,21	js16~	-5~-4	KND	KND	Tail spin	Bx_4RPLPRK
1794	1, 4, 3	h, h, m	7,14,15	16~	-10	+1	+1		Bx_rklk_00
1809	1, 4, 3, 3	h, h, m, h	7,14,15,18	16~	-7	+7	+7		Bx_midLK_LK
1614	2	h	10	10	+1	+7	+7		Bx_rp00R
1615	2, 3	h, m	10,14	10	-10	+6	+6		Bx_rplk
1620	3	m	14	16	-4	+7	+7		Bx_lk00
1760	3, 2	m, m	14,11	16	-10	+1	+1		Bx_GatGun02
1761	3, 2, 1	m, m, m	14,11,10	16	-9	+2	+2		Bx_GatGun03
1775	3, 2, 1, 2	m, m, m, m	14,11,10,14	16	-10	KND	KND		Bx_lp00_5F
1784	3, 2, 1, 4	m, m, m, l	14,14,10,12	16	-11	0	0		Bx_GatGun04
1818	3, 3	m, h	14,13	16	-6	+6	+6		Bx_LK_LK
1880	3, 3, 2	m, h, h	14,13,20	16	-7~-6	Launch	Launch	
1863	3, 3, 4	m, h, m	14,13,25	16	-12	KND	KND		Bx_smk_step
1623	4	h	15	12	-7	+6	Launch (JG?)		Bx_hiRK_LKrv
1819	4, 3	h, m	15,12	12	-10~-9	+2~+3	+2~+3		Bx_hiRK_LK
1821	4, 3, 4	h, m, m	15,12,16	12	-12	KND	KND	Tail spin	Bx_midco_RK
	4, 3, 4* (Very long hold)	h, m, m	15,12,25	12	-9~-8	KND	KND	Tail spin
1823	4, 3, f+4	h, m, h	15,12,18	12	-5~-4	+6~+7	KND		Bx_hico_RK
1570	1+2	m	16	17~18	-7~-6	+6~+7	+5~+6b	Homing	Bx_lrp00
1571	1+2, 2	m, m	16,20	17	-14	KND	KND		Bx_lrprp
1572	m, h	16,16	17	-1	+6	+6	
