move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
1999	in rage d/f+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art	It_RageArts02
1637	in rage b+4, 2, f	m, m, (STB)	11,21	20 8~17	+7	TKMD	TKMD	Rage drive	It_4rkrp_EXrv
1564	1	h	7	10	+1	+8	+8		It_lp00F
1565	1, 2	h, h	7,12	10	-1~0	+6~+7	+6~+7		It_lprpF
1566	1, 3	h, l	7,11	10	-12	-1	-1		It_lplkF
1567	2	h	10	12	-3	+3	+3		It_rp00
1568	2, 1	h, m	10,13	12	-6	+5	+5		It_6rplp
1569	2, 1, 2	h, m, m	10,13,25	12	-13~-11	KND	Tail spin	Tail spin	It_6rplprp
	3	h	21	12	-6	-1	JG		
1558	4	h	15	12	-8	+3	KND		It_rk00_R
1559	4, 3	h, h (TJ)	17,13	js17~	0~+1	+15kg	Tail spin	Homing, Tail spin	It_rklk
	1+2	m	20	17	-14	+2s	+2s		
1587	1+2 When hit 1+2	m, (throw)	20,20	17		0			It_zan_na
	1+2 When hit 1+2 When hit , b or f+2	m, (throw), (throw), (STB)	20,20,18	17		Throw(KND)	Throw(KND)		
	3+4	m (TJ), ?	20	24~26s js13~	-10~-8	KND	KND		
1544	f+2	h	9	12	0	+6	+6		It_rp00F2
1546	f+2, 1	h, m	9,12	12	-10~-9	+6~+7s	+6~+7s		It_rplp
1547	f+2, 1, 1+2	h, m, m	9,12,25	12	-18~-17	KND	KND		It_rplplrp
1548	f+2, 2	h, m(, (Special))(STB)	9,24	12	-26	CS	CS	Tail spin	It_rprp
1570	f+3	h (TJ)	27	18 js9~	0	+15k	Tail spin	Homing, Tail spin	It_6lk
1571	f+4	m	23	22~23	+4s	+4s	KND		It_rk00F
1578	f+1+2	m	10	16	-18	-7	-7		It_lrp
1579	f+1+2, 1+2	m, m	10,20	16	-14	KND	KND		It_lrp2n
1742	f+3+4	h	25	17~18	+2~+3	KND	KND	Homing	It_6lrk
