move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2128	in rage b+1+2	m (TJ)	55	20~21 pc8~17 js8~17	-22~-21	KND	KND	Rage art	Dj_RageArts_nRv
1731	in rage f, n, d, d/f+4, 3+4	l, mm (TJ), ?	10,5,5	js16~40	-14	BU	BU	Rage art	Dj_sjk03h_EX2_E
1560	1	h	7	10	+1	+8	+8		Dj_lp00F
1527	1, 1	h, h	7,6	10	-1	+8	+8		Dj_lpf
1528	1, 1, 2	h, h, m	7,6,12	10	-17	KND	KND		Dj_rp1
1529	1, 2	h, h	7,8	10	-1	+7	+7		Dj_lprpF
1530	1, 2, 2	h, h, h	7,8,12	10	-12	+4	+4		Dj_rprp01
1532	1, 2, 3	h, h, m	7,8,25	10	+4~+6	KND	KND		Dj_kakatL
1533	1, 2, 3, 4	h, h, m, m	7,8,25,30	10	0~+2	+11~+13s	+11~+13s		Dj_mrkS
1534	1, 2, 4	h, h, m	7,8,10	10	-10	+4	+4		Dj_lprphiza
	1, 2, 4~3	h, h, m (TJ)	7,8,21	js14~26	-7~-4s	KND	KND		
	1, 2, 4~1	h, h, Sm, h	7,8,5,5	14~26	-4	+3	+3		
	1, 2, 4~1 (First hit only)	h, h, Sm	7,8,5	14~26	-18~-17	-7~-6	-7~-6		
1536	2	h	9	10	0	+9	+9		Dj_rp00
1537	2, 2	h, h	10,20	10	-13	-2	-2		Dj_rprp00
	3	h	16	14	-14	-3	-3		
	4	h	21	16	-9	KND	CS		
1543	4~3 or WS+4~3	m (TJ)	21	29~32 (30~) js14~26	-7~-4s	KND	KND		Dj_hasai
1671	1+4	Sm, h	5,5	16~17,31	-4	+3	+3		Dj_cap03Y
1667	1+4 (First hit only)	Sm	5,5	16~17	-18~-17	-7~-6	-7~-6		Dj_cap01
1672	1+4, 2	Sm, h, h	5,5,10	16~17	-7~-6	+4~+5	+4~+5		Dj_cap03
1673	1+4, 2, 4	Sm, h, h, m	5,5,10,25	16~17	-13~-12	+2~+3s	+2~+3s		Dj_cap04
1674	1+4, 2, d+4	Sm, h, h, l?	5,5,10,14	16~17	-23	KND	KND		Dj_cap05
1561	f+2	m	14	17~18	-8~-7	+3~+4	+3~+4		Dj_rp00F
1562	f+2, 4	m, m	14,17	17~18	-10	+1	uKZD		Dj_rprk01
1567	f+3	h	30	21~23	-4~-2	KND	KND	Tail spin	Dj_spinlk
1568	f+4	m	10	15~16	-12~-11	-1~0	-1~0		Dj_hiza_up
1569	f+4, 3	m, m?	10,15	15~16a	-33~-32	Launch (JG?)	Launch (JG?)		Dj_6rklk
	f+4, 3, U	m, m?, (Special) (TJ)(FLY)	10,15	15~16a	-14~-13	Launch (JG?)	Launch (JG?)		
1564	f+1+2	mm	12,25	17~18, 45~46	-12~-11	KND	KND	Wall bounce	Dj_WP01F
	f+1+2, b	m	12	17~18	-18~-17	-8	-8		
1573	f+3+4	mm (TJ), ?	10,20	16~17, 31~32 js10~	-16~-15	KND	KND		Dj_WK01F
1623	d/f+1	m	11	13	-3	+8	+8		Dj_t_slpF
1624	d/f+1, 2	m, m	11,15	13	-8~-7	+3~+4	+3~+4		Dj_lusako
	d/f+1, 2, f, f	m, m, (Special)	11,15	13	-6~-5	+5~+6	+5~+6		
	d/f+2	m	15	15~16	-7~-6	+4~+5	Launch (JG?)		
1629	d/f+3	m	12	16~17	-9~-8	+2~+3	+2~+3		Dj_t_slkF
1630	d/f+3, 2	m, m	12,10	16~17	-13	-7	-7		Dj_3lkrp
1631	d/f+3, 2, 4	m, m, m?	12,10,20	16~17a	-33~-32	Launch (JG?)	Launch (JG?)		Dj_3lkrprk
	d/f+3, 2, 4, U	m, m, m?, (Special) (TJ)(FLY)	10,8,16	16~17a	-14~-13	Launch (JG?)	Launch (JG?)		
1633	d/f+4	m	10	13~14	-9~-8	+2~+3	+2~+3		Dj_t_srkF
1634	d/f+4, 4	m, m	10,16	13~14	-15~-14	-4~-3s	-4~-3s		Dj_syrrkB
1628	d/f+1+2	m	21	20~21s	-4~-3	+7~+8s	KND		Dj_t_slrpF
1609	d+1	m?	25	18~19 pc8~17	-14	KND	KND	Power crush	Dj_bodylp00
1618	d+3	l	14	18~19	-12~-11	-1~0	+7~+8s		Dj_t_slk00
1622	d+3+4	m, m (TJ)	5,20	15~16, 30~31 js16~	-15~-14	Launch (JG?)	Launch (JG?)		Dj_c20E
