move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2156	in rage d+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art	Cn_RageArts02
1799	in rage f, f, f+1+2	m	30	15~16 (18~)	+5s	Launch	Launch	Rage art	Cn_runrp00_EX
1804	in rage f, f, f+1+2, d/b+1+2	m, m(Throw)	30,5	15~16 (18~)	中Throw(KND)	中Throw(KND)	中Throw(KND)	Rage art	Cn_runrp00_EX_tac
1607,1562,1556	1	h	7	10	+1	+8	+8		Cn_lp00F,Cn_lp00rv,Cn_lplkR
1563	1, 1	h, h	7,8	10	-4	+7	+7		Cn_lplp
1564	1, 1, 3	h, h, m	7,8,22	10	-9~-8	KND	KND		Cn_lplplk
1568	1, 2	h, m	7,8	10	-9	+2	+2		Cn_lprpF
1570	1, 2, 1	h, m, m	7,8,20	10	-14~-13	KND	uKZD		Cn_lprplp
1566	1, 3	h, h	7,14	10	-7~-6	+1~+2	+9~+10		Cn_lplk
1567	1, 3, 2	h, h, m	7,14,20	10	-12~-11	KND	KND		Cn_lplkrp
	1, 3, 2~1+2	h, h, h(Throw)	7,14,40	10		Throw(KND)			
	1, 3, 2~1+2 B (Cancel)	h, h, (Special)	7,14	10	-32~-31	-24~-23	-16~-15		
1571	2	h	10	10	0	+9	+9		Cn_rp00
1572	2, 1	h, h	10,8	10	-2	+6	+6		Cn_rp_lp
1573	2, 1, 3	h, h, h	10,8,24	10	-9~-8	KND	KND		Cn_rplplk
1574	2, 1, 4	h, h, l	10,8,14	10	-12	+3s	+3s		Cn_rplprk
1585	3	m	10	15~16	-9~-8	+2~+3	+2~+3		Cn_lk00
1586	3, 1	m, h	10,8	15~16	-2~-1	+7~+8	+7~+8		Cn_lklp
	3, 1, df	m, h	10,8	15~16	0	+8	+8		
1591	3, 1, 2	m, h, m	10,8,24	15~16	-12~-10	KND	KND		Cn_lklprp
1589	3, 1, 4	m, h, h	10,8,27	15~16	-9	KND	KND		Cn_lklprk
1597	4	h	15	12	-9	-1	+7		Cn_rk00
1601	4, 1	h, h	15,12	12	-6~-5	+8~+9	+8~+9		Cn_rklp
1603	4, 3	h, m	15,20	12	-12~-11	KND	KND		Cn_rkkkt
1602	4, 4	h, m (TJ)	15,23	s js22~	+3~+4	KND	KND	Tail spin	Cn_rkrk
2151	1+2	m	25	21~22 pc8~20	-14	KND	TUKD	Power crush	Cn_spam
1540	3+4	h (TJ)	25	25~26d js13~	-14~-13	CS	CS		Cn_Flyk
	3+4, Any button	h (TJ), (Special)	25	25~26s js13~	-24~-23g	CS	CS		
1608	f+2	h	16	19~20	-8~-7	+3~+4	+8~+9		Cn_rp00F
1611	f+2, 4	h, m	16,24	19~20	-7~-6	KND	uKZD		Cn_ElKnee
1613,1614	f+3	m	11	20	-6	+2	+2		Cn_lk00F,Cn_lk00F2
	f+3, D/F	m, (Special)	11	20	-1	+7	+7		
1615	f+3, 2	m, h	11,20	20	-9~-8	KND	KND	Tail spin	Cn_6lkrp
	f+3, 3	m, m(, (throw))	11,14(,20)	20	-12	Throw(KND)	Throw(KND)		
	f+3, 3*	m, m	11,14	20	-12~-9	-1~+2s	+4~+7s		
1618	f+4	h	16	14~15	-7~-6	+4~+5	+4~+5		Cn_rk00F
1620	f+4, 4	h, h	16,14	14~15	-11~-10	0~+1	Launch (JG?)		Cn_6rk6rk
1621	f+4, 4, 3	h, h, h	16,14,20	14~15	-5~-4	KND	KND		Cn_6rk6rklk
1619	f+4, d+4	h, l	16,12	14~15	-12	+3s	+3s		Cn_6rk2rk
1612	f+1+2	h	20	17~18	-9~-8	KND	KND	Tail spin	Cn_lrpf00
1696	d/f+1	m	13	13	-2	+7	+7		Cn_t_slpF
1697	d/f+1, 4	m, h	13,23	13	-7~-6	KND	KND		Cn_t_slpF_rk
1698	d/f+2	m	14	15~16	-12~-11	Launch (JG?)	Launch (JG?)		Cn_t_srpF
1699	d/f+3 (Close)	m(, (throw))	16(,20)	17	-6	Throw(KND)	Throw(KND)		Co_t_slkF
	d/f+3	m	16	17~20	-6~-3	+5~+8s	+10~+13s		
	d/f+4	m	14	12	-9	+2	+2		
	d/f+1+2 or FC+d/f+1+2	(Special)(lReturns move)	20～	12(s)		Attack returned(KND)			
1718	d/f+3+4	m	23	22~24	-7~-5	+12~+14	+12~+14	Tail spin	Cn_3lrk
1670	d+1	m	18	18~19	+1~+2s	+8~+9s	KND		Cn_t_slp00
1677	d+2	l (TC)	17	18~19s cs6~	-13~-12	0	+13~+14g		Cn_lowknife
1692	d+3	l	13	17~18	-14~-13	-3~-2	0~+1s		Co_t_slk00
1811	d+3, 4	l, m	13,18	17~18	-11	+5	+23g(KND)		Cn_maegeri
1790	d+4	l	12	15~16	-15~-14	-9~-8	-4~-3		Cn_t_srk
1792	d+4, 1	l, h	12,8	15~16	-11~-10	+5~+6	+5~+6		Cn_lohoura
