move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2212	in rage b+3+4	m (TJ)	55	20 js8~17 pc8~17	-23	KND	KND	Rage art	Cp_RageArts02
2219	in rage f, F+3+4	mm, (RLX)	12,20	15~17, 49~50a (16~) 2js40~	+12~+13	KND	KND	Tail spin, Rage art	Cp_66lrk_EX2
1557	1	h	7	10	+1	+8	+8		Cp_lp00F
1529	1, 2	h, h	7,12	10	-4	+5	+5		Cp_lprpF
	1, 2, f	h, h, (HSP)	7,12	10	-4	+4	+4		
	1, 2, 4	h, h, (Special) (TJ)	7,12	10s	-26(20a)	-17	-17		
1612	1, 3	h, m, (HSP)	7,15	10a	-14~-10	-3~-1s	KND		Cp_t_slkF2
	1, 3, D	h, m, (RLX)	7,15	10a	-12~-10	-1~+1s	-1~+1s		
	2	h	10	10	0	+8	+8		
1538	3	h	17	18~20	-9~-7	+7~+9	CS	Homing	Cp_29lk02_7CS
1739	3, 4	h, m	17,23	js48~	-4~-2	KND	KND	Tail spin	Cp_29lk01_7CS
1774	3~4	ll (TC), (RLX)	10,10	29~30,37 (29~) cs7~ar8~	-24	KND	KND		Cp_oplrk00E_7CS
1769	3~4 (First hit only)	l (TC), (RLX)	10	29~30 (29~) cs7~ar8~	-24	-25~-24	-25~-24		Cp_oplrk00_7CS
	3~4B	ll (TC), (HSP)	10,10	29~30,37 a(29~) cs7~ar8~		KND	KND		
1839	3~4, 3	ll (TC), m, (RLX)	10,10,21	29~30,37 (29~) 7~8~a	-14~-13	Launch	Launch		Cp_51rk34step
1752	3~4, 4	ll (TC), l (TC)	10,10,15	s cs1~	-7~-5	+9~+11	+9~+11		Cp_lk51rk00
1776	3~4, 3+4	ll (TC), m	10,10,18	js12~	-17~-10	+2~+9(s)	KND		Cp_oplrk25dk_7CS
	4	m	14	12	-9	0	0		
1778	4~3	m	16	19~22 (19~)	-28~25	-17~-14	-17~-14		Cp_oprlk00E
1708	4~3, 3	m, m, (RLX)	16,17	cs1~19 a20~	-5~-4	+6~+7	KND		Cp_rlk34lk
1747	4~3, 4	m, m (TJ)	16,28	js15~	-2~0	KND	KND		Cp_rlk26rk
1699	1+2	hh	12,15	12,27~28	0~+1	+6~+7	+6~+7		Cp_oplrp00E
1702	1+2~3	h, m	12,17	12,35	-23~-20	Launch (JG?)	Launch (JG?)		Cp_rp50lk00
1552	3+4	m	20	36~40a cs4~19 js21~	-9~-5	KND	KND		Cp_16dk00
	3+4, B (Cancel)	(Special) (TC)(HSP)		a cs4~					
	3+4, 3 (Cancel)	m (TC), (Special)	15	35~37a cs4~	-1~+1	+9~+11	+9~+11		
1558	f+2	h	11	12	-9	+2	+2		Cp_rp00F
1654	f+2, 1	h, h	11,11	12	-9~-8	+2~+3	+2~+3		Cp_rplp00F
1716	f+2, 1, 4	h, h, m	11,11,21	12	-14~-13	KND	Tail spin	Tail spin	Cp_02lprk_7CS
1560	f+2, 3	h, m (HSP)	11,20	12	-5~-4	+6~+7	+6~+7		Cp_6rplk
1561	f+3	m (HSP)	15	18~20a cs4~11	-3~-1	+7~+9	+7~+9		Cp_lk00F_7CS
1562	f+4	m	10	23~28 ar16~	-23~-18	-12~-7	-12~-7		Cp_rk00F_7CS
	f+4, B	m, (HSP)	10	23~25 ar16~	-1~+1	+10~+12g	+10~+12		
1564	f+4, 3	m, m	10,17	ar1~	-11~-8	0~+3s	0~+3s		Cp_46rklkw00
1565	f+4, 3, 3+4	m, m, mm	10,17,7,21	ar21~	-14~-13	KND	KND		Cp_46rklkw01
1831	f+4, 3+4	m, ll (TC), (Special)	10,10,10	cs2~ar1~	-24	KND	KND		Cp_rktmsk01
1510	f+3+4	mm	14,16	17~18, 27~30 ar9~25	-4~-1	KND(KND)	KND(KND)		Cp_newsokuten2_7CS
1605	d/f+1	m	10	13~14	-2~-1	+6~+7	+6~+7		Cp_t_slpF
	d/f+1, F	m, (HSP)	10	13~14a	-8~-7	+1~+2	+1~+2		
1607	d/f+1, 1	m, h	10,8	13~14	-4	+8	+9		Cp_hizilp
1610	d/f+2	m	15	15~16	-9~-8	SH	Launch (JG?)		Cp_t_srpF
1611	d/f+3	m, (HSP)	15	15~18a	-10~-7	+1~+4s	KND		Cp_t_slkF
	d/f+3, D	m, (RLX)	15	15~18a	-12~-9	-1~+2s	KND		
1613	d/f+4	l	17	18	-14	-1	KND		Cp_t_srkF
1616	d/f+3+4	m	17	15~18	-23~-20	Launch (JG?)	Launch (JG?)		Cp_50lk_7CS
