move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2199	in rage d+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art	Ta_RageArts02
1810	in rage b+1+2*	m	35	13~14	+3~+4 (wl+9)	KND	KND	Rage drive	Ta_tetuzan_EX
1711	1	h	7	10	+1	+8	+8		Ta_lp00F
1789	1, 1	h, m	7,21	10	-11~-10	+2~+3	CS		Ta_lplp_10
1791	1, 1, 2	h, m, m	7,21,5	10	-14~-13	-3~-2	-3~-2		Ta_10comb3
1792	1, 1, 2, 1	h, m, m, m	7,21,5,5	10	-14~-13	-1~0	-1~0		Ta_10comb4
1570	1, 2	h, h	7,9	10	-1	+7	+7		Ta_lprp
1571	1, 2, 2	h, h, h	7,9,10	10	-13	+3	+3		Ta_lprprp
	1, 2, 2, b	h, h, h	7,9,10	10b	-11	+5	+5		
1573	1, 3	h, h	7,17	10	-5~-4	+6~+7	Launch (JG?)		Ta_lplk
1589	2	h	8	10	-3	+5	+5		Ta_rp00
1593	2, 4	h, m	8,10	10	-12	-1	-1		Ta_rprk
1594	2, 4, 1	h, m, m	8,10,20	js12~19	-13	KND	KND		Ta_syourinCom
	2, 4, 1, b (Cancel)	h, m	8,10	12~19b	-13	-2	-2		
1615	3	h	15	16	-11	0	0		Ta_lk00
1616	3, 3	h, h	15,18	16	-10	+1	+1		Ta_lk01
1617	3, 3, 4	h, h, l	15,18,23	16b	-12~-11	KND	KND		Ta_lk02
	3, 3, 4, b (Cancel)	h, h	15,18	16b	-13	-2	-2		
1623	4	h	17	11	-8	+3	KND		Ta_rk00
1590	2~1	m	10	24~25 (24~)	-3~-2s	+8~+9s	+8~+9s		Ta_t_srpF
1591	2~1, 1	m, m	10,20	24~25 (24~)	-13~-12	Launch	Launch		Ta_t_srpFup
1619	3~4	m (TJ)	27	34~36 (35~) js20~	-7~-5s	KND	KND		Ta_senpu
	3~4, b	m (TJ)	27	34~36b (35~) js20~	-2~-0s	KND	KND		
1621	3~4, 3	m (TJ), l	27,21	s cs6~	-26~-14	KND	KND		Ta_kousoutai2
1624	4~3	m (TC)	25	27~36a (28~) js15~	-4~+5	+4~+13s	KND		Ta_hasai
1583	1+2	m(Absorbs 1 h/m hit)	24	21~22 (2~9)	-12	CS(KND)	CS		Ta_kaityuu
1575	1+4	lh	7,10	21~22, 41~42	-31s	+6~+7	+6~+7		Ta_RKsLP2
	1+4 (Second hit only)	h	10	41	-2~-1	+6~+7	+6~+7		
1713	f+2	m	12	16~17	-8~-7	+3~+4	FS (+10~+11g) 23~24		Ta_rp00FH
1715	f+2, 1	m, m	12,10	16~17	-5	+6	+6		Ta_keiipon_Y
1716	f+2, 1, 2	m, m, m	12,10,20	16~17	-19~-18	KND	KND		Ta_tetuzan3
1717	f+3	m	10	21	-3	+9	+9		Ta_tukilk
1722	f+3, 4	m, m (TJ)	10,20	js21~	-16~-15	Launch (JG?)	Launch (JG?)		Ta_tukilk2
1724	f+4	h (TJ)	15	18~19	-9~-8	CS	CS		Ta_rk00F
	f+4, B	h (TJ)	15	18~19b	-5~-4	CS	CS		
1729	f+4, 3	h (TJ), m	15,30	18~19	-10~-7	KND	KND		Ta_rk00F_2
	f+4, 4 (Close)	h (TJ), l (TC)	15,22	cs10~	-12	KND	KND		
1730	f+4, 4	h (TJ), l (TC)	15,15	cs10~	-12~-10	-1~+1	KND		Ta_zensoutai2
1803	f+1+2	h	28	19~20	-9~-8	KND	KND	Tail spin, Homing	Ta_6lrp
	d/f+1	m	12	14	0	+6	+36g(m)		
1763	d/f+2	m	15	20	-9	+4	+4		Ta_shokinda
1764	d/f+2, 2	m, m	15,21	20	-6~-5	KND	KND	Wall bounce	Ta_sunkei1
1765	d/f+3	m	21	18~19	-7~-6	Launch	Launch		Ta_sokuteki
1766	d/f+4	m	14	15	-6	+5	+5		Ta_t_srkF
1768	d/f+4, 2	m	14,15	15	-11	+1	+1		Ta_3rkrp
1769	d/f+4, 2, 1+2	m	14,12,23	15	-19	KND	KND		Ta_3rkrplrp
1767	d/f+4, 3	m	14	18	15	-6	+13g	+13g	Ta_3rklk
1771	d/f+3+4	m	23	23~27	-8~-4	KND	KND	Homing, Tail spin	Ta_CircleKick
1753	d+2	l (TC)	17	20~21s cs6~	-12~-11	-1~0	KND		Ta_hebi
1756	d+4	l	7	14~15	-11~-10	0~+1	0~+1		Ta_rakuyou
1757	d+4, 1+2	l, m	7,22	14~15	-10	KND	KND		Ta_rakuyou_P
1576	d/b+1	m	12	16	-12	+4	+4		Ta_t_slp00B
1578	d/b+1, 2	m, m	12,18	16	-11	+7~+8	KND		Ta_shokinda2
	d/b+1, F	m, (STC)	12	16	-16	0	0		
	d/b+1, F (After stance ends)	m, (STC)	12	16	-41	-25	-25		
	d/b+1, B	m, (KNP)	12	16	-9	+7	+7		
	d/b+1, B (After stance ends)	m, (KNP)	12	16	-35	-19	-19		
1577	d/b+1, 4	m, h	12,23	16	-2~-1	KND	KND	Tail spin	Ta_1lprk
1601	d/b+2	l (TC)	10	20~21 cs6~	-11~-10	0~+1	0~+1		Ta_senkai
1602	d/b+2, 2	l (TC), l (TC)	10,10	cs1~	-17~-15	KND	KND		Ta_senkai2
