move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2159	in rage d/b+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art	Sm_RageArts02
2172	in rage d/f1+4	m	19,24	23~24	-6	KND	KND	Rage drive	Sm_RD02_EX
1588	1	h	10	12	+3	+9	+11		Sm_lp00F
1589	1, 2	h, h	10,10	12	-1	+7	+10		Sm_lprp00
1590	1, 2, 1	h, h, h	10,10,8	12	-1	+7	+10		Sm_rplp00
1591	1, 2, 1, 2	h, h, h, h	10,10,8,5	12	-1	+7	+10		Sm_lprp01
1592	1, 2, 1, 2, 1	h, h, h, h, h	10,10,8,5,5	12	-1	+7	+10		Sm_rplp01
1593	1, 2, 1, 2, 1, 2	h, h, h, h, h, h	10,10,8,5,5,5	12	-18	-7	-7		Sm_lprp02
1594	1, 2, 1, 2, 1, 2, 1	h, h, h, h, h, h, h	10,10,8,5,5,55	12	-18	-7	-7		Sm_rplp02
1595	1, 2, 1, 2, 1, 2, 1, 2	h, h, h, h, h, h, h, h	10,10,8,5,5,5,5,5	12	-18	-7	-7		Sm_lprp03
1558	2	h	12	12	+1	+7	+9		Sm_rp00
1560	2, 1	h, h	12,12	12	-3	+8	+8	Jails	Sm_rplp
1562	2, 1, 2	h, h, m	16,16,27	14	-13~-12 OC	Launch	Launch		Sm_rplprp
	2, 1, 3+4	h, h	12,12	12	+1	+12	+12	Ends in TAI	
1559	2, 4	h, l	12,14	12	-12	-1	-1		Sm_rprk
1568	3	h	22	16	-8	KND	KND		Km_lk00
1569	3, 4	h, h	22,20	16	-8	+3	+3		Sm_double_00
1603	3, 4, 3	h, h, h	22,20,25	16	-12	KND	KND		Sm_lk002
	3, 4, 3, 4, , 	h, h, h, h, ,	22,20,25,20,,	16	-8	+3	+3		
	3, 4, 4	h, h, m	22,20,17	16	-12~-10 OC	KND	KND		
1570	4 or f+4	h	20	15~16	-8~-7	+3~+4	+3~+4		Km_rk00
1604	4, 4	h, m	20,18	15~16	-12~-10 OC	KND	KND		Sm_rk02
	4, 3	h, h	20,25	15~16	-12	KND	KND		
	4, 3, 4	h, h, h	20,25,20	15~16	-8	+3	+3		
	4, 3, 4, 3, , 	h, h, h, h, ,	20,25,20,25,,	15~16	-12	KND	KND		
1565	1+2	m	19	19~20	-12~-11	+8~+9 OC	Launch		Sm_lrp
1566	1+2, 1+2	m, m	19,22	19~20	-13~-12	Launch	Launch		Sm_lrp2
	1+2, 3+4	m	19	19~20	-3~-2	+17	Launch		
1704	TAI 1	h	17	11	-3	+8	CS		Sm_kmlp
1707	TAI 2	h	20	14~15	-9	KND	CS	Homing, tail spin	Sm_harite00
1698	TAI 3	l	24	20~21	-12~-11	+9~+10	+9~+10		Sm_kmlk
1700	TAI 4	m	14	13~14	-14	-3	CS		Sm_kmrk
1701	TAI 4, 1	m,h	14,20	13~14	-9~-8	+10g~+11g	+10g~+11g	Tail spin	Sm_kmrklp
1702	TAI 1+2	m	15	23 (pc8~23)	-12	Throw(0)	Throw(0)	Power crush	Sm_kmtukami
1708	TAI f+2	m	20	18	-15	CS(JG)	CS(JG)		Sm_km6RP
1696	TAI f+1+2	m	35	20~25	-24~-19	KND	KND	DOSUKOI CANNON	Sm_divinghead
	TAI d/f+1+2	parry	0	??	–	+16 (?)	–	Command low parry	
1705	TAI db+1+2	!	40	50~59	KND	KND	KND		Sm_kamasi00_Old
1697	TAI d/b+1+2	l	20	22~30	-24~-16	KND	KND		Sm_harasuberi
1596	f+2	m (TC)	14	14	-12	+1	CS		Sm_rp00F
1597	f+2~1	h	16	16(17~)	+4	+12	+12		Sm_neko_00
1600	f+3	h	25	18	-6	KND	KND		Sm_lk00F
1598	f+1+2	h	30	14	-12	KND	KND		Sm_SPharite
1606	f+3+4	m	28	23~24 pc8~24	-13~-12	KND	KND	Power crush	Sm_kamasi01
1674	d/f+1	m	12	13~14	-5~-4	+6~+7	+6~+7		Sm_t_slpF
1675	d/f+1, 4	m, m	12,12	13~14	-13	-2	-2		Sm_slp_rk00
1676	d/f+1, 4, 1	m, m, h	12,12,10	13~14	-6	+8	+8		Sm_slp_rk02
1678	d/f+2	m	16	16~17	-11~-10	Launch (JG?)	Launch (JG?)		Sm_t_srpF
1679	d/f+2, 1	m, h	17,10	16~17	-7	+4	+4		Sm_ruplp00
	d/f+2, 1, 2	m, h, h	17,10,10	16~17	-1	+7	+10		
	d/f+2, 1, 2, 1	m, h, h, h	17,10,10,8	16~17	-1	+7	+10		
	d/f+2, 1, 2, 1, 2	m, h, h, h, h	17,10,10,8,5	16~17	-1	+7	+10		
	d/f+2, 1, 2, 1, 2, 1	m, h, h, h, h, h	17,10,10,8,5,5	16~17	-1	+7	+10		
	d/f+2, 1, 2, 1, 2, 1, 2	m, h, h, h, h, h, h	17,10,10,8,5,5,5	16~17	-18	-7	-7		
	d/f+2, 1, 2, 1, 2, 1, 2, 1	m, h, h, h, h, h, h, h	17,10,10,8,5,5,5,5	16~17	-18	-7	-7		
	d/f+2, 1, 2, 1, 2, 1, 2, 1, 2	m, h, h, h, h, h, h, h, h	17,10,10,8,5,5,5,5,5	16~17	-18	-7	-7		
1685	d/f+3	l	17	16~17	-12~-11	+5~+6 OC	+5~+6 OC		Sm_t_slkF
1686	d/f+4	m	14	15	-30	-19	-19		Sm_t_srkF
1687	d/f+4, 1	m, h	14,13	15	-9	-3	-3		Sm_3rklp_00
1688	d/f+4, 1, 2	m, h, m	14,13,20	15	-14~-13	KND	KND		Sm_3rklprp
1683	d/f+1+2	mm	10,10	20,37	-7	+4	+4		Sm_com_02
1684	d/f+1+2, 1	mm, m	10,10,21	20,37	-16~-15	KND	KND		Sm_com_03
1680	d/f+2+3	l (TC)	23	22~23 RC	-15~-14	KND	KND		Sm_lwhari00
1649	d+1	m	22	25~26	+3~+4 OC	+7~+8 OC	Launch		Sm_t_slp00
	d+1, 3+4	m, (Special) (TC)	22	25~26	+5~+6 OC	+9~+10 OC	Launch		
1651	d+2	l (TC)	15	29	-14	-3	-3		Sm_t_srp00
1657,1659	d+2, 2, , , 	l (TC), , ,	15,10,,,	29	-17	-11	-11		Sm_kabuki00,Sm_kabuki02
	d+2, 1	l (TC), m	15,12	29 RC	-7	-1	+1		
1672	d+4	l	18	21	-14	-3	Launch		Co_t_srk00
