move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2169	in rage d+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art	He_RageArts_nRv
1624	in rage b+2, 1+2	m, h	20,21	20 8~17	+9~+10s	JG	JG	Rage drive	He_rp00B_zutukiEX
	in rage 1, b+2, 1+2	h, m, h	7, 20,21	10	+9~+10s	JG	JG	Rage drive
1598	1	h	7	10	+1	+8	+8		He_lp00F
1567	1, 1	h, h	7,6	10	-1	+8	+8		He_lpf
1568	1, 1, 2	h, h, m	7,6,12	10	-17	KND	KND		He_rp1
1569	1, 2	h, h	7,8	10	-1	+7	+7		He_lprpF
1570	1, 2, 2	h, h, h	7,8,12	10	-12	+4	+4		He_rprp01
1572	1, 2, 2~1+2	h, h, m	7,8,25	10	-6~-5	KND	KND		He_Gosyouh1
	1, 2, 2~1+2 u or d	h, h, (Special)	7,8	10	-16	-9	-9	
1574	1, 2, 4	h, h, h	7,8,21	10	-9	KND	CS		He_rprkf
1575	1, b+2	h, m	7,21	10	-2	+8	+8		He_SHINJYUKU
1577	1, b+2, 1	h, m, m	7,21,20	ar36~	-15~-11	Launch	Launch		He_lp4rplp
1578	1, b+2, 4	h, m, m (TJ)	7,21,30	js17~	+5	KND	KND		He_SHINJYUK3
1579	2	h	10	10	0	+9	+9		He_rp00
1580	2, 2	h, h	10,18	10	-13	-2	-2		He_rprp00
	2, 2~1+2	h, m	10,25	10	-6~-5	KND	KND	
	2, 2~1+2 u or d	h, (Special)	10	10	-14	-5	-5	
1590	3	h	15	14	-10	+1	+1		He_lk00
1591	3, 4	h, m	15,20	14	-14~-13	+3~+4	CS		He_lkrk00
	4	h	21	16	-9	KND	CS	
1593	4~3 WS+4~3	m (TJ)	25	35~37d (36~) js10~	-11~-9	KND	KND		He_hasai
1587	1+2	m	25	12~13	-12~-11	KND	KND		He_Gosyouha
1599	f+2	h	13	15~16	-9~-8	+2~+3	+2~+3		He_rp00F
1600	f+2, 3	h, m	13,20	15~16	-3~-1	KND	CS		He_6rplk
1581	f+2~1+2	m	25	16(17~)	-6~-5	KND	KND		He_Gosyouh2
	f+2~1+2 u or d	(Special)		16(17~)				
1605	f+3	m	20	18~20	-3~-1	KND	CS		He_lk00F
1608	f+4	m	20	19~20	+4~+5s	+7~+8s (+13~+14)	KND		He_mrk
1603	f+1+2	h	15	12~13	-14~-13	KND	KND		He_zutuki
1658	d/f+1	m	10	13~14	-1~0	+9~+10	+9~+10		He_m_p01
1660	d/f+1, 1	m, h	10,8	13~14	-2	+4	+4		He_3lplp_00
1661	d/f+1, 2	m, m	10,24	13~14	-13~-12s	KND	KND		He_musou03
	d/f+2	m	14	15~16	-7~-6	+4~+5	Launch (JG?)	
	d/f+4	m	15	12	-6	+5	+5	
1668	d/f+1+2	m	25	24~25 pc8~23	-14~-13	KND	KND	Power crush	He_s_lprk
1679	d+1	m	16	17~18	-9~-8	+2~+3	+2~+3		He_kawara
	d+1, D	m	16	17~18s	-9~-8	+2~+3	+2~+3	
1680	d+1, 2	m, m	16,17	17~18	-9~-8	+6~+7	KND		He_2lprp
1686	d+3 or d/f+3+4	m	25	22~23	-7~-6s	KND	KND		He_t_slk00
1761	d+1+4	!	50	60	KND	KND	KND		He_OTOKO3n
1683	d+2+3	(Special)!	0	63	-3	-3(KND)	-3		He_t_srp02
1673	d/b+2	l (TC)	23	23~25s cs8~	-18~-16	+5~+7s	+5~+7s		He_t_srp00
1676	d/b+1+2	mm?	10,20	21~22, 38~39	-13~-12	+5~+6	+5~+6		He_Rkan2
1620	b+1	h	14	15~16	-11~-10	-5~-4	-5~-4	Homing	He_binkiri
