move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2326	in rage LFS or RFS d+3+4	m	55	20 pc8~17	-7	KND	KND	Rage art	Hw_RageArts00
1650	in rage d+3+4	lm	7,10	12,28~29	-4	0	0	Rage drive	Hw_t_slklk00
1652	in rage d+3+4, 4	lm, m (TJ)(RFF)	6,9,27	js14~	7s	JG	JG	Rage drive	Hw_slklklk00
1518	in rage u/f+3, 4, 3+4	m (TJ), m, hh	16,15,17,27	28F	+4	KND	KND	Rage drive	Hw_rsk03_EX
	in rage LFS u/f+3, 4, 3+4	m (TJ), m, hh	14,13,17,27	js1~	+4	KND	KND	Rage drive	
1608	1	h	7	10	+1	+8	+8		Hw_lp00F
1807	1, 1	h, h	7,8	10	-2	+6	+6		Hw_lplp00
1815	1, 1, 3	h, h, l	7,8,10	10	-12	-1	-1		Hw_lpllk
1816	1, 1, 3, 3	h, h, l, h	7,8,10,14	10	-14	-3	-3		Hw_llkhlk
1577	1, 2	h, h	7,10	10	-1	+7	+8		Hw_lprpF
	1, 2, 3	h, h, (Special)	7,10	10	+3	+11g	+12		
	1, 2, 4	h, h, (Special)	7,10	10	+3	+11g	+12		
1833	1, 2, f+3	h, h, m	7,10,14	10	-8	+3	+3		Hw_rplk00F
1909	1, 2, f+4	h, h, h (TJ)	7,10,34	js14~	0	Tail spin	Tail spin	Tail spin	Hw_rpjprk00
1582	2	h	9	10	0	+8	+9		Hw_rp00
	2, 3	h, (LFS)	9	10	+3	+11g	+12		
	2, 4	h, (RFS)	9	10	+3	+11g	+12		
	2, f+3	h, m	9,14	10	-8	+3	+3		
	2, f+4	h, h (TJ)	9,34	js14~	0	Tail spin	Tail spin	Tail spin	
1585	3	h	15	14	-7	+4	+4		Hw_lk00
1812	3, 3	h, m	15,12	14	-13	-7	-2		Gpe_lk01
	3, 3, F	h, m, (LFS)	15,12	14	+2	+8	+13		
1670	3, 3, 3	h, m, m	15,12,15	14	-14	KND	KND		Hw_t_slklk
1902	3, 3, 4	h, m, h, (RFS)	15,12,15	14	10g	20g	20		Hw_lk01rk00
1671	3, 3, d/f or f+4	h, m, h	15,12,23	14	-1	KND	KND		Hw_3lkrk
1924	3~4	mm (TJ)	11,21	22	-3	KND	KND		Hw_dk00E
1592,1593	4	h	14	11	-6	+5	+5		Hw_rk00
1825	4, 3	h, m(LFF)	16,14	11	-6	+5	KND		Hw_rklk00
	4, 3, f (Cancel)	h, (LFS)	14	11	-6	+5	+5		
1869	4, 4	h, h, (RFS)	14,13	11	-1	+10g	+10		Hw_rkrk00
1894	4, f+4	h, h(RFF)	14,13	11	-5	+6	+6		Hw_rkrkLR00
	4, 4, 3	h, h, m(RFF)	14,13,20	11	-15s	KND	KND		
1898	4, 4, 4	h, h, h, (RFS)	14,13,10	11	-1	+10g	+10		Hw_3rk00
1900	4, 4, f+4	h, h, h(RFF)	14,13,25	11	-6	+5	+5		Hw_3rkLR00
1901	4, 4, 4, 4	h, h, h, h(RFF)	14,13,10,20	11	+2	KND	KND		Hw_3rkrk00
	4, 4, 4, 3	h, h, h, m(RFF)	14,13,10,20	11	-15s	KND	KND		
	1+2	(RFF)	b	11~12					
	3+4	(RFF)		11~12					
1609	f+2	m(RFF)	15	16	-2	+9	+9		Hw_rp00F
	f+3	(Special)		13~					
1806	f+3~n+3	m	25	20	-16	KND	KND		Hw_lk00FE
	f, n+4	(Special)		23~					
1618	f+4	h, (RFS)	21	17~23	+8~+12	+19~+23g	+19~+23g		Hw_kakerk
1610	f+1+2	m	17	15	-9	+2	CS		Hw_hakkei00
1667	d/f+1	m	10	13	-1	6	6		Hw_t_slpF
1668	d/f+1, 3	m, m	10, 15	13	-2	6	6		Hw_3lplk
	d/f+2	m	13	15	-7	Launch (JG?)(+4a)	Launch (JG?)		
	d/f+3	m	12	22	-14	-4	-4	Power crush	
	d/f+3, 4	m, m	12,20	22	-14	KND	KND		
	d/f+3, f (Cancel)	(LFS)		22~23					
1630	d/f+4	m(RFF)	20	16	-8	+8	KND	Homing, Tail spin	Hw_kaerk
	d/f+1+2	m	12	13	-3	+8	+8		
	d/f+3+4	m(,  (Sky)(throw))	8(22)	15	-11	0	0		
1647	d+3	l	7	17	-13	-2	-2		Hw_t_slk
1903	d+3, 4	l, h, (RFS)	7,13	17	8g	15g	19		Hw_lk04rk00
1663	d+4	l (TC)	7	19s cs6~	-17	-6	-6		Hw_t_srk
1868	d+4, 4	l (TC), h	7,22	19 6~	-8	Launch (JG?)	Launch (JG?)		Hw_lrkrk00
1656	d/b+3	l (TC)	12	19s cs4~	-13	0	+7		Hw_t_slkB
1673	d/b+4	l	14	16	-12	-8	-1		Hw_t_srkB
1672	d/b+4, f	l, (RFS)	12	16	-1	+3	+10		
1770	d/b+4, 4	l, h	12,21	16	-1	KND	KND	Tail spin	Hw_rkkktrk
1679	d/b+3+4	!	40	61	KND	KND	KND		Hw_spkA
	d/b+3+4, b, b (Cancel)	(LFS)		61					
1581	b+1	m	15	15	-14	-1	-1		Hw_lp01m
1627	b+2	h	18	13	-9	15k	15k		Hw_rp00BE
1935	b+3	m	17	16	-19	Launch (JG?)	Launch (JG?)		Hw_Fsr_lk
1629	b+4	h(RFF)	20	13	-7	2	CS	41	Hw_4rk
1932	u/b+3	m	8	16	-14	-3	-3		Hw_7lk
1933	u/b+3, 3	m, h (TJ), (LFS)	8,15	16	+3	KND	KND	Tail spin	Hw_4lklk
1934	u/b+3, 4	m, m, (RFS)	8,16	16	-4	+12g	+12g		Hw_4lkrk
1541	u/b+4	m (TJ)	18	17F	-8	+10	+10	44	Hw_jprk00B
1527	u+3	h (TJ), (LFS)	25	20F	5	uKZD	uKZD		Hw_jplk00
1542	u+4	m (TJ), (RFS)	18	16F	3	11g	11		Hw_R_tobikeri
1893	u+3+4	m (TJ)	20	25	-7	KND	KND	51	Hw_jnkakato2
1499	u/f+2	m (TJ)	22	26	+5s	+6s	KND		Hw_Bkjprp00F
1697	u/f+3	m (TJ)	15	28	-6	KND	KND		Hw_jplk00FD
1856	u/f+3, 4	m (TJ), m	15,14	js1~	-8	Launch (JG?)	Launch (JG?)		Hw_rsk01E
	u/f+3, 4 (when second hit inputted)	m (TJ)	15	js9~	-13~-12	KND	KND		
1814	u/f+3, 4, 3	m (TJ), m, h	15,14,25	9~		KND			Hw_rsk02
1551	u/f+4	h (TJ), (RFS)	12	22	-2	+4	+4		Hw_3renkick
1552	u/f+4, 4	h (TJ), m (TJ), (RFS)	12,12	js1~5	0	6	6		Hw_3renkick2
1553	u/f+4, 4, 4	h (TJ), m (TJ), l, (RFS)	12,12,12	1	1	7	7		Hw_3renkick3
1876	u/f+3+4	mh (TJ)	9,8	14	-10	+1	+1		Hw_66lrksdz
1878	u/f+3+4, 4	mh (TJ), m (TJ)	9,8,13	js1~	-13	+4	+4		Hw_66lrk3
1845	f, F+3	m(RFF)	24	22	6	6s	6s		Hw_kakat
1870	f, F+4	m(RFF)	22	17	-7	KND	KND		Hw_mmrk00
1849	f, n, d, d/f+3	m, (LFS)	27	18~19	+4~+5	KND	CS	Wall bounce	Hw_splk
1848	f, n, d, d/f+4	m	18	16	-18	Launch(JG?)	Launch(JG?)	53	Hw_agerk
1847	f, n, d/f+4	m	18	16	-8	Launch(JG?)	Launch(JG?)	47	Hw_agerkFAST
1689	f, f, f+3	m (TJ)	30	22	6	KND	KND		Co_runlk00
1872	f, f, f+4	h	28	18	+5	8b	8b		Hw_mmrk01
1684	WS+3	m	20	14	-7	KND	KND		Hw_s_tlk
1686	WS+4	m	12	11	-3	8	8		Hw_s_trk
1774	WS+4, 4	m, m(RFF)	12,16	11	-5	4s	4s		Hw_syrrk
	WS+3+4	m(RFF)	16	20~21b	-9~-8	+2~+3	+2~+3		
