move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2208	in rage b+1+2	m	55	20 pc8~17	-32	KND	KND	Rage art	Jc_RageArts02
1783	in rage b, d/b, d, d/f+1, 2	l (TC), m	20,35	20 8~17	-9(wl~3)	KND	KND	Rage drive	Jc_GUNrp00_EX
1584	1	h	11	13	-2	+6	+9		J5_lp00
1585	1, 1	h, m	14,25	13	-14~-13s	KND	KND		Jc_lphizi
1586	1, 2	h, h	14,24	13	-2	KND	KND	Tail spin	J2_lppwrp
1609	2	h	10	11	+1	+9	+9		Jc_rp00
1735	2, 1	h, m	10,12	11	-2	+3	+3		Km_lp1
1762	2, 1, 2	h, m, m	10,12,20	11s	-12~-11	Launch (JG?)	Launch (JG?)		Km_lprus
	3	h	30	18	-13	KND	KND	
	4	h	20	16	-4	+7	Launch (JG?)	
	f+4	h	23	17	-4	+7	Launch (JG?)	
1592	1+2	mm	8,20	15~16, 45~46	-13~-12	KND	KND		Jc_lrp02
1820	3+4 or floor break 3+4	! (TJ)	40	94~100 js38~	KND	KND	KND		Jc_fly_01
	3+4, 3+4	! (TJ)	40	124~130 js1~	KND	KND	KND	
	3+4, 3+4, 3+4	! (TJ)	60	154~160 js1~	KND	KND	KND	
	3+4, 3+4, 3+4, 3+4	! (TJ)	80	184~190 js1~	KND	KND	KND	
	3+4, 3+4, 3+4, 3+4 , 3+4	! (TJ)	100	214~220 js1~	KND	KND	KND	
1603	f+1	m	13	14~15	-6~-5	+5~+6	+5~+6		Pj_lp00F
1604	f+1, 2	m, h	13,13	14~15	-6~-5	+5~+6	+5~+6		Jc_6LPRP
1605	f+1, 2, 1	m, h, ( (Sky))!							Jc_6LPRPLP
	f+1, 2, 1*	m, h, ( (Sky))!						
1607	f+1, 2, 2	m, h, m	15,15,20	14~15	+6~+7	KND	KND		Jc_6LPRPRP
	f+1, 2, 2*	m, h, m	13,13,30	14~15	-11	KND	KND	
1610	f+2	h	17	10	-12	+5	KND		Jc_rp00F
1625	f+3	m	14	20~21	-7~-6	+7~+8	+7~+8		Jc_6lkwpRv2
1626	f+3,2	m, h	14,20	20~21	-9	KND	KND		Jc_6lkrp
1631	f+3, 1+2	m, m	14,22	17~18	-11~-10s	KND	JG		Jc_6lkwp
1814	f+4~1	h!	80	65(66~)	CS	CS	CS		Jc_katata
1815	f+4~1, 2	m	30	15~16 (66~)	+8~+9	KND	KND		Jc_katataki
1620	f+1+2	m	22	15~16	-19~-18	KND	KND	Wall bounce	Jc_WPF
1633	f+3+4 or FC+d/f+3+4	m	28	21~26	-9~-4	KND	KND		J2_tackle00
1682	d/f+1	m	12	14~15	-4~-3	+3~+4	+5~+6		Jc_t_slpF
1683	d/f+1, 1	m, m	12,20	14~15	-10~-9	+9~+10kg	+9~+10kg	Tail spin	Jc_3lplp
1689	d/f+1, 2	m, h	12,10	14~15	-12	-1a	-1a		Jc_tslp_rp
1691	d/f+1, 2, 1	m, h, h	12,10,3	14~15	-10	-2(KND)	-2		Jc_tslprplp
1693	d/f+1, 2, 1, 2	m, h, h, hh	12,10,3,3,20	14~15	-18~-17	KND	KND		Jc_tslprplprp2
1694	d/f+2	m	13	15~16	-14~-13	Launch (JG?)	Launch (JG?)		Km_t_srpF
1754	d/f+2, 1	m, m	13,15	15~16s	-6~-5	+5~+6	+5~+6		Km_rulu00
1755	d/f+2, 1, 2	m, m, m	13,15,12	15~16s	-8~-7	+3~+4	+3~+4		Km_tslprpA
1741	d/f+2, 1, 2, 1	m, m, m, h	13,15,12,23	15~16	-4~-3	KND	KND	Tail spin	Km_tsrplpH
1739	d/f+2, 1, 2, d/f+1	m, m, m, m	13,15,12,15	15~16s	-2~-1	+9~+10	+9~+10		Km_tsrplpB
1742	d/f+2, 1, 2, d+1	m, m, m, l (TC)	13,15,12,8	s cs10~	-11~-9	0~+2	0~+2		Km_tsrplpL
1697	d/f+3	m	16	16	-9	+2	+2		Jc_t_slkF
1724	d/f+3, 2	m, h	16,20	16	-7~-6	KND	KND	Tail spin	Jc_stlkrp
	d/f+4	m	15	12	-4	+7	+7	
1846	d/f+1+2	ll	8,21	18,30	-70	KND	KND		Pj_gdlrp01
1845	d/f+1+2 (First hit only)	l	8	18	-82	-63	-63		Pj_gdlrp00
1832	d/f+3+4	m	28	13	-23	KND	KND		Jc_shoulder
	d/f+1+3 (Throw)	h(Throw)	25	23 js15~	Throw	Throw	Throw	
	d/f+1+3	Sm	20	30~49d js15~	-18~+1s	KND	KND	
1679	d+1+2	m (TC)	28(,5)	27~28 cs6~29	-18~-17	Launch	Launch		Jc_lrp_sp2
1699	d/b+1	l	13	12s	-12	+2	+2		Gj_t_slp00B
1778	d/b+1, 1	l, l	13,5	12s	-12	-1	-1		Gj_smglp01
1779	d/b+1, 1, 1	l, l, l	13,5,5	12s	-12	-1	-1		Gj_smglp02
1788	d/b+1, 1, 1, 2	l, l, l, m	13,5,5,21	12s	-11	KND	KND		Jc_smgrp05
1705	d/b+2	l (TC)	24	22 cs6~	-18	+3s	KND		Jc_gakon_low
	d/b+2*	l (TC)	30	36~37 cs6~	-29~-28	KND	KND	
1714	d/b+3	l(CSK)	15	21	-20	-9	-9		Jc_coslk00
1792	d/b+3, 4	l, l(CSK)	15,12	21	-16	-5	-5		Jc_cosrk01
1790	d/b+3, 4, 3	l, l, l(CSK)	15,12,12	21	-19	-8	-8		Jc_coslk02
1795	d/b+3, 4, 3, 4	l, l, l, l(CSK)	15,12,12,12	21	-16	-5	-5		Jc_cosrk03
1791	d/b+3, 4, 3, 4, 3	l, l, l, l, l(CSK)	15,12,12,12,12	21	-19	-8	-8		Jc_coslk04
1796	d/b+3, 4, 3, 4, 3, 4	l, l, l, l, l, l(CSK)	15,12,12,12,12,12	21	-16	-5	-5		Jc_cosrk05
1793	CSK 1+2	h	21	34~35	+14~+15g	KND	KND		Jc_coslrp2
1875	CSK d+1+2	l(Throw)	45	34~35		Throw(KND)			ThrmvLOW_01
1681	d/b+4	l (TC)	14	16s cs6~	-13	-2	-2		J5_t_srk
