move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2145	in rage b+1+2	h	55	13 pc8~	-9	KND	KND	Rage art
1862	in rage f, n, d, d/f+1+2	hm	25,35	11~12 ,41~42 (14~)	-7~-6	Launch(Launch (JG?))	Launch(Launch (JG?))	Rage drive
1863	in rage f, n, d, d/f+1+2, D/F	hm, (Crouch dash)	25,35	11~12 ,41~42 (14~)	+14~+15g	Launch(Launch (JG?))	Launch(Launch (JG?))	Rage drive
1866	in rage f, n, d, d/f+1+2, 3	hm, h (TJ)	25,35,25	js10~	+8~+13g	KND	KND	Rage drive
1867	in rage f, n, d, d/f+1+2, 3, 1	hm, h (TJ), m (TC)	25,35,25,24	cs15~21	+9(wl+15g)	KND	KND	Rage drive
1575	1	h	7	10	+1	+8	+8	
1623	1, 2	h, h	7,12	10	-2	+3	+7	
1817	1, 2, 3	h, h, m	7,12,20	10	0~+2	KND	KND	
1624	1, 2, 4	h, h, h	7,12,30	10	-4~-2	KND	Launch	Tail spin
1589	1, 3	h, h	7,10	10	-6	+4	+4	
	1, 3, F	h, h, (CDS)	7,10	10	-7	+3	+3	
	1, 3, B	h, h, (Special)	7,10	10	-6	+4	+4	
1595	1, 3, 2	h, h, m	7,10,10	10	-1	+4	+4	
1598	1, 3, 2, 1	h, h, m, m	7,10,10,10	10	-7	+7	+7	
1600	1, 3, 2, 1, 4	h, h, m, m, l	7,10,10,10,					
	10	10	-13~-12	+3~+4	+3~+4			
	1, 3~3	h, m	7,20	10	+6~+8	KND	KND	
	1, 3~3, d/f+3	h, m, m	7,20,20	10	-14	KND	KND	
1581	1, d+3	h, l	7,7	10	-12~-11	-1~0	-1~0	
1582	1, d+3, 4	h, l, l	7,7,17	10	-13	+3	Launch	
1629	2	h	9	10	0	+9	+9	
1630	2, 1	h, m	9,9	10	-3~-2	+6~+7	+6~+7	
1731	2, 1, 4	h, m, m	9,9,18	10	-9~-7	+2~+4	+2~+4	
1735	2, 1, 4~4	h, m, l	9,9,20	10	-31	KND	KND	
1632	2, 4	h, h	9,20	10	-9~-6	KND	KND	Tail spin
1638	3	h	19	14	-7	+4	+4	
1639	3, 1	h, h	19,7	14	-1	+7	+7	
	3, 1, F (to ZEN)	h, h (ZEN)	19,7	14	+4	+12	+12	
1645	3, 1, 4	h, h, l	19,7,18	14	-13	+3	Launch	
1650	4	h	18	13~14	-9~-8	+16~+17kg	KND	Homing, Tail spin
1807	4~3 or WS+4~3	m (TJ)	27	24~34d (25~) js12~	-14~-4	KND	KND	
1740	1+2	mmh	5,5,20	12,20,32	-14	KND	KND	
1646	3+4	h (throw)	10(,24)	20 pc8~19	-9	Throw(KND)	Throw(KND)	Power crush
1661	f+2	h	12	16~17	-5~-4	+4~+5	+4~+5	
1677	f+3	m	16	12	-8	+3	+3	
1822	f+3~3	m	20	23~26	+6~+9	KND	KND	
1824	f+3~3, d/f+3	m, m	20,20	23~26	-14	KND	KND	
1832	f+4	m	21	16~17	-8~-7	+4~+5	KND/Launch	Range dependent
	f+4, F	m, (CDS)	21	16~17	-1~0	+11~+12	Launch	
1745	f+1+2	hh	14,24	14,23~24	-9~-8	KND	KND	Wall bounce
1744	f+1+2 (Second hit whiff)	h	14	14	-27	-16	-16	
1721	d/f+1	m	10	13~14	-3~-2	+4~+5	+6~+7	
1728	d/f+1, 4	m, h	10,18	13~14	-9~-6	+10~+13kg	KND	Tail spin
1729	d/f+1, 4~4	m, m	10,24	13~14	-12	CS	CS	
1747	d/f+2	m	15	15~16	-7~-6	+4~+5a	Launch (JG?)	
1748	d/f+3	m	12	14	-16	-5	-5	
1749	d/f+3, 3	m, h	12,14	14	-8	+8	+8	
	d/f+3, 3, f	m, h, (CDS)	12,14	14	-7	+9	+9	
	d/f+3, 3, b	m, h, (Special)	12,14	14	-8	+8	+8	
1762	d/f+4	m	22	20~21	-3~-2	+8~+9s	KND	
1621	d/f+1+2	m(Absorbs 1 h/m hit)	20	23~24 (3~10)	-12~-11	+6~+7 (KND)	+6~+7 (KND)	
1806	d+1	m	24	21	-7	KND	KND	Wall bounce
1706	d+3	l	7	15~16	-13~-12	-2~-1	-2~-1	
1707	d+3, 3	l, m	7,10	15~16	-16	-1	-1	
1713	d+4	l (TC)	13	16~17 cs6~	-12~-11	-1~0	-1~0	
1719	d+3+4	mm	5,20	15,25~27 js16~	-19~-17	Launch (JG?)	Launch (JG?)	
1717	d+3+4 (Second hit miss)	m	5	15 js16~	-30	-19	-19	
1788	d/b+2	m	12	16	-10	-4	FS(+3) 16	
1784	d/b+2, 2	m, h	12,11	16	-12	-7 (CS)	-7	
1785	d/b+2, 2, 3	m, h, m	12,11,21	16	-9~-8	CS	CS	
1787	d/b+2, 3	m, m	12,23	16	-8~-6	KND	KND	
1831	d/b+3	h (TC)	28	19~21 cs4~	-13~-11	KND	KND	Tail spin
1712	d/b+4	l	18	20~21	-13~-12	+3~+4	KND	
1850	d/b+1+2	m((Special))	0	25~55	-25~+5	-10~+30	-10~+30	
1680	b+2	m	12	15~16	-11~-10	0~+1	0~+1	
1686	b+2, 1	m, m	12,10	15~16	-9~-8	+2~+3	+2~+3	
1826	b+3	m	17	16	-6	+5	CS	
	b+3, f	m, (CDS)	17	15~16	-2~-1	+9~+10	CS	
1657	b+4	m	21	17~18	-7~-6	KND	KND	
1848	u/b+1+2	!	70	75	KND	KND	KND	
1676	u/f+2	m	18	15~16	-7~-6	+6~+7	KND	
1533	u/b+3	m (TJ)	13	22~23 js9~	-11~-10	+4~+5	CS	
1562	u or u/f+3	m (TJ)	17	22~23 js9~	-9~-8	+6~+7	CS (10~+11)	
	u+4	m (TJ)	15	15~17 js9~	-13~-11	KND	Launch (JG?)	
1560	u/f+4	m (TJ)	13	15~17 js9~	-13~-11	Launch (JG?)	Launch (JG?)	
1798	f, F+2	m	24	14~15 (15~)	-8~-7	KND	KND	
1813	f, F+3	m	20	23~25 (24~)	0~+2	Launch	Launch	
1815	f, F+3, 1	m, h	20,5	23~25 (24~)	+1	+7	+7	
	f, F+3, 1, 3	m, h, h	20,5,10	23~25 (24~)	-6	+4	+4	
	f, F+3, 1, 3, 2	m, h, h, m	20,5,10,10	23~25 (24~)	-1	+4	+4	
	f, F+3, 1, 3 , 2, 1	m, h, h, m, m	20,5,10,10,10	23~25 (24~)	-7	+7	+7			
	f, F+3, 1, 3 , 2, 1, 4	m, h, h, m, m, l	20,5,10,10,10,10	23~25 (24~)	-13~-12	+3~+4	+3~+4			
1838	f, F+4	m	19	21~24 (22~)	+4~+7s	+8~+11s	KND	
1792	b, f+2	m	15	15~16 (15~)	-7~-6	+4~+5	FS (+11~+12g) 24~25	
1796	b, f+2, 1	m, h	15,10	15~16 (15~)	-5	+6	+6	
1797	b, f+2, 1, 2	m, h, m	15,10,20	15~16 (15~)	-5~-4	KND	KND	
1794	b, f+2, 3	m, m	15,17	15~16 (15~)	-12	+6	CS	
	b, f+2, 3, f	m, m, (CDS)	15,17	15~16 (15~)	-1	+17g	CS	
1765	WS+1	m	10	13~14	-6~-5	+5~+6	+5~+6	
1804	WS+1, 2	m, m	10,16	13~14	-8~-7	+3~+4s	+3~+4s	
	WS+1, 2, f	m, m, (CDS)	10,16	13~14	-9~-8	+2~+3s	+2~+3s	
1769	WS+2	m	14	14~15	-12~-11	Launch (JG?)	Launch (JG?)	
1771	WS+3	m	20	16~18	-9~-7	+10~+12kg	KND	Homing, Tail spin
1773	WS+4	m	16	11~12	-3~-2	+8~+9	+8~+9	
1704	Opponent Down d+2	l(On grounded opponent)	19(24)	19~20	-13~-12	+3~+4	+3~+4	
	1+3+4	(Special)		19~20				
	d+1+2 (to ZEN)	(Special) (TC)(CDS)		(10~)				
	b+1 (to CDS)	(Special) (TC)(CDS)		(5~)				
	CDS F	(Special)		(5~)				
	ZEN or CDS D/F	(Crouch dash)		RC				
1610	ZEN or CDS 1	m	14	16~17 (21~)	-3~-2	+8~+9	+8~+9	
1612	ZEN or CDS 1, 2	m, m	14,21	16~17 (21~)	-14~-13	KND	KND	
1611	ZEN or CDS 1, 3	m, h	14,18	16~17 (21~)	-9	KND	KND	
1620	ZEN or CDS 2	m	27	22~23 (27~)	-14~-13	KND	KND	
1820	ZEN or CDS 3	m	20	17~18 (22~)	-9~-8	+10~+11kg	Launch	Tail spin, Homing
1615	ZEN or CDS 4	l (TC)	20	25~26s (30~) cs1~	-26	KND	KND	
1604	ZEN or CDS 1+2	hh	8,20	13,29~30 (18~)	-13~-12	Launch	Launch	
1821	ZEN or CDS 3+4	h (TJ)	25	22~27 (27~) js10~	+8~+13g	KND	KND	
	f, n, d, d/f	(Crouch dash)		22~27 (27~) 10~				
	f, n, d, d/f, u/f	(Special) (TJ)(Crouch dash)		22~27 (27~) 10~				
1801	f, n, d, D/F+1	m	20	16~17 (20~)	-13~-12	Launch (JG?)	Launch (JG?)	
	f, n, d, d/f+1	m	22	16~17 (19~)	-13~-12	Launch (JG?)	Launch (JG?)	
1856	f, n, d, D/F+2	h	20	11~12 (15~)	-10~-9	Launch	Launch	
1859	f, n, d, d/f+2	h	25	11~12 (14~)	+5~+6	KND	KND	
	f, n, d, d/f+3	m	20	16~18 (19~)	-9~-7	+10~+12kg	Launch	Homing, Tail spin
1842	f, n, d, d/f+4	l	10	20~21 (23~)	-31	Launch	Launch	
1843	f, n, d, d/f+4, 3+4	l, m (TJ)	10,27	d js26~	-14~-4	KND	KND	
	f, n, d, d/f,			26~				
