move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2100	in rage d/f+1+2	m	55	20 pc8~17 ar20~	-22	KND	KND	Rage art	Ba_RageArts02
1749	in rage f, n, d, d/f+3+4	mm	10,24	14~15, 24~26 (17~) js12~	+8~+10	JB	JG	Rage drive	Ba_twohiza3_EX
1544	1	h	7	10	+1	+8	+8		Mu_lp00
1700	1, 2	h, h	7,8	10	-1	+7	+7		Mu_lprprp
1701	1, 2, 2	h, h, h	7,8,10	10	-13	+9	+9		Mu_lprprp2
1711	1, 2, 3	h, h, m	7,8,18	10	-11	+5	KND		Mu_rpmlk00
	1, 2, 4	h, h, h, (SWS)	7,8,22	10	+11	+21g	Launch (JG?)	
1724	1, 2, d+4	h, h, l	7,8,13	10	-16	-5	-5		Mu_rpdrk00
1725	1, 2, d+4, 4	h, h, l, h	7,8,13,25	10	-4~-3	KND	KND	Tail spin	Mu_rp2rkrk
1713	1, 4	h, h	7,10	10	-4	+7	+7		Ba_lprk00
1714	1, 4, 3	h, h, m	7,10,12	10	-15	+1	+1		Mu_rklk00
1551	2	h	8	12	+1	+7	+7		Mu_rplk00
	2, 3	h, m	8,18	12	-11	+5	KND	
1715	2, 4	h, h, (SWS)	8,22	12	+11	+21g	Launch (JG?)		Mu_rphrk00
	2, d+4	h, l	8,13	12	-16	-5	-5	
	2, d+4, 4	h, l, h	8,13,25	12	-4~-3	KND	KND	Tail spin
1556	3	m	11	13~14	-8~-7	+3~+4	+3~+4		Mu_lk00
1563	3, 2	m, m	11,18	13~14	-12~-11	+5~+6	KND		Mu_lkrp
	3, 2, f	m, (CD)	11	13~14	-7~-6	+4~+5	+4~+5	
1557	3, 3	m, h	11,21	13~14	-1	KND	KND	Tail spin	Mu_lklk
1558	3, f+3	m, m (TJ)	11,27	js11~	-14~-13	KND	KND		Mu_lk6lk
	4	h	16	12	-7	+6	Launch (JG?)	
	1+2	Right Punch reversal	50	2~		Attack returned(KND)		
1743	3+4	h	27	16~17	-9~-8	KND	Tail spin	Tail spin, Homing	Mu_sidhlk00
1571	f+2	h	10	12	-8	+3	+3		Mu_6rp
1572	f+2, 3	h, l	10,13	12	-11	0	0		Mu_6rplk
1573	f+2, 3, 3	h, l	10,13, 30	12	-16	KND	KND		Mu_6rplklk
1650	f+2, 3, 4	h, l, h	10,13,20	12	-4~-3	KND	KND	Tail spin	Ba_slk_cobra2
1578	f+2, 4	h, h	10,23	12	-13~-12	KND	KND		Mu_6rphrk00
1579	f+3	m	18	18	-3	+8	+12a		Mu_lk00F
1608	f+4	m	13	17	-4	+1	+1		Mu_rk00F
1612	f+4, 3	m, m	13,14	17	-10~-9	+1~+2	+1~+2		Mu_rklk
1730	f+1+2	h (TJ)	20	14~15 js6~	-5~-4	KND	KND		Mu_hizi00
