move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2221	In rage d/f+1+2	m (throw)	10,45	20	-22	throw	throw	Rage art	Jl_RageArts02
1653	In rage f+2+3	m, m	20,35	15	+2	KND	KND	Rage drive	Jl_RD2
1622	1	h	7	10	+1	+8	+8		Jl_lp00F
1570	1, 1	h, m	7,12		-9	+2	+2s		Jl_p01
1572	1, 1, 1	h, m, m	7,12,20		-14	KND	KND		Jl_p02
1574	1, 1, 2	h, m m	7,12,20		-9	KND	KND		Jl_p02_pon
1575	1, 2	h, h	7,10		-1	+5	+5		Jl_lprp00
	1, 2, 3 or 4	h, h (CES)	7,10		-9	-3	-3	
1576	1, 2, 1	h, h, m	7,10,10		-13	+3	+3		Jl_lprp01
1577	1, 2, 1, 1	h, h, m, l	7,10,10,20		-14	KND	KND		Jl_mouko02
1650	2	h	10	10	-2	+7	+7		Jl_rp00_B
	2, B	h (special)	10	12	-8	+5	+5	
1762	(after back spin) 1+2	h	22			+4	+4		Jl_psWP00
	3	h	17	14	-14	KND	KND	
1590	4	h	15	11	-12	-3	JG		Jl_rk00
1752	4, 4	h, l (TC)	15,12		-16	-2	-2		Jl_c_k04
1732	4, 4, 1	h, l, m	15,12,21		-14	JG	JG		Jl_p03
1741	4, 4, 1~2	h, l, m	15,12,20		-9	KND	KND		Jl_pon01_1
1678	4, 4, 4	h, l, h	15,12,23		-6	KND	KND		Jl_k02
1753	4, 4, d+4	h, l, l	15,12,10		-19	-8	-8		Jl_k03
1596	4~2	lh	7,5	15	-12	-4	+1		Jl_rkrp2
1598	4~2, 1	lh, m	7,5,21		-16	KND	KND		Jl_rkrp_mouko
1583	1+2	m	14	18	-5	+1	+6		Jl_lrp00
1584	1+2, 4	m, h	14,12		-12	-1	+4		Jl_lrprk00
1587	1+2, 4, b,f+1+2	m, h, m	14,12,25		-10	KND	KND		Jl_byakko
1588	1+2, 4, 4	m, h, m	14,12,20		-20	KND	KND		Jl_WP_RK2
1758	1+4	m, l	12,21	18	-26	KND	KND		Jl_lpkouso
	1+4, D	m	12		-18	-7s	-7s	
1624	f+2	h	10	12	-2	+7	+7		Jl_rp00F
1625	f+2, B	h (special)	10		-8	+5	+5		Jl_rplp01
1626	f+2, 1	h, h	10,14		-1	+5	+10		Jl_mouko01
	f+2, 1, 3	h, h (CES)	10,14		+14	+20g	+25	
	f+2, 1, 2	h, h, m	10,14,20		-10	KND	KND	
1628	f+2, 4	h, m	10,17		-8	+5	KND		Jl_rp00Frk
1643	f+4	m	13	15	-10	+3	+3		Jl_rk00F
1644	f+4, 1	m, m	13,23		-14	KND	KND		Jl_rk00Flp
1633	f+1+2	m	25	18 pc8	-14	KND	KND	Wall bounce, Power crush	Jl_tetsuzanP
1755	f+1+4	m	40	67	JG	JG	JG		Jl_baku10
1679	d/f+1	m	13	14	-5	+1	+1		Jl_t_slpF
	d/f+1 when hit crouching opponent	m	13			+14	+14	
1681	d/f+2	m	8	15	-9	+2	+2		Jl_t_srpF_V220
1764	d/f+2, 1	m, m	8,12		-18	JG	JG		Jl_c_p08_na
	d/f+2, 3	m (special)	8		+16	+27	+27	
1685	d/f+2, 4	m, h	8,18		-6	+5	+5		Jl_rptrk
1686	d/f+3	m	14	13	-7	+4	+4		Jl_t_slkF
1687	d/f+3, 1+2	m, m	14,27		-13	KND	KND		Jl_t_slkF2
1689	d/f+4	m	14	14	-10	+1	+1		Jl_juji_A
1690	d/f+4, 2	m, m	14,10		-13	-2	-2		Jl_chusui2
1697	d/f+4, 2, 3	m, m, h	14,10,18		-5	KND	KND	Tail spin	Jl_kouranLK
1695	d/f+4, 2, 1	m, m, m	14,10,25		-14	KND	KND		Jl_hizi00
	d/f+4, 2, b, f+1	m, m, m	14, 10, 30		-14	KND	KND	
1699	d/f+3+4	sm, m	10,20	17	-7	+9	+9		Jl_t_slrk01F
	d+1	sm (TC)	5	10 cs4	-5	+6	+6	
1673	d+2	sm (TC)	8	11 cs4	-4	+7	+7		Jl_t_srp00
1674	d+2, 3	sm, m	8,14		-10	+1	+1		Jl_mrplk
1676	d+3	l	10	13	-12	-1	+4s		Jl_t_slk00
1677	d+4	l (TC)	12	20 cs6	-16	-2	-2		Jl_t_srkB
	d+4, 1	l, m	12,21		-14	JG	JG	
	d+4, 1~2	l, m	12,20		-9	KND	KND	
	d+4, 4	l, h	12,23		-6	KND	KND	
	d+4, d+4	l, l (TC)	12,10		-19	-8	-8	
1675	d+1+2	m	27	16	-14	KND	KND		Jl_Chouzan
1700	d/b+1	m (TC)	17	19 cs6~15	-12	+5	KND		Jl_hosui
1702	d/b+2	m	13	15	-10	+1	+1		Jl_t_srp00B
1703	d/b+2, 1	m, l	13,7		-11	-4	0		Jl_t_srp01B
	d/b+3	l (TC)	12	16 cs4	-17	-6	-6	
1705	d/b+4	l	11	15	-12	-1	+4		Jl_t_srkB2
1706	d/b+4, 1	l, m	11,23		-10	KND	KND		Jl_t_srkB2lp
1646	b+1	m	18	18	-9	+5s	JG		Jl_lp00B
1647	b+2	h	14	13	-10	+1	+1		Jl_rp00B
1648	b+2, 3	h, h	14,15		-12	+4	+4		Jl_rp01B
1649	b+2, 3, 1+2	h, h, m	14,15,21		-13	KND	KND		Jl_rp02B
1655	b+3	l (TC)	17	27 cs6	-13	+4s	KND		Jl_zenslk00
1656	b+3, 4	l, l (TC)	17,10		-8	KND	KND		Jl_zenkou
1658	b+4	h	20	18	+1	KND	KND	Homing, Tail spin	Jl_rork
1651	b+1+2	m	23	21	-13	KND	KND		Jl_WPunch
	u/b or u+1	m (TJ)	12	18 js9	-12	-1	-1	
1503	u/f+1	m	17	15	-8	+4	KND		Jl_unpei
	u/b or u or u/f+2	h	17	15	-12	+9	+9	
	u/b+3	m (TJ)	14	15 js9	-22	-9	-9	
	u+3	m (TJ)	16	15 js9	-20	KND	KND	
	u/f+3	m (TJ)	18	15 js9	-16	KND	KND	
	u/b+4	m (TJ)	14	15 js9	-24	-13	-13	
	u+4	m (TJ)	16	15 js9	-20	KND	KND	
1554	u/f+4	m (TJ)	8	16 js9	-8	+4	+4		Jl_jprk02F
1555	u/f+4, 3	m, m	8,8		-13	JG	JG		Jl_jprklk00F
1556	u/f+4, 3, 1	m, m, m	8,8,25		-6	KND	KND		Jl_jprklklp
1558	u/f+3+4	m (TJ)	30	35 js7	-13	KND	KND		Jl_jplrk00F
