move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2126	in rage d/f+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art	Kz_RageArts_nRv
	in rage f, n, d, d/f+1+4	m	45	18~19 (21~) cs1~	+5~+6	Launch	Launch	Rage drive
1726	in rage f, n, d, d/f+1+4, u/f (Only when hit )	m, (throw), (DVK)	45,12	18(21~) cs1~		Throw(KND)	Throw(KND)	Rage drive	Kz_dslp_EX
1605	1	h	7	10	+1	+8	+8		Kz_lp00F
1581	1, 1	h, h	7,6	10	-1	+8	+8		Kz_lpf
1582	1, 1, 2	h, h, m	7,6,12	10	-17	KND	KND		Kz_rp1
1584	1, 2	h, h	7,8	10	-1	+7	+7		Kz_lprpF
1585	1, 2, 2	h, h, h	7,8,12	10	-12	+4	+4		Kz_rprp01
1587	1, 2, 4	h, h, l	7,8,18	10	-14~-13	-3~-2	0~+1s		Kz_rprkcom
1588	1, 2, 4, 3	h, h, l, m	7,8,18,25	10	-2	KND	CS		Kz_rprklk
1589	2	h	12	12	-3	+8	+8		Kz_rp00
1590	2, 2	h, m	12,24	12	-10~-9	+6~+7	CS	Tail spin	Kz_rprp
1595	3 or 3+4	h	14	14	-8	+4	+4		Kz_lk00
1596	3, 1	h, h	14,7	14	-1	+7	+7		Kz_lklp
1597	3, 1, 4	h, h, m	14,7,17	14	-6~-5	+8~+9	CS		Kz_lklp_hiza
1598	4	h	18	12	-9	+2	CS		Kz_rk00
1600	(u/f)4~3	mm (TJ)	18,25	31~33, 35~37d (31~) js10~	-11~-9	KND	KND		Kz_hasai2
1592	1+2	mm	5,20	12,28	-14	KND	KND		Kz_lprpcom2
1610	f+2	m	25	20 pc8~19	-12	KND	KND	Power crush	Kz_tukirpsp
1629	f+3	m	22	19~20	-13~-12	+5~+6	+23g(KND)		Kz_6lk
1631	f+4	m	20	19~20	+4~+5s	+7~+8s	KND		Kz_mrk
1621	f+1+2	m	20	25	-9	KND	KND	Wall bounce	Kz_vipLP
1672	d/f+1	m	11	15~16	-7~-6	+9~+10	+9~+10		Kz_bodylp00
1673	d/f+1, 2	m, m	11,20	15~16s	-13s	KND	KND		Kz_3lprp
1677	d/f+1, 4	m, h	11,20	15~16	-4~-3	+17~+18kg	+17~+18kg	Tail spin	Kz_t_slp_RK
1676	d/f+1, f+2	m, m	11,22	15~16	-12	KND	KND		Kz_bdyTuki
1679	d/f+2	m	22	14	-12	+5	CS(13)	Homing	Kz_majin_00
1680	d/f+3	m	13	18~19	-7~-6	+9~+10	+9~+10		Co_t_slkF
1681	d/f+3, 2	m, m	13,15	18~19	-11	+5	+5		Kz_hizabody
1682	d/f+3, 2, 1	m, m, m	13,15,21	18~19	-18	KND	+24		Kz_3lkrplp
1683	d/f+4	m	10	13~14	-9~-8	+2~+3	+2~+3		Kz_k00
1684	d/f+4, 4	m, m	10,16	13~14	-15~-14	-4~-3s	-4~-3s		Kz_syrrk
1694	d+1+2	l (TC)	20	25s cs6~	-14	+1s	KND		Kz_SpinRP
1685	d/b+2	m	20	20s	-9s	KND	KND		Kz_syutou
1687	d/b+3	l (TC)	14	19~20s	-12~-11	-1~0	+7~+8s		Kz_t_slk00
1688	d/b+4	l	18	20~21	-12~-11	+4~+5	+17g		Kz_orosi
1633	b+1	h	13	11~12	-10~-9	+1~+2	+1~+2		Kz_uralp
1634	b+1, 2	h, m	13,20	11~12	-14	KND	KND		Kz_4lprp
1637	b+2	m	12	14~15	-8~-7	+4~+5	+4~+5		Kz_hizicom1
1638	b+2,1	m,m	12,20	14~15	-14~-13	KND	KND		Kz_4rplp
1640	b+2, 4	m, h	12,12	14~15	-3	+8	+8		Kz_hizicom2
1642	b+2, 4, 1	m, h, m	12,12,22	14~15	-14~-12	KND	KND		Kz_hizicom3
1644	b+3	h	15	18~19	-8~-7	+3~+4	+3~+4		Kz_Naru00
1646	b+3, 1	h, h	15,10	18~19	0	+6	+6		Kz_Naru01
1648	b+3, 1, 4	h, h, l	15,10,10	18~19	-10~-9	+7~+8	+7~+8		Kz_Naru02
