move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2682	in rage d/f+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art	Kg_RageArts02
1726	in rage d/b+1+2	m	24	20~21	+8~+9s	KND	KND	Rage art	Kg_shoryu_B_EX
1589	1	h	7	10	+1	+8	+8		Kg_lp00F
1545	1, 2	h, h	7,15	10	-1	+6	+6		Kg_lprpF
1786	1, 2, 2+4	h, h, h(Throw)	7,15,30	10		Throw(KND)			Kg_12ThrmvH
1787	1, 2, d+2+4	h, h, l(Throw)	7,15,45	10		Throw(KND)			Kg_12ThrmvL
1682	1, 2, 1	h, h, m	7,15,10	10	-4~-3	+5~+6	+10~+11		Kg_rplu6
1788	1, 2, 1, 2+4	h, h, m, h(Throw)	7,15,10,40	10		Throw(KND)			Kg_123ThrmvH
1789	1, 2, 1, d+2+4	h, h, m, l(Throw)	7,15,10,45	10		Throw(KND)			Kg_123ThrmvL
1546	2	h	10	10	+1	+7	+7		Kg_rp00
1547	2, 1	h, m	10,15	10	-1	+7	+7		Kg_rplu4t
17331	1+2	m	18	18~20b	-11~-9	-2~0	0~+2	
1719	1+2, 1	m, m	18,21	18~20	-13	KND	KND	Wall bounce	Kg_hizilp
1721	1+2, 3	m, h	18,25	18~20	-3~-2	KND	KND	Tail spin	Kg_hizilk
1735	1+4	!	23	52~56ad	KND	KND	KND		Kg_MSP00_
	BT 1+4	!	30	41~45ad	KND	KND	KND	
1590	f+2	m	12	15~16	-11~-10	+2~+3	+2~+3		Kg_rp00F
1591	f+2, 1	m, h	12,25	15~16	-9~-8	KND	KND		Kg_6rplp
1592	f+2, d+1	h, m	12,15	15~16	-13s	+2s	+2s		Kg_6rp2lp
1593	f+2, d+1, 2	h, m, m	12,15,16	15~16	-15	Launch (JG?)	Launch (JG?)		Kg_6rplprp
1595	f+3	m	18	15~16	-8~-7	+1~+2	+9~+10		Kg_lk00F
1600	f+4	m (TJ)	25	18~20 js9~	-9~-7	KND	KND	Homing	Kg_rsbt
2558	f+1+2	h	23	16~17	-1~0	KND	KND		Kg_Akdslp
1594	f+1+2*	h!?	50	29~32	KND	KND	KND		Kg_rpspxk
1729	f+3+4	h (TJ)	25	28~30 (38~) js9~	+7~+9	KND	KND		Kg_dki10
	f, F+3+4	h (TJ)	25	28~30 (29~) js9~	+7~+9	KND	KND	
1741	f+1+4	m	21	17~19	+3~+5	+7~+9	+7~+9		Kg_near_kata00
1740	f+2+3	m	27	23~30 pc8~22	-12~-5	KND	KND	Power crush	Kg_Mpl_kata
1649	d/f+1	m	15	14~16	-1~+1	+3~+5	+3~+5		Kg_t_slpF
1650	d/f+1, 2	m, m	15,15	14~16	-10~-9	+3~+4	+3~+4		Kg_t_slpF03B
1651	d/f+2	m	12	13	-6	+4	+4		Kg_t_srpF
1653	d/f+2, 1	m, h	12,15	13	-4~-3	KND	KND	Tail spin	Kg_dhook_lp01
1655	d/f+3	m	17	14	-9	+2	+2		Kg_t_slkFA
1656	d/f+3, 4	m, h (TJ)	17,23	d js22~	0	KND	KND		Kg_lkEnzui00
1657	d/f+4	l	13	14~15	-14~-13	-3~-2	-3~-2		Kg_t_srkF
1658	d/f+4, 3	l, h	10,11	14~15	-5	+6	+6		Kg_t_srkF02
1659	d/f+4, 3, 4	l, h, m (TJ)	10,11,27	~js18~	-15~-14	KND	CS		Kg_t_srkF03
	d/f+4, 3, 4, B	l, h, m (TJ)	10,11,27	b js18~	-8~-7	KND	CS	
1661	d/f+4, 3, d/b or d+4	l, h, l (TJ)	10,11,20	as(d) js25~	-13~-11	KND	KND		Kg_t_srkF04
1664	d/f+3+4 (Close)	Sm (TJ)(, h(Throw))	15(,30)	28d(b) js13~	Throw(KND)	Throw(KND)	Throw(KND)		Kg_frank00
	d/f+3+4	Sm (TJ)	15	28~35d js13~	-18~-11	-7~0s	-7~0s	
1627	d+1 or FC+d+1	Sm (TC)	5	10s cs4~	-5	+6	+6		Kg_t_slp01
1683	d+1, 2	Sm (TC), m	5,13	10 4~	-11~-9	0~+2	0~+2		Kg_lpsru4u
1631	d+3	l	12	17	-12	+1	+1		Kg_t_slk
2553	d+1+2	m (TC)	21	23 cs6~22	-24	Launch(JG?)	Launch(JG?)		Kg_WHummer
1641	d+3+4 or FC+d/f+4	l (TC)(ALI)	14	16s cs6~	-25	-9	-9		Kg_Ari_kick_D
	WR+4	l (TC)(ALI)	22	14s cs6~	-25	-9	-9	
1643	d+3+4, 4	l (TC), l (TC)(ALI)	14,7	s cs1~	-25	-9	-9		Kg_Ari_kick2
1645	d+3+4, 4, 4	l (TC) x 3(ALI)	14,7,7	s cs1~	-29	+7	+7		Kg_Ari_kick3
1648	d+3+4, 4, 4, 4	l (TC) x 5(ALI)	16,7,7,4,3	s cs1~	-26	+15	+15		Kg_Ari_kick5
1640	ALI 2	l (TC) x , m	14,10	cs1~21	-15	KND	KND		Kg_AriPunch
2554	d+2+3	m	25	30~35 ar21~	-8~-3	0~+5s	0~+5s		Kg_Akelbow
1630	d/b+2	m	21	25~26	-5~-4s	KND	KND		Kg_t_srp00B
1632	d/b+3	l (TC)	17	23s cs10~	-16	+2s	KND		Kg_gyakuAri
1635	d/b+4	l	20	29~31s cs6~14 js16~	-20~-18a	KND	KND		Kg_loDropN
2548	b+1	h	13	12	-8	+3	CS		Kg_lp00B
2549	b+1, 2	h, h	13,20	12	-13	+5	+5		Kg_rpTap00
