move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2202	in rage d+1+2	m	55	20 pc8~17	-22	Throw	Throw	Rage art	
1633	f+2+3	m, m (throw)	20,6,20	16	6	throw	throw	Rage drive	
1604	1, 1	h, m	7, 12	10	-5	6	6		
	1, 1, 1+2	h, m (KAT)	7, 12	10	-7	4	4		
1606	1, 1, 1	h, m, m (TJ)	7,12,21	10	-11	KND	KND	Tail spin	
1607	1, 1, 2	h, m, m	7, 12, 24	10	-9	KND	KND		
	1, 2, 4	h, m, m (TJ)	7, 12, 23	10	3	KND	KND		
1609	1, 2	h, h	7, 8	10	-1	7	7		
	1, 2, 2, B	h, h (BT)	7, 9	10	-16	-8	-8		
1611	1, 2, 2	h, h, h	7,8,11	10	-12	4	4		
	1, 2, 4*	h, h, m (TJ)	7,8,20	10	-14	KND	KND		
1562	2	h	12	12	-5	1	1		
1563	2, 2	h, m	12,14	12	-6	5	5		
	2, 2, 1+2	h, m (KAT)	12,14	12	-6	5	5		
1565	2, 2, 2	h, m, h	12,14,16	12	-9	2	2		
	2, 2, 2, F	h, m, h (SET)	12,14,16	12	-4	7	7		
1566	2, 2, 2, 2	h, m, h, h	12,14,16,16	12	-7	2	2		
	2, 2, 2, 2, 2, B	h, m, h, h (TJ) (BT)	12, 14, 16, 16	12	-21	-12	-12		
1567	2, 2, 2, 2, 2	h, m, h, h, m (TJ)	12,14,16,16,21	12	-10	KND	Launch		
1592	3	h	17	16	-9	7	7	Homing	
1593	3, 4	h, h	17,21	16	-5	KND	CS	Tail spin	
1594	4	h	16	12	-9	-3	-3		
1595	4, 2	h, h (TJ) (special)	16,14	12	-3	6	6		
1596	3+4	m (TJ)	14	32 js20~	-5	+6s	+6s		
1597	3+4, 3+4	m, m (TJ)	14,16	32	-5	+6s	+6s		
1626	f+2	h	12	13	-9	2	2		
1627	f+2, 3	h, h	12,20	13	-6	KND	KND	Homing	
1664	f+4	m	14	15	-8	-1	-1		
	f+4, F	m (SET)	14	15	0	7	7		
1636	f+1+2	m	20	14	-11	KND	KND		
1665	f+3+4	h (TJ)	20	18 js10~	-2	KND	Tail spin	Homing, Tail spin	
1717	d/f+1	m	10	13	-2	5	5		
1718	d/f+1, 2	m, m	10,12	13	-10	1	1		
1719	d/f+1, 2, 2	m, m, m	10,12,20	13	-14s	KND	KND		
1720	d/f+1, 3	m, h	10,20	13	-9	5	Launch		
1721	d/f+2	m	13	15	-12	Launch	Launch		
1725	d/f+3	m	14	17	-6	2	4		
1726	d/f+3, 2	m, l (TC)	14,20	17	-15	KND	KND		
	d/f+3, 2, D	m (TC) (cancel)	14	17s	-13	-5	-3		
1728	d/f+4	m	13	12	-9	2	2		
1724	d/f+1+2	m, m (TJ)	9,20	17	-14	KND	KND		
1730	d/f+3+4	m, m	10,20	17	-2	+7s	+7s		
	d/f+3+4, B	m, m (BT)	10,20	17	-2	+7s	+7s		
1700	d+1	m	23	19	-3s	+5s	KND		
	d+1, D	m	23	19s	-3s	+5s	KND		
1702	d+2	m	11	16	-9	+2s	+2s		
1703	d+2, 1	m, m	11,7	16	-12	-1	-1		
1704	d+2, 1, 2	m, m, m	11,7,7	16	-9	4	4		
1705	d+2, 1, 2, 1+2	m, m, m, m	11,7,7,20	16	-13	KND	KND		
1707	d+3	l	12	16	-14	-3	-3		
1708	d+3, 4	l, h	12,16		-9	0	0		
1709	d+3, 4, 1	l, h, sm (Special)	12,16,10,25		-11	Throw	Throw		
1716	d+4	l (TC)	l	12 cs4~	-13	-2	-2		
1732	d/b+1	sm (TC)	5	10 cs4~	-5	6	6		
1733	d/b+2	m	15	16	-6	7	7		
1734	d/b+2, 4	m, m	15,15	16	-9	2	2		
1735	d/b+2, 4, 2	m, m, m (TJ)	15,15,21	16	-8s	KND	KND		
1737	d/b+3 of FC d/b+3	l (TC)	8	18 cs6~	-25	-14	-14		
1738	d/b+3, 3	l (TC), l(TC)	8,7	19 cs6~	-19	-7	-7		
1739	d/b+3, 3, 3	l (TC), l(TC), l(TC)	8,7,7	20 cs6~	-19	-7	-7		
1740	d/b+3 x 4	l (TC) x 4	8,7,7,5	21 cs6~	-19	-7	-7		
1741	d/b+3 x 5	l (TC) x 5	8,7,7,5,5,	22 cs6~	-19	-7	-7		
1742	d/b+3 x 6	l (TC) x 6	8,7,7,5,5,5,	23 cs6~	-47	-35	-35		
	d/b+3, 3, …, 4	l (TC), l(TC), …., m	8,7,…,15	24 cs6~	-8	KND	KND		
1744	d/b+4	l	11	17	-12	0	+8s		
1736	d/b+1+2	m	25	27	-14	KND	KND	Wall bounce	
1666	b+1	h	9	17	1	7	12		
1667	b+1, 1	h, h	9,10	17	5	6	11		
1668	b+1, 1, 1	h, h, h	9,10,11	17	5	6	11		
1669	b+1 x 4	h x 4	9,10,11,12	17	5	6	11		
1670	b+1 x 5	h x 5	9,10,11,12,13	17	5	6	11		
1671	b+1 x 6	h x 6	9,10,11,12,13,14	17	-72	-71	-66		
1674	d/b+3 (after b+1 (, 1))	l (TC)	7	17	-20	-9	-9		
	d/b+3, 3 (after b+1  (, 1))	l (TC), l (TC)	7,5	17	-19	-7	-7		
	d/b+3, 3, 3 (after b+1 (, 1))	l (TC), l(TC), l(TC)	7,5,5	17	-47	-35	-35		
	d/b+3, 3, 4 (after b+1 (, 1))	l (TC), l(TC), m	7,5,15	17	-8	KND	KND		
1675	b+2	m	23	17 pc8~	-13	KND	KND		
1679	b+3	m	10	21	-10	+1s	+1s		
1680	b+3, 4	m, m	10,23	21	-20	KND	KND		
1681	b+4	m (TJ) (BT)	15	18 js17~	-8	6	6		
1683	b+4, 3	m, m	15,20	18 js17~	-16	KND	Launch		
1678	b+1+2	h, m	10,20	17	-11	KND	KND		
	b+3+4	(BT)		17					
1631	f, F+2	m	24	19 js21	-10	KND	Launch		
1759	f, F+4	m	11	9 js9~	-17	-1	-1		
1760	f, F+4, 2	m, m	11,23	9 js9~	-17	KND	KND		
1632	f, F+1+2	h!	20	30	KND	KND	KND		
1761	f, F+3+4	m	15	22	-12	1	1		
	f, F+3+4, B	m (BT)	15	22	-12	1	1		
1766	f, F+3+4, 2	m, m (,h) (TJ)	15,15,23	22	-17	KND	KND		
1768	f, F+3+4, 3	m, m (TJ) (BT)	15,20	22	-3	KND	KND		
	f, F+3+4, U	m (TJ) (Special)	15	22	-61	-48	-48		
1629	f, N, d, d/f+2	m (,h)	15,23	14 js16~	-17	KND	KND		
1614	qcf+1	m (special)	10,25	15	-11	Throw	Throw		
1628	qcf+2	m	21	13	-12s	KND	KND		
1638	qcf+1+2	m	27	20 js20~	-9	D	D		
1754	f, f, f+2	h (throw)	20, (,10, 10)	15	0	throw	throw		
1757	f, f, f+3	m	30	23 js3~	±0	KND	KND		
1485	u/b or u or u/f+1	m	12	18 js9~	-12	-1	-1		
1505	u/b or u+2	h	17	13	-7	5	throw		
	u/b or u+2 (counter hit)	h	17,25	13			throw		
1503	u/f+2	l	19	35 js10~	-14	8	KND		
	u/f+2, D	(cancel)		35 js10~					
	u/b+3	(special)		js6~					
	u+3	(special)							
1526	u/f+3	m	13	15 js9~	-13	Launch	Launch		
1528	u/f+3, 4	m, h	13,20	15 js9~	-13	Launch	Launch		
1531	u/b, u or u/f+4	m	22 (20)	24	-7	KND	KND		
1501	u+1+2	m!	21	51	D	KND	KND		
1538	u/b+3+4	m	25	19 js9~	-17	Launch	Launch		
1533	u+3+4	m, m	10,12	39 js12~	+5s	KND	KND		
	u/f+3+4	(MUS)			–				
1535	MUS 2	25	l	25	-18	KND	JG		
1536	MUS 4	m	30	13	-14	KND	KND		
1559	u/f, N, 4	m	25	24 js9~	-14	KND	KND		
	u/b, b	(special)		js10~	–				
1758	u/b, b+3	m (TJ)	30	68	±0	KND	KND		
1685	FC 1	sm (TC)	5	10	-5	6	6		
1687	FC 2	sm (TC)	8	11	-4	7	7		
1692	FC 3	m (TC)	12	16	-17	-3	-3		
1694	FC 4	m (TC)	10	12	-15	-4	-4		
1747	WS 1	m	11	13	-7	4	4		
1748	WS 1, 1	m, m	11,15	13	-8	+3s	KND		
1749	WS 2	m	14	14	-9	1	1		
1750	WS 2, 4	m, h	14,20	14	-9	+11k	KND	Tail spin	
	WS 2, 4, F	m, l (SET)	14,20	14	-9	+11k	KND	Tail spin	
1751	WS 3	m	16	15 js9~	-13	Launch	Launch		
1752	WS 4	m	15	11	-6	5	5		
1688	FC d/f+2	m (TC)	16	22	-13	2	+15g		
1697	FC d/f+3	m (TC)	20	18	-26	KND	KND		
1769	SS 2	m	13	17	-6	5	5		
	SS 2, B	m (BT)	13	17	-5	6	6		
1772	SS 2, 1+2	m, m, m	13,10,20	17	-10	KND	KND		
1773	SS 4	l	23	24	-37	KND	KND		
	1+3+4 or BT 1+2+3								
	2+3+4 or BT 2+3+4								
	1+2+3+4	(special)							
	(back agains wall) b, b, u/b	21	m	37	-3	KND	KND		
1581	BT 1	h (BT)	15	15	-6	5	5		
1583	BT 1, 2	h, m	15,12	15	-8	3	3		
1584	BT 1, 2, 1	h, m, m (TJ)	15,14,21	15	-11	KND	KND		
1585	BT 1, 2, 2	h, m , m	15,14,24	15	-9	KND	KND		
1586	BT 1, 2, 4	h, m, m (TJ)	15,14,23	15	3	KND	KND		
1587	BT 1, 3	h, m	15,12	15	-6	1	1		
	BT 1, 3, F	h, m (SET)	15,12	15	1	8	8		
1588	BT 2	h	12	12	-6	2	2		
	BT 2, 3	h, h	12,20	12	-6	KND	KND		
1598	BT 3	m (BT)	20	24 js6~	-3	KND	KND		
1599	BT 4	h	17	13	-3	+16k	KND		
1590	BT 1+2	m, m	10, 15	14	-2	7	7		
	BT 3+4 (counters h)	m!	25	3~12		KND	KND		
1591	BT f+1+2	m	21	16	-12	KND	KND		
1689	BT d+1	sm (TC)	20	10 cs1~	-2	9	9		
1691	BT d+2	l	20	17 cs6~	-13	+3s	KND		
1695	BT d+3	l	12	10 cs1~	-11	3	3		
1601	BT d+4	l, l	10, 10	20 cs4~	-14	+1s	+1s		
	1+2	(KAT)							
1570	KAT 1	m	14	15	-5	6	12		
1571	KAT 2	m	21	22	-11	KND	KND		
1572	KAT 3	m	10		-6	+2s	+2s		
1573	KAT 3, 2	m, m	10,15	18	-16	Launch	Launch		
1574	KAT 4	h (TC)	16	22 js1~	-16	-2	-2		
1575	KAT 4, 2	h, l	16,23	22 js1~	-9	KND	Tail spin	Tail spin	
	KAT F	(SET)							
	KAT B	(BT)							
	KAT U	(special)							
	f+3	(SET)							
1647	SET 1	h	10	10	-3	8	8		
1648	SET 1, 2	h, h	10,13	10	-6	8	8		
1649	SET 1, 2, 1	h, h, m (TJ)	10,13,21	10	-11	KND	KND	Tail spin	
1650	SET 1, 2, 2	h, h, m (TJ)	10,13,24	10	-9	KND	KND		
1651	SET 1, 2, 3	h, h, m (TJ)	10,13,23	10	-4	KND	KND		
1652	SET 1, 2, 4	h, h, m (TJ)	10,13,23	10	+3s	KND	KND		
1653	SET 2	m	17	12	-9	+12k		Tail spin	
	SET 2 (counter hit)	m	17,10	12			KND		
1656	SET 3	l	17	18 cs6~	-16	0s	KND		
1657	SET 4	m	16	18	-8	6	6		
1658	SET 4, 3	m, m (TJ)	16,23	18	-13	KND	KND		
	SET 3+4	(special)		js 8~					
	SET D	(special)							
	SET B	(special)							
1660	SET u/f+4	m	12	13 js11~	-14				
	SET u/f+4 (hit in front)	m	12,25	13 js11~		throw	throw		
	b+1+3 or b+2+4 (counters h)		35	3~12		throw			
