move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2311	in rage 1+2	m	55	20 pc8~17	-26	KND	KND	Rage art	Lw_RageArts02
1757	in rage d/b+4, 3+4	l, h	20,32	24 js19~	-9	KND	KND	Rage drive, Homing	Lw_dklk0_3_EX
1586	1	h	7	10	+1	+8	+8		Lw_lp00_A
1805	1, 1	h, h	7,5	10	-7	-8	-8		d_pu01
1807	1, 1, 1	h, h, h	7,5,5	10	-7	-8	-8		d_pu01_1
1809	1, 1, 1, 1	h, h, h, h	7,5,5,5	10	-7	-8	-8		d_pu01_2
1811	1, 1, 1, 1, 1	h, h, h, h, h	7,5,5,5,5	10	-7	+13(SH) 1CH,+5	+13(SH)		d_pu01_3
1588	1, 2	h, h	7,8	10	-1	+6	+6		d_pu04
	1, 2, b, f	h, h, (DSS)	7,8	10	-2	+5	+5	
1822	1, 2, 2	h, h, m	7,8,10	10	-8	+4	+4		d_pu05
1823	1, 2, 2, 2	h, h, m, h	7,8,10,10	10	-9	+4	+4		d_pu06
	1, 2, 2, 2, b, f	h, h, m, h, (DSS)	7,8,10,10	10	-4	+9	+9	
1824	1, 2, 2, 1+2	h, m, m	7,8,10,21	10	-13~-10	KND	KND		Lw_backhands
1594	1, 2, 3	h, h, m	7,8,10	10a	-6~-5	+5~+6 (KND)	KND		Lw_hiza00
	1, 2, u/f+3	h, h, (Special) (TJ)	7,8	10a,s	-23	-16	-16	
	1, 2, u/f+3, 4	h, h, (Special) (TJ), m	7,8,20	10,	-9~-8	Launch (JG?)	Launch (JG?)	
1611	2	h	8	10	0	+6	+6		Lw_rp00
	f+2	h	10	12	0	+6	+6	
	2, 2	h, m	8,10	12	-8	+4	+4	
	2, 2, 2	h, m, h	8,10,10	12	-9	+4	+4	
	2, 2, 2, b, f	h, m, h, (DSS)	8,10,10	12	-4	+9	+9	
	2, 2, 1+2	h, m, m	8,10,21	12	-13~-10	KND	KND	
1615	2, b+2	h, h	8,8	12b	-4	+7	+7		Lw_rpcom2
1616	2, b+2, 1	h, h, h	8,8,8	12	-3~-2	+3~+4	+3~+4		Lw_rpcom3
1617	2, b+2, 1, 2	h, h, h, m	8,8,8,21	12	-3s	KND	KND		Lw_rpcom4
	2, b+2, 1, 2, d	h, h, h, m	8,8,8,21	12s	-3s	KND	KND	
1630	3	h	12	12	-9	+2	+2		Lw_lk00
	f+3	h	16	15	-13	-2	SH	
1662	3, 3	h, m	12,17	12	-14	-3	KND		Lw_lk00F2
1631	3, 4	h, h	12,20	12	-10	KND	KND	Tail spin	Lw_lkrk
1633	4	h	14	11	-9	+7	Launch (JG?)		Lw_rk00
	f+4	h	16	13	-9	+7	Launch (JG?)	
1829	4, 3	h, h	14,12	13	-14~-13	-5~-4	-5~-4		Lw_rklk
	4, 3, b, f	h, h, (TFS)	14,12	13	+7	+16g	+16g	
1830	4, 3, 4	h, h, h	14,12,14	13	-6	-1	Launch (JG?)		Lw_rklkrk
	4, 3, 4, b, f	h, h, h, (TFS)	14,12,14	13	+7	+12	Launch (JG?)	
1835	4, u+3	h, m (TJ)	14,23	js23~	-1~+1	KND	KND		Lw_rksmlk
1644	3+4	mm (TJ)	5,12	14~15, 26a js14~	-12	KND	KND		Lw_jplrk01Fb
1645	3+4, 4	mm (TJ), h	5,10,15	14~15, 26 14~	-13~-11	+5~+7k	+5~+7k	Tail spin	Lw_jplrk02F
1863	f+2~1	m	32	19~20 (20~)	+5~+6	KND	KND		Lw_1intlp
1871	f+1+2	m	20	20	+3s	+8s	KND		Lw_DwRP
	f+1+2, D	m	20	20s	+3s	+8s	KND	
1670	f+3+4	m (TJ)	20	25~26 js11~	-2~-1	+7~+8s	KND		Lw_Kakato
1655	f+1+4	m	25	23~24	-14~-13	KND	KND		Lw_yokelp
	d/f+1	m	10	13	-1	+5	+5	
	d/f+2	m	12	15~16	-7~-6	Launch (JG?)(+4a)	Launch (JG?)	
1740	d/f+3	m	18	17	-12	-1	-1		Lw_t_slkFC
1741	d/f+3, 3	m, l	18,8	17	-14	-3	-3		Lw_dklk0
1746	d/f+3, 3, 3	m, l, h	18,8,14	17	-8	+1	+1		Lw_dklk1
1850	d/f+3, 3, 4	m, l, m (TJ)	18,8,23	s js19~	-17~-16	KND	KND		Lw_dklk0_4
1748	d/f+4	m	15	13	-8	+3	+3		Lw_t_srkFE
1832	d/f+4, 3	m, m (TJ)	15,23	s js14~	-18~-16	Launch (JG?)	Launch (JG?)		Lw_tsrksmlk
1874	d/f+3+4	l (TC)	12	18s	-15	+4s	KND		Lw_3lrk
1714	d+1	l (TC)	15	21~22s cs6~	-12	+2s	+2s		Lw_t_slp00
1718	d+1, 3	l (TC), h	15,21	21~22 6~	-9~-8	KND	Launch	Tail spin	Lw_slp2lk
1719	d+2 or FC+2	Sm (TC)	8	11s cs4~	-4	+7	+7		Lw_t_srp00
1833	d+2, 3	Sm (TC), m	8,21	11 4~	-15~-12	Launch (JG?)	Launch (JG?)		Lw_tsrpsmlk
1720	d+3	l	8	16	-14	-3	-3		Lw_t_slk
	D+3	l	8	16s	-14	-3	-3	
1722	d+3, 3	l, h	8,17	16	-7	KND	CS		Lw_t_slk02
1730	d+4	l	7	15	-11	0	0		Lw_t_srk00
1731	d+4, 3	l, h	7,12	js5~12	-12	0(SH)	+5		Lw_t_srk01
1700	d+3+4	l (TC)	7	12s cs4~	-13	-2	-2		Co_t_srk00
1834	d+3+4, 3	l (TC), m (TJ)	7,23	s js19~	-18~-16	Launch (JG?)	Launch (JG?)		Lw_syrksmlk
1749	d/b+2	m	15	14b	-4	+7	+7		Lw_HiziB
1751	d/b+2, 4	m, m (TJ)	15,25	js15~	-17~-10	KND	KND		Lw_hzovhrkA
	d/b+2, 4, D	m, m (TJ)	15,25	d js15~	-6~+1	KND	KND	
1725	d/b+3	l	20	17~19	-12~-10	+4~+6s	KND		Lw_floor_k00
1754	d/b+4	l (TC)	20	26~27 cs6~	-37	KND	KND	Homing	Lw_dklk0_R2
1849	d/b+4, 4	l (TC), m (TJ)	20,27	js26~	-9~-7	KND	KND		Lw_dklk0_3
1852	d/b+1+2	!	90	78	KND	KND	KND		Lw_fungAtk
	d/b+1+2, u, u (Cancel)	(DSS)		78				
1735	d/b+3+4	m (TJ), m	25,25	19~20a ,51~52 js15~	-9~-2	Launch	Launch		Lw_ovhrkBKS
1734	d/b+3+4 (Second hit miss)	m (TJ)	25	19~23 js15~	-41~-37	Launch	Launch		Lw_ovhrkBK
	d/b+3+4 (First hit whiffs or blocked)	m	25	51~52	-9~-2	+2~+9s	+2~+9s	
	D/B+3+4	m (TJ)	25	19~23d js15~	-27~-23	Launch	Launch	
1677	b+1	m	12	14	-9	+2	+2		Lw_lp00B_C
1826	b+1, b, f	m, (DSS)	12	14	-7	+4	+4		Lw_urarp00
1828	b+1, 2	m, m	12,12	14	-14	0	0		Lw_urrprp00
	b+1, 2, b, f	m, m, (DSS)	12,12	14	-10	+4	+4	
	b+1, 2, 2	m, m, m	12,12,22	14	-14~-13	KND	KND	
1678	b+2	m	12	16	-8	+4	+4		Lw_mUraken
1682	b+2, 1	m, h	12,15	16	-1~0	+16~+17kg	+16~+17kg	Tail spin	Lw_4rplrp
1683	b+2, 2	m, h	12,10	16	-9	+4	+4		Lw_4rprp
	b+2, 2, b, f	m, h, (DSS)	12,10	16	-4	+9	+9	
1684	b+2, 3	m, l	12,10	16	-12	-1	-1		Lw_lowside2
1685	b+2, 3, 4	m, l, m	12,10,23	16	-7~-5	Launch	Launch		Lw_keriage2
	b+2, 3, 4, b, f	m, l, m, (TFS)	12,10,23	16	-8~+6	Launch	Launch	
1686	b+2, 3, d+4	m, l, l?	12,10,23	16s	-37	KND	KND		Lw_dklk0_2
1688	b+3	m	27	23~26	-12~-9	KND	KND	Homing, Tail spin	Lw_lk00B
	b+3, B	m	27	23~26b	-11~-8	KND	KND	Homing, Tail spin
1692	b+4	m	13	14	-7	+3	+3	Homing	Lw_rk01B
1693	b+4, 3	m, h	13,21	14	-6~-4	KND	KND	Tail spin	Lw_rkBlk
	b+4, B	m	13	14b	-4	+6	+6	
1608	b+3+4	m	25	23~24	-18~-17	KND	KND		Lw_4lrk
1782	u/f+1 or d/b+1+2, 1 or 1+2+3+4, 1	h	10	12	-5	+6	+6		Lw_feint
1783	u/f+1, 3	h, l	10,10	12	-13	-1	-1		Lw_feillk00
1550	u/b or u or u/f+3	m (TJ)	25	21 js9~	-17	KND	KND		Lw_sjplkiF
1845	u/b or u or u/f+3, 4	m (TJ), m (TJ)	25,23	s js9~34, js44~	-18~-16	Launch (JG?)	Launch (JG?)		Lw_sjlksmrk
1792	u/f+4	m (TJ)	14	15~17	-13~-11	Launch (JG?)	Launch (JG?)		Lw_sjpskF
1723	u/f+3+4	l (TJ)	27	29~30 js8~	-24	+5	+5		Lw_2LRK
	u/b or u or U/F+3	(Special) (TJ)		a,s				
1846	u/b or u or U/F+3, 4	(Special), m	20	10~11 (44~45)	-9~-8	Launch (JG?)	Launch (JG?)		Lw_srolrk
	U/B+4 or FC+u/b+4	m (TJ)	15	18~28s js9~	-17~-7	-6~+4	-6~+4	
	U+4 or FC+u+4	m (TJ)	18	18~28s js9~	-17~-7	Launch (JG?)	Launch (JG?)	
	U/F+4 or FC+u/f+4	m (TJ)	23	18~28s js9~	-17~-7	Launch (JG?)	Launch (JG?)	
1831	u/b or u or U/F+4, 3	m (TJ), m (TJ)	22,22	s js9~34, js43~	-18~-15	Launch (JG?)	Launch (JG?)		Lw_sjrklk
1877	f, F+2	m	12	14~16 (15~)	-7~-5	+7~+9	+7~+9		Lw_dh_com01h
