move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2123	In rage d/f+1+2 or HRM d/f+1+2	m (throw)	55	20	-22	throw	throw	Rage Art	Nb_RageArts02
1629	In rage f+1+2	mmm	10,5,25	15	2	KND	KND	Rage Drive	Nb_WP00F3_EX
1609	1	h	7	10	1	8	8		Nb_lp00F
1610	1, 1	h, m	7,7	10 (18~19)	-9	2	2		Nb_lp00F2
1614	1, 1, 1+2	h, m, hhhh	7,7,12	10 (19~20)	-13	-2	-2		Nb_lp00F6
1616	1, 1, 1+2, 1	h, m, hhhh, m	7.7.12,15	10 (23~24)	-16	KND	KND		Nb_lp00F7
1617	1, 2	h, h	7,9	10 (12)	-1	5	5		Nb_lprp00
1618	1, 2, 1	h, h, h	7,9,17	10 (27~28)	-6	8	8		Nb_lprpLP
1619	1, 2, 3	h, h, h (TJ)	7,8,21	10 (23~24)	-6	KND	KND	Tail spin	Nb_lprpLK
1620	1, 2, 4	h, h, m (HRM)	7,8,11	10 (16)	-9	3	3		Nb_lprpRK
1552	2	h	12	10	0	9	9		Nb_rp00
1556	2, 2	h, h	12, 20	10 (25~26)	-7	7	KND		Nb_rprp
1553	2, 1	h, m	12, 12	10 (12~13)	-7	4	4		Nb_rp02
1554	2, 1, 2	h, m, h	12, 12, 17	10 (20~21)	-7	4	4		Nb_rp03
1555	2, 1, 2, 1	h, m, h, m	12, 12, 17, 21	10 (21~23)	-13	KND	Launch		Nb_rp04
1577	3	m	14	15	-8	3	3		Nb_lk00
1578	3, 3	m, l	14, 17	15 (18)	-14	2	KND		Nb_lk02
1579	4	h	15	12	-11	0	0		Nb_rk00
1580	4, 4	h, m	15, 13	12 (15~16)	-13	3	3		Nb_rk02
1561	1+2	hhh	9,3,3	14	-6	0	0		Nb_WP00
1568	1+2, 1+2	hhhhhh	9,3,3,3,3,3	14	-9	0	0		Nb_WP04
1576	1+2, 1+2, 1	hhhhhh, m	9,3,3,3,3,3,27	14	-17	KND	KND		Nb_WP_ZUDON
1557	2+3	l	16	100	-26	16	0		Nb_Dog00
1621	f+2	h	15	14	-9	2	2	Homing	Nb_rp00F
