move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2122	in rage 3+4	m (TJ)	55	20 pc8~17 js8~	-22	KND	KND	Rage art
1660	in rage d/f+2+3	m, h	10,20	22 js9~	+9~+10	KND	KND	Rage drive, Homing
1628	1	h	7	10	+1	+8	+8	
1581	1, 2	h, h	7,12	10	-1	+8	+8	
1765	1, 2, 3	h, h, l (TC)	7,12,10	cs10~	-13	-2	KND	
1767	1, 2, 4	h, h, m (TJ)	7,12,20	js21~	-9~-4	KND	KND	
1582	2	h	8	10	0	+8	+8	
	2, 3	h, l (TC)	8,10	cs10~	-13	-2	KND	
1584	2, 4	h, h	8,20	10~	-2~+2	KND	KND	Tail spin
1592	3	m	12	15~16b	-11~-10	-3~-2	-3~-2	
1593	3, 1	m, m	12,20	15~16	-13~-12	KND	KND	Wall bounce
1594	3, 2	m, h	12,8	15~16	-5	+2	+6	
""	3, 2, F	m, h	12,8	15~16	-2	+5	+9	
1596	3, 2, 3	m, h, h (TJ)	12,8,22	js13~	-9~-6	KND	KND	
1619	4	h	16	12	-4	+7	+7	
1800	4, 1	h, h	16,7	12	-1	0	+2	
1801	4, 1, 3	h, h, m	16,7,10	12	-11~-9	0~+2s	+8~+10s	
1636	1+2	m	26	12	-12	KND	KND	
1629	f+2	h	12	12~13	-9~-8	-1~0	-1~0	
1630	f+2, 3	h, m	12,20	12~13	-15~-14	KND	KND	
1598	f+3	m	26	20~22	-6~-4	KND	KND	Homing, Tail spin
1650	f+4	m	23	17	-9	KND	KND	
1634	f+1+2	m	19	14~15	-6~-5	+3~+4s	KND	
1653	f+3+4	mm (TJ)	8,22	18~20, 35~37 js12~24	-4~-2	KND	KND	
1652	f+3+4 (First hit only)	m	8	18~20 js12~24	-25~-23	KND	KND	
""	f+3+4 (Second hit only)	m	22	35~37	-4~-2	KND	KND	
1654	f+3+4~3	m (TJ), m	8,20	18~20, 54~57 (12js~)	-8~-5	KND	KND	
1655	f+3+4~3, 4	m (TJ), m, m	8,20,20	js18~	-20~-16	KND	KND	
1718	d/f+1	m	12	13	-1	+7	+7	
1719	d/f+2	m	16	16~17	-11~-10	Launch (JG?)	Launch (JG?)	
""	d/f+2, B	m(BT)	16	16~17b	-11~-10	Launch (JG?)	Launch (JG?)	
1723	d/f+3	m	23	20~22	+3~+5s	+8~+10g	KND	
1726	d/f+4	m	14	15~16	-8~-7	-2~-1	+5~+6	
1727	d/f+4, 4	m, l	14,21	15~16	-15~-14	+1~+2	+6~+7	
1656	d/f+3+4	m (TJ)	14	24~29b js12~	-4~+1	KND	KND	
1658	d/f+3+4, 3+4	m (TJ), mm (TJ)	14,5,20	b js14~	-7~-6	KND	KND	
1657	d/f+3+4, 3+4 (Third hit miss)	m (TJ), m	14,5	b js14~	-18~-16	KND	KND	
1703	d+1	l (TC)	10	18~19 cs11~	-11~-10	0~+1	0~+1	
	d+1, D	l (TC)	10	18~19s cs11~	-11~-10	0~+1	0~+1	
1707	d+1, 2	l (TC), h	10,8	18~19 11~	-8~-7	+3~+4	+5~+6	
""	d+1, 2, B	l (TC), h, (BT)	10,8	18~19 11~b	-8~-7	+3~+4	+5~+6	
1709	d+1, 2, 4	l (TC), h, m	10,8,24	18~19 11~	-9~-7	KND	KND	Tail spin
1755	d+2	m	16	16~17	-7~-6	-1~0	-1~0	
