move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2274	In rage b+1+2	m (throw)	55	20	-22	throw	throw	Rage art	Va_RageArts02
1565	In rage f+2+3	m (throw)	35(,12)	21	+7g	throw	throw	Rage drive	Va_RDtac00
	In rage f+2+3 (far)	sm	10	45	-10	+9s	+9s	Rage drive	
1562	1	h	7	10	+1	+8	+8		Va_lp00F
1547	1, 2	h, h	7, 12		-1	+5	+5		Va_lprp00
	1, 2, 3+4	h, h, (special)7, 12			-3	+3	+3		
	1, 2, 3+4, 3+4	h, h (special)	7, 12		-2	+4	+4		
1549	1, 2, 3	h, h, m	7, 12, 12		-16	-5	-5		Va_rplk00
1550	1, 2, 3, 1+2	h, h, m, h	7, 12, 12, 28		+4s	+8s	+8s		Va_lkHead2
	1, 2, 3, 1+2, 2+4	h, h, m, h (VTS)	7, 12, 12, 28		+3s	+7s	+7s		
1548	1, 2, f+1	h, h, h	7, 12, 21		+4	+6	KND		Va_rprhi00
1563	1, d+2	h, m	7, 13		-9	+7	+7		Va_lpfsrp00
1552	2	h	10	10	0	+8	+8		Va_rp00
1718	2, 1	h, h	10, 12		+3	+5	+5		SPVaA_02
1553	2, d+1+2	h, m	10, 22		-12	JG	JG		Va_rpst00
	3	h	28	17	-14	KND	KND		
	4	h	16	13	-5	+6	JG		
1555	1+2	m	0	15	-9	+3	+16		Va_push00
1578	f+2	h	20	16	-7	+7	KND		Va_Binta00
1579	f+2, 1	h, h	20, 25		-7	KND	KND	Tail spin	Va_Binlp00
1580	f+2, d+1	h, m	20, 17		-13s	+2s	+2s		Va_Binlp01
1581	f+2, d+1, 2	h, m, m	20, 17, 16		-15	JG	JG		Va_Binlpup
1589	f+3	m	13	23	-8	+5	+5		Va_lk00FR
1590	f+3, 2	m, m	13, 20		-11	Launch	Launch		Va_lkrp00
1596	f+4	m	20	19	8s	+2s	KND		Va_rk00F
1586	f+1+2	h	21	15 pc8	-10	KND	KND		Va_doubleSP
1598	f+3+4	h!	30	32	KND	KND	KND		Va_tackle
	f+3+4, 3+4	(special)		total 45					
1564	f+1+4	m	25	21	-18	+9g	+9g		Va_jtac00
1639	d/f+1	m	15	15	-13	JG	JG		Va_t_slpF
1641	d/f+2	m	16	15	-7	+6	+6		Va_t_srpF
1642	d/f+2, 1	m, m	16, 21		-13	KND	KND		Va_fsrplp
1645	d/f+3	m	13	17	-10	+2	+2		Va_t_slkF
1646	d/f+3, 1	m, h	13, 7		+2	+5	+5		Va_lklp00
1647	d/f+3, 1, 2	m, h, h	13, 7, 10		-1	+5	+5		Va_lklprp00
	d/f+3, 1, 2, 3+4	m, h, h (special)	13, 7, 10		-3	+3	+3		
	d/f+3, 1, 2, 3+4, 3+4	m, h, h (special)	13, 7, 10		-2	+4	+4		
	d/f+3, 1, 2, 3	m, h, h, m	13, 7, 10, 12		-16	-5	-5		
	df3, 1, 2, 3, 1+2	h, h, m, h	7, 12, 12, 28		+4s	+8s	+8s		
	df3, 1, 2, 3, 1+2, 2+4	h, h, m, h (VTS)	7, 12, 12, 28		+3s	+7s	+7s		
	d/f+3, 1, 2, f+1	m, h, h, h,	13, 7, 10, 12, 28		+4	+6	KND		
