move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2155	in rage 1+2	m	55(10,45)	20 pc8~17	-22	KND	KND	Rage art	Pl_RageArts0EX
2154	in rage 1+2, b	m	20	20	-22	TSU	TSU	Rage art	Pl_RageArts02
1721	in rage qcf+1+2	m	40(60)	12(14~)	+3(wl+9)	KND	KND	Rage drive	Pl_hadoh03_EX
1624	1	h	7	10	+1	+8	+8		Pl_lp00F
1603	1, 2	h, h	7,12	10	-1	+6	+6		Pl_lprpF
	1, 2, 3	h, h, m	7,12,7	10	-25~-24	-14~-13	-14~-13	
1819	1, 4	h, l (TC)	7,8	s cs10~	-11	+1	+1		Ni_lprkd
1608	2	h	10(12)	10	0	+6	+6		Pl_rp00R
1768	2, 3	h, h	12,21	10	-12~-11	KND	CS		Pl_rplk_t
1770	2, d+3	h, l (TC)	10,11	s cs10~	-12	-1	-1		Pl_rplks
1611	3	m	14	15~16	-7~-6	+4~+5	+4~+5		Pl_lk00
1612	3, 2	m, h	14,17	15~16	-3	+7	KND		Pl_lkrp
	3, 2, b	m, h	14,17	15~16	+4	+14g	KND	
	3, 2, b, any input	m, h, Special (cancel)	14,17	15~16	+3	+13g	KND	
	4	h	17	12	-7	+7	Launch (JG?)	
1625	f+2	h	10	12	0	+6	+6		Pl_rp00F
1771	f+2, 3	h, h	10,16	12	-11~-10	+5~+6	+5~+6		Pl_rplkf
1772	f+2, 3, 1	h, h, m	10,16,22	12	-12	KND	+19		Pl_rplkfhizi2
1626	f+1+2	m	22	20~21	+3~+4s	+8~+9s	KND		Pl_midlp
1793	f+1+4	m	21	21~23	-14~-12	KND	KND		Pl_sdtetsuE
1671	d/f+1	m	13	14	-2	+4	+4		Pl_t_slpF
1672	d/f+1, 1	m, h	13,9	14	-5~-4	+5~+6	+8~+9		Pl_t_slpF2
1677	d/f+1, 1, 2	m, h, m	13,9,22	14	-9~-8	KND	KND		Pl_t_slpF3
1678	d/f+1, b	m, (Special)	13	14	+3	+9	+9		Pl_t_slpFRv
	d/f+2	m	13	15~16	-8~-7	Launch (JG?) (+3a)	Launch (JG?)	
1682	d/f+3	m	14	16	-9	+2	+2		Co_t_slkF
1683	d/f+3, 4	m, m	14,17	16	-10~-9	+6~+7	FS (+6~+7)		Pl_3lkrk
	d/f+3, 4*	m, m	14,25	16	-6~-5	FS (+6~+7)	FS (+6~+7)	
1694	d/f+4	m	21	19~20	-1~0	+9~+10	KND		Co_t_srkF
1660	d+1	m	16	14~15	-9~-8	+2~+3	+3~+4s		pol_kawara
	d+1, D	m	16	14~15s	-9~-8	+2~+3	+3~+4s	
1726	d+1, 2	m, m	16,26	14~15	-17	KND	KND		pol_kawapo
	d+1, 2 (Hold)	m, m	16,39	14~15	+20g	KND	KND	
1781	d+1, 4	m, l	16,15	14~15	-31	-17	KND		kawa_rakG
1733	d+1, 4, 2	m, l, m	16,15,21	14~15	-14	KND	KND		k_rakuyo
1727	d+4 (Close)	l	13	15	-31	KND	KND		pol_sk00
	d+4	l	9	15	-31	-17	KND	
1729	d+4, 2	l, m	9,23	15	-18	-9	-9		rakuyo2JST
	d+4:2:1+2	l, m, m	9,23,22	15	-17~-16	KND	KND	
1732	d+4, 2:1+2	l, m, m	9,23,25	15	-17~-16	KND	KND		Pl_raklpW_f2p
