move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2347	in rage b+1+2 or WS+b+1+2 or AOP b+1+2	m	55	20 pc8~17	-27	KND	KND	Rage art	Fu_RageArts02
1629	in rage RDS d+3, 3+4	l, m, (Special)	7,10	js11~	-4~-3	KND	KND	Rage drive, Tail spin	Fu_R_clkrk_EX
1598	1	h	7	10	+1	+8	+8		Fu_lp00F
1564	1, 2	h, h	7,8	10	-1	+5	+5		Fu_lprpF
1565	1, 2, 1	h, h, m	7,8,20	10	-9~-8	KND	KND		Fu_lprp_kasui
1800	1, D+2	h, m	7,10	10	-4~-1	+7~+10	+9~+12		Fu_lpdrp00F
	1, d+2	h, m(RDS)	7,10	10b	-3~0	+8~+11	+10~+13		
1802	1, d+2, 1+2	h, m, m	7,10,24	10	-12~-10	CS	CS		Fu_lpdrp01
1566	2	h	8	10	-2	+6	+6		Fu_rp00
1778	2, 1	h, m(RDS)	8,10	10b	-4	+7	+7		Fu_rpjou00
	2, D/F+1	h, m	8,10	10	-4	+7	+7		
1584	3	h	17	14~15	-11~-10	KND	KND	Tail spin	Fu_lk00
	4	h	15	11	-9	+8	Launch (JG?)		
1588	4~3	m (TJ)	23	23~25s (24~) js10~	-1~+1s	+3~+5s	KND		Fu_abise_00
1589	4~3, d+1+2	m (TJ), (Special)	23	23~25 (24~) js10~	0~+2s	+4~+6s	KND		Fu_abise_00AB
1894	1+2	m	24	20~21	-7~-6	CS	CS		Fu_Gheki
	3+4 or u+3+4	(Special)(Absorbs 1 h/m hit)		2~10		(+5b)			
	d+3+4	(Special)(Absorbs 1 h/m hit)		2~10		(+5b)			
1599	f+2	m	12	16~17	-7~-6	+4~+5	+4~+5		Fu_rp00F
1600	f+2, 1	m, h	12,14	16~17	-3	+8	+10		Fu_6rplp
1601	f+2, 1, 4	m, h, m	12,14,20	16~17	-9~-8	KND	Tail spin	Tail spin	Fu_6rplprk
1602	f+3	m	14	16~18	-9~-7	+2~+4	+2~+4		Fu_lk00F
1603	f+3, 1	m, m(RDS)	14,8	16~18	-4~-2	+7~+9	+7~+9		Fu_lklp
1605	f+3, 1, 1+2	m, m, mm	14,8,6,20	16~18	-12~-11	+7~+8s	+7~+8s		Fu_lklplrp01
1606	f+4	h	23	19~20	+1~+2	KND	KND	Tail spin, Homing	Fu_seiou00
