move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2222	In rage d/f+3+4	m (throw)	10,45	20 pc8~	-22	throw	throw	Rage Art	Qt_RageArts02
2125	In Rage f+2+3	m (throw)	10,20	14	+19g	throw	throw	Rage Drive	Qt_RAGEATTACK2
1571	1	h	7	10	1	8	8		Qt_lp00F
1551	1, 2	h, h	7,9		-5	4	4		Qt_lprpF
1567	1, 2, 3	h, h, h (SCR)	7,9,12		0	9	9		Qt_lprpFlk
	1, 2, 3, B	h, h, h	7,9,12		-9	0	0		
1572	1, 3	h, h (SCR)	7,14		-4	5	5		Qt_lplk00
	1, 3, B	h, h	7,14		-8	1	1		
1574	1, 4	h, m (TRT)	7,17		-5	2	KND		Qt_lprk00z
1552	2	h	8	10	-7	-1	-1		Qt_rp00
1553	2, 1	h, m	8,9	10	-6s	+2s	+2s		Qt_rplp
1554	2, 1, 3	h, m, l (MNT)	8,9,17	10	-17	KND	KND		Qt_rplplk
	2, 1, 3, D	h, m (MNT)	8,9	10	-17s	-9s	-9s		
1556	2, 2	h, m	8,12	10	-9	2	7		Qt_fwwp01
1559	2, 2, 1+2	h, m, m*3	8,12,7,11,20	10	-9s	+4s	+4s		Qt_fwwp02
	3	h (SCR)	17	13	0	9	9		
	3, B	h	17	13	-8	1	1		
	4	h	19	14	-6	-1	KND		
1562	1+2	m	20	16	-12	4	KND		Qt_lrp00
1563	1+2, 4	m, m	20,12	16	-10	1	6		Qt_fangrk
1564	1+2, 4, 4	m, m, m	20,12,26	16	-11	KND	KND	Tail spin	Qt_fangrk2
1575	f+2	m	17	19	-18	-6	KND		Qt_rp00F
1576	f+2, 3	m, h (SCR)	17,12	19	0	9	9		Qt_rpflk
	f+2, 3, B	m, h	17,12	19	-9	0	0		
1577	f+2, 3, 4	m, h, m	17,12,25	19	-18	KND	KND	Wall bounce	Qt_Asiankick
1582	f+3	h (SCR)	28	21	3	KND	KND	Tail spin	Qt_lk00F
	f+3, B	h	28	21	-1	KND	KND	Tail spin	
1587	f+4	h	13	14	-6	KND	KND	Tail spin	Qt_rk00F
1581	f+1+2	m	24	19	-9	KND	KND		Qt_lrp00F
1626	d/f+1	m	10	13	-5	7	7		Qt_t_slpF
1627	d/f+1, 2	m, m	11,16	13	-13	3	3		Qt_t_slpFrp
1628	d/f+1, 2, 1	m, m, m	11,16,20	13	-13	KND	KND		Qt_lpthrust
1630	d/f+1, 4	m, h	11,18	13	-6	+12k	+12k		Qt_tume_rk
1631	d/f+2	m	13	16	-12	Launch	Launch		Qt_t_srpF
1634	d/f+3	m (SCR)	15	14	-5	4	4		Qt_t_slkF
	d/f+3, B	m	15	14	-10	-1	-1		
1636	d/f+3, 4	m, h	15,17	14	-6	KND	KND	Tail spin	Qt_t_slkFrkH
1637	d/f+3, d+4	m, l (TC)	15, 15	14	-14	+1s	+1s		Qt_t_slkFrkL
1639	d/f+4	m	14	14	-14	3	3		Co_t_srkF
1641	d/f+4, 1	m, m	14,22	14	-13s	KND	KND		Qt_bridge01
	d/f+4, 1, D	m (Special)	14	14	-18	-2	-2		
1640	d/f+4, 2	m, m	14,20	14	-13	KND	KND		Qt_3rkrp
1633	d/f+1+2	m (TC)	20 cs6	36	-9	KND	KND	Homing	Qt_t_slrpF
1617	d+1	m	11	12	-16	-8s	-3s		Qt_Hammer
1618	d+1, 1	m, m	11,17	12	-12	KND	CS		Qt_Hammer2
1619	d+2	m	17	19	-16s	-3s	KND		Qt_t_srp00
1620	d+2, 4	m, m (TJ) (MNT)	17,13	19	-22	-4	-4s		Qt_rpscopio
	d+2, 4, D	m, m (TJ) (TRT)	17,13	19	-22	-4	-4s		
1770	d+2, 4, 3	m, m, m (TJ)	17,13,15	19	-13	KND	KND		Qt_kKAM_rklk
1622	d+3	l (TC)	14	22 cs6	-15	+2s	KND		Qt_t_slk00
