move_id	command	hit_level	damage	startup	block	hit	counter
0000	F+4,4	M,H,SP	16,21	17F	-7	+17	+17
0000	2+3	M	12	16F	+1	+2	+2
0000	F+1+2	H,SP	25	16F	-8	+17	+17
0000	B+3	M,SP	21	22F	+4	+17	+17
0000	Heat F+4,4+F	M,H,SP	16,21	17F	+5	KDN	KDN
0000	Heat F+1+2+F	H,SP	25	16F	+5	KDN	KDN
0000	Heat B+3,F	M,SP	21	22F	+5	Launch	Launch
0000	Heat & Libertador 2+F	M,SP	18	14F	+5	KDN	KDN
0000	Heat B+1,2,2	H,H,H,SP	14,16,20		+7	KDN	KDN
0000	Heat B+2	H,SP	21	18F	+7	KDN	KDN
0000	Heat 2+3	M,Th	15,38	15F	+6	Th	Th
0000	Rage DF+1+2	M,Th	10,45	20F	-15	Th	Th
0000	1	H	5	10F	+1	+8	+8
0000	1,1	H,H	5,15	10F	-5	+8	+8
0000	1,2	H,H	5,23	10F	-14	+8	+8
0000	1,2+B	H,H,SP	5,23	10F	-14	+8	+8
0000	2	H	9	10F	0	+9	+9
0000	2,1	H,M	9,11	10F	-3	+7	+7
0000	2,1,2	H,M,H	9,11,21	10F	-5	KDN	KDN
0000	3	M	11	14F	-7	+4	+4
0000	3,2	M,M	11,18	14F	-12	+6	KDN
0000	3,2+F	M,SP	11	14F	-18	-7	-7
0000	3,3	M,H	11,23	14F	-1	KDN	KDN
0000	4	H,SP	15	12F	-8	+3	+8
0000	4,2	H,H,SP	15,11	12F	-2	+4	+6
0000	4,3	H,M	15,17	12F	-11	+19	KDN
0000	1+2	H	14	15F	-10	+1	+1
0000	F+2	H	14	17F	-10	+1	+1
0000	F+2,1	H,M	14,17	17F	-10	+5	+5
0000	F+2,1,4	H,M,M	14,17,23	17F	-14	KDN	KDN
0000	F+3	M	15	18F	-4	+5	+5
0000	F+3,2	M,H	15,20	18F	-5	KDN	KDN
0000	F+4	M	16	17F	-8	+1	+1
0000	F+4,4*	M,H,SP	16,21	17F	-7	+17	+17
0000	Heat F+4,4+F*	M,H,SP	16,21	17F	+5	KDN	KDN
0000	F+4,4**	M,H	16,21	17F	-7	KDN	KDN
0000	F+4,4+B	M,SP	16	17F	-19	-10	-10
0000	F+1+2 (H eangager)	H,SP	25	16F	-8	+17	+17
0000	Heat F+1+2,F	H,SP	25	16F	+5	KDN	KDN
0000	F+1+2*	J	25	16F	-8	KDN	KDN
0000	DF+1	M	11	13F	-3	+8	+8
0000	DF+1,4	M,H	11,17	13F	-7	+4	+4
0000	DF+1,4,1	M,H,H	11,17,20	13F	-5	KDN	KDN
0000	DF+2	M	12	15F	-13	Launch	Launch
0000	DF+3	M	17	17F	-5	+5	KDN
0000	DF+4	M	15	16F	-7	+2	+2
0000	DF+4,1	M,H	15,23	16F	-5	KDN	KDN
0000	D+1	M	20	20F	-2	+4	Launch
0000	D+2	M	15	18F	-9	+5	+5
0000	D+2,3	M,H,SP	15,20	18F	+1	+16	+16
0000	D+3	L	10	15F	-14	-3	-3
0000	D+3,3	L,M	10,14	15F	-13	+1	+1
0000	D+3,3,4	L,M,M	10,14,21	15F	-14	KDN	KDN
0000	D+4	L	13	15F	-13	-2	-2
0000	D+4,1	L,H	13,5	15F	-1	+3	+3
0000	DB+1	SL	5	10F	-5	+6	+6
0000	DB+2	SL	8	11F	-4	+7	+7
0000	DB+3	L,SP	12	16F	-7	+4	+4
0000	DB+3,4	L,H	12,20	16F	-13	KDN	KDN
0000	DB+4	L	17	19F	-14	-3	+12
0000	DB+3+4	M	30	26F	-16	KDN	KDN
0000	B+1	H	14	14F	-8	+3	+3
0000	B+1,1	H,H	14,16	14F	+3	+8	+8
0000	B+1,1,2	H,H,H	14,16,20	14F	-5	KDN	KDN
0000	B+2	H	21	18F	+2	KDN	KDN
0000	Heat B+2, F	H,SP	21	18F	+7	KDN	KDN
0000	B+3 (Heat engager)	M,SP	21	22F	+4	+17	+17
0000	Heat B+3,F*	M,SP	21	22F	+5	Launch	Launch
0000	B+3*	M	21	22F	+4	+8	+8
0000	B+4	M	10	15F	-9	+2	+2
0000	B+4,3	M,M	10,10	15F	-10	+4	+4
0000	B+4,3,4	M,M,M	10,10,16	15F	-10	-2	-2
0000	B+4,3,4,3	M,M,M,H	10,10,16,23	15F	-7	KDN	KDN
0000	UF+1	H	18	18F	-9	+7	+7
0000	UF+2	H	23	17F	-7	KDN	KDN
0000	UF+3	H	20	21F	-16	KDN	KDN
0000	UF+3,4	H,M	20,17	21F	-14	+6	KDN
0000	UF+4	M	20	24F	-8	KDN	KDN
0000	FF3	M	20	15F	-14	Launch	Launch
0000	FF4	M	21	25F	0	+13	+13
0000	FF3+4	M,M,SP	10,18	21F	-14+4	+5	+5
0000	FFF3	M	10	15F	-9	-4	-4
0000	FFF3,2	M,H	10,27	15F	+5	KDN	KDN
0000	FC 1	SL	5	10F	-5	+6	+6
0000	FC 2	SL	8	11F	-4	+7	+7
0000	FC 3	L	10	16F	-17	-6	-6
0000	FC 4	L	6	12F	-15	-4	-4
0000	WS 1	M	17	13F	-8	+6	KDN
0000	WS 2	M	14	15F	-13	Launch	Launch
0000	WS 3	M	23	20F	+4	+16	+16
0000	WS 4	M	13	11F	-6	+5	+5
0000	WS 4,1	M,H	13,10	11F	-2	+6	+6
0000	WS 4,1,3	M,H,M	13,10,23	11F	-14	KDN	KDN
0000	FC DF+3	L	17	18F	-13	+3	+13
0000	Libertador 1	H,SP	14	13F	+3	+8	+8
0000	Libertador 1,2	H,H	14,20	13F	-5	KDN	KDN
0000	Libertador 1,2,B	H,SP	14	13F	-15	-10	-10
0000	Heat&Libertador 1,2,F	H,H,SP	14,20	13F	+7	KDN	KDN
0000	Libertador 2 (Heat engager)	M,SP	18	14F	-8	+17	+17
0000	Heat&Libertador 2,F	M,SP	18	14F	+5	KDN	KDN
0000	Libertador 2	M	18	14F	-8	+11	+11
0000	Libertador 3	L,SP	15	16F	-9	+2	+2
0000	Libertador 3,1	L,M,SP	15,20	16F	-10	+7	KDN
0000	Libertador 4	M,SP	14	15F	-6	+7	+7
0000	Libertador 4,1	M,H	14,10	15F	-2	+4	+9
0000	Libertador 4,1,2	M,H,M	14,10,23	15F	-10	KDN	KDN
0000	Libertador 4,2	M,M	14,21	15F	-13	KDN	KDN
0000	Libertador 1+2	M	23	18F	-14	Launch	Launch
0000	Libertador 3+4	H	25	16F	-5	KDN	KDN
0000	Libertador D+4	L	14	19F	-31	-2	-2
0000	Libertador D+4,4	L,H	14,27	19F	-7	KDN	KDN
0000	Heat&Libertador D+3+4	M	27	16F	-9	KDN	KDN
