move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	10	12F	-2	+6	+9
0000	1,1	H,M	10,22	15F	-14	+4	+12
0000	1+2	M,M	8,14	15F	-13	+67 (+51)	
0000	1,2	H,H	10,24	19F	-2	+30	
0000	1+4			22F~			
0000	1+4*,1	M	35/45/55/199	17(68/93/118~)F	!	+70	
0000	1+4,1	M	25 (30)	17(43~)F	+21	+7 (-2)	+39 (-8)
0000	1+4,df+1	M	21	21(41~)F	-17	+52 (+42)	
0000	1+4:df+1	M	36	21(41~)F	-17	+66 (+50)	
0000	2	H	10	11F	+1	+9	
0000	2,1	H,M	10,12	16F	-3	+2	
0000	2,1,1+2	H,M,H,H,H,H,H	10,12,10,6,6,6,20	33F	-4	+13	
0000	2,1,2	H,M,M	10,12,20	33F	-12	+29 (+19)	
0000	2+3	M	12 (12)	16F	+1	+2	
0000	2,3	H,M	10,18	19F	-13	+5	+30 (+22)
0000	3+4						
0000	b+1	M	17	20F	-11	+8	
0000	b+1+2	M	28	14F	-19	-1 (-10)	
0000	b+1,2	M,M	17,17	26F	-14	+15	+47
0000	b+2	M	27	19F	+5	+2	
0000	b+2*	M	40	35F	-2 (+5 WC)	+17 (+9)	
0000	b+3	M	14	16F	-9	+2	
0000	b+3,2	M,H	1413	22F	-4	+1	
0000	b+3,2,2	M,H,H	141320	25F	-9	+44 (-14)	
0000	b+3,2,2*	M,H,M	141340	67F	-9	+13 (+5)	
0000	b+4	M	16	13F	-13	-2	-2
0000	b+4,4	M,M	16,21	30F	-4	-8	
0000	d+1	S	5	10F	-5	+6	
0000	d+1+2	M	28	27F	-18	+42 (+32)	
0000	d+2	S	8	11F	-4	+7	
0000	d+2+4	T	25	12F		+6	
0000	d+3	L	12	20F	-17	-6	
0000	d+3+4						
0000	d+4	L	10	16F	-15	-4	
0000	db+1	L	5	13F	-12	+1	
0000	db+1,1	L,L	5,5	16F	-12	-1	
0000	db+1,1,1	L,L,L	5,5,5	16F	-12	-1	
0000	db+1,1,1,2	L,L,L,M	5,5,5,21	19F	-11	+43 (-4)	
0000	db+1+2	L,L	8,21	18F	-70	-5	
0000	db+2	L	24	22F	-18	+3	+33
0000	db+2*	L	30	36F	-33	+17	
0000	db+3	L	15	21F	-20	-9	
0000	db+3,4	L,L	15,12	27F	-16	-9	
0000	db+3,4, ... 1+2	L,L,M	15,12,21	34F	+14	+43 (-15)	
0000	db+3,4,3	L,L,L	15,12,12	27F	-19	-8	
0000	db+3,4,3,4	L,L,L,L	15,12,12,12	27F	-16	-5	
0000	db+3,4,3,4,3	L,L,L,L,L	15,12,12,12,12	27F	-19	-8	
0000	db+3,4,3,4,3,4	L,L,L,L,L,L	15,12,12,12,12,12	27F	-16	-5	
0000	db+4	L	14	16F	-13	-2	
0000	df+1	M	12	14F	-4	+3	+5
0000	df+1,1	M,M	12	29F	-11	+21	+72 (+56)
0000	df+1,2	M,H	12,10	29F	-12	-1	
0000	df+1,2,1	M,H,H	12,10,2	15F	-10	-2	
0000	df+1,2,1,2	M,H,H,H	12,10,2,20	9F	-18	+35 (-23)	
0000	df+1+4	L	23	34F	-37	+18	
0000	df+2	M	13	15F	-14	+31 (+21)	
0000	df+2,1	M,H	13,16	21F	-32	+40 (+22)	
0000	df+2,1*	M,H	13,16	35F	-46	+69 (+53)	
0000	df+2+3	M	26	22F	-9	+31 (-5)	
0000	df+3	M	16	16F	-9	+2	
0000	df+3,2	M,H	16,20	20F	-9	+25	
0000	df+3+4	28	17	13F	-23	+10 (+1)	
0000	df+4	M	17	15F	-9	+5	+14
0000	f+1	M	13	14F	-6	+5	
0000	f+1,1	M,H	13,25	25F	-7	+8 (-1)	+40 (-7)
0000	f+1+2	M,M	12,20	27F	i12	+32 (+6)	
0000	f+1,2	M,H	13,12	22F	-6	+5	
0000	f+1,2,1	M,H,M	13,12,12	26F	-12	+65 (+49)	
0000	f+1,2,2	M,H,M	13,12,12	33F	+6	+3	
0000	f+1,2,2*	M,H,M	13,12,12	61F	-12 (0 wall crush)	+11 (-15)	
