move_id	command	hit_level	damage	startup	block	hit	counter
1501	1	H	5	10	+1	+8	+8
1558	1,1 → IZU	H,M	5,15	10	-1~-2	+8~+9	+12~+13
1508	1,2	H,H	5,8	10	-7	+4	+4
1559	1,2,2 → IZU	H,H,H	5,8,17	10	-5~-6	+10	+15~+16
1508	1,2,4	H,H,M	5,8,16	10	-12	+5 (Wall crush)	KND
1506	1,2,U/D → Sidestep	H,H	5,8	10	-	-	-
1505	1,3	H,L	5,12	10	-12	+2	+6 (OC)
1509	2	H	7	12	-4	+7	+7
1511	2,1	H,M	7,9	12	-6	+7	+7
1513	2,1,4	H,M,M	7,9,12	12	-12	-1	-1
1514	2,1,4,1	H,M,M,M	7,9,12,30	12	-11?	KND	KND
1515	2,1,4,3	H,M,M,H	7,9,12,20	12	-9	KND	KND
1512	2,1,1+2	H,H,H	7,9,21	12	+2	KND	KND
1525	3	M	20	14	-13	KND	KND
1526	4	H	17	12?	-9	+7	KND
1516	1+2	M	26	13	-12	+18? (HE) - W!	+18? (HE) - W!
1529	3+4	M,M	6,18	23	-6	KND	KND
1532	3+4 (on hit)	M,M,sM	6,18,14 (scaled)	23	-	KND	KND
1697	1+4 (White heron dance)	sL,H	5,8	14	-3	0	0
1540	f+1 → IZU	M	15	20	-1~-2	+8~+9	+12~+13
1545	f+2	M	20	17	-18	Launch	Launch
1548	f+2,1+2	M,M	16,20	17	-9	+18? (HE)	+18? (HE)
1575	f+3	M	13	16	-9	+7	+7
1560	f+3,2 → IZU	M,H	13,17	16	-5~-6	+10	+15~+16
	f+3,U/D → Sidestep	M	13	16	-	-	-
1576	f+3,4	M,M	13,22	16	-13	KND	KND
1577	f+4	H	21	19	+3	+13	+13
1553	f+1+2	H	0	12	+2	-	-
	f+3+4 (GEN)	-	-	-	-	-	-
1519	f+2+3	H	21	28	0	KND	Launch
1658	d/f+1	M	10	13	-3	+8	+8
1659	d/f+1,1	M	10,17	13	-10~-11	+2	+13? (SPIN)
1660	d/f+1,2	M,H	10,12	13	-4	+6	+10/+11
1661	d/f+2	M	14	16	-12	Launch	Launch
1663	d/f+2,1+2	M,M	8,14	16	-9	Launch	Launch
1664	d/f+3	M	22	17	-8	KND	KND
