move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	5	10F	+1	+8	
0000	1+2	M	20	14F	-9	+15	
0000	1,2	H,H	5,12	,12F	-3	+7	
0000	1+2+3+4						
0000	1,2,3+4	H,H	5,12		-4	+6	
0000	1+2+3+4,b,f,1+2	,M!	,60	,59~61F		+21 (+11)	
0000	1,2,4	H,H,M	5,12,20	,23~25F	-14~-12	+15 (-2)	
0000	1+3	T	35	12~14F	-6	+0	
0000	2	H	9	10F	-1	+8	
0000	2+3	M	12	16F	+1	+2	
0000	2,3	H,L	9,10	,22F	-13	-2	
0000	2+4	T	35	12~14F	-3	+0	
0000	2,4	H,H	9,16	,18~19F	-8~-7	+8~+9	
0000	3	M	10	,14~15F	-8~-7	+3~+4	
0000	3,3	M,H	10,16	,17~18F	-8~-7	+5~+6	
0000	3,3,4	M,H,H	10,16,20	,26~27F	-9	+39 (-19)	+66 (+50)
0000	3,3,4~B	M,H,H	10,16,20		-16~-15	-3~-2	
0000	3+4						
0000	3~4	M,M	10,16	25~26F 31~36F	-9~-4	+19	
0000	3~4,F	M,M	10,16		-39~-36	-8	
0000	4	H	16	12~13F	-7~-6	+3~+4	
0000	4,1	H,H	16,13	,19~20F	-3~-2	+7~+8	
0000	4~3	M,M	8,10	16 29~30F	-16~-15	+31 (+21)	
0000	4~3,1	M,M,L	8,10,15	,34~35F	-13~-2	+4~+5	
0000	4~3,3	M,M,H	8,10,18	,24~27F	-3~+0	+14	
0000	4~3,4	M,M,M	8,10,20	,33~34F	-14~-13	+15	
0000	b+1	H	21	16~17F	+7~+8	+10~+11	
0000	b+1+2	M	25	28~30F	-15~-13	+20 (+10)	
0000	b+1+3						
0000	b+1+3,P					-31	
0000	b+2	H	12	15~17F	-14~-12	-3~-1	
0000	b+2,2	H,M	12,17	,22F	-3	+6	+8
0000	b+2,2,1+2	H,M,L	12,17,20	,20~21F	-30~-29	+3	
0000	b+2,2,3	H,M,M	12,17,20	21~22F	-19~-18	+12 (-5)	+26 (+16)
0000	b+2,4	H,H	12,17	,24~25F	-7~-6	+4~+5	
0000	b+2,4,2	H,H,SM	12,17,21	,19~20F	-14~-13	+24 (+9)	
0000	b+3	M	23	27~29F	+4~+6	+15	
0000	b+3+4						
0000	b+4	M	13	14~15F	-9~-8	-1~+0	
0000	b+4,4	M,M	13,20	,17~19F	-8~-6	+6~+8	
0000	b+4,B+4	M,M	13,24	,37~42F	+1~+6	+2~+7	+12
0000	b+4,B+4~3	M,M,L	13,24,11	,20F	-11	+0	
0000	b+4,B+4~3,3+4	M,M,L,M	13,24,11,15	,26~30F	-25~-21	+6	
0000	Back throw	T	50			-4	
0000	(Back to wall).b,b,UB	M	21	40~43F	+6~+9	+28 (+19)	
0000	b,B+2	M,H	15,21	17~18 30~31F	-10~-9	+5~+6	
0000	b,B+2,P	M,H,T	15,21,35	,15~25F	-8~+2	+0	
0000	BT.1	H	7	8F	-1~+0	+5~+6	
0000	BT.1+2	M	23	15~16F	-13	+30 (+22)	
0000	BT.1,4	H,H	7,23	,16~17F	-8~-7	+40 (-18)	+67 (+51)
0000	BT.2	H	13	10F	+0	+7	
0000	BT.2,1	H,H	13,10	,14F	-3	+3	
0000	BT.2,1~F	H,H	13,10		+1	+7	
0000	BT.2,2	H,M	13,15	,21~22F	-9~-8	+2~+3	
0000	BT.2,2,1	H,M,SM	13,15,21	,18~19F	-14~-13	+2 (-7)	
0000	BT.2,2,3+4	H,M	13,15		-7~-6	+8~+9	
0000	BT.3	H	10	10F	-11	+0	
