move_id	command	hit_level	damage	startup	block	hit	counter
0000	b+1	H	14	18F		+6	
0000	b+1,1	H,M	14,15	22F		-4	
0000	b+1,1,3	H,M,M	14,15,13	15~17F		+3	
0000	b+1,1,3,3	H,M,M,M	14,15,13,20	32F		+48	
0000	b+1+3						
0000	b+1+4	UB(M)	50	64F	+20	+20	
0000	b+2	M	14	16~17F		+3	
0000	b+3	SP					
0000	b+4	H	20	18F		35	
0000	BT.4	M	20	17F		+54	
0000	CH.df+3+4	M,TH	6,35	16F			
0000	d+1	SM	5	10F	-5	+6	
0000	d+1+2	SP					
0000	d+1+2*	SP					
0000	d+2	M	17	15F		+3c	
0000	d+3	SP					
0000	d+3*	SP					
0000	d+4	L	7	12F	-13	-2	
0000	db+2	L,L	10,12	20~21F /9~10F		-3	
0000	db+4	L	7	16F			
0000	db+4,1+2	L,M	7,20	15F		+39	
0000	df+1	M	8	13~14F		+4	
0000	df+1,1	M,H	8,10	20F		+7	
0000	df+1,2	M,M	8,20	22~23F			
0000	df+2	M	13	15~16F		+30	
0000	df+3	SP					
0000	df+3+4	MH	5,10	165~9F			
0000	df+3+4,1	MH,M	5,10,14				
0000	df+3+4,1,2	MH,M,SM	5,10,14,25				
0000	df+3+4,4	MH,M	5,10,20	20F		+50	
0000	df+4	M	14	15F			
0000	df+4,2	M,M	14,10	18F			
0000	df+4,2,3	M,M,H	14,10,20	27F		+35	
0000	f+1+2	M	22	32F		+7	
0000	f+1+2,3	M,L	22,26	22F		-4	
0000	f+1+2,CH.3	M,L	22,33,18	22F			
0000	f+1+2,uf	M,SP	22				
0000	f+1+2,uf,uf+3	M,SP,M	22,22	30~33F		+32	
0000	f+1+2,uf+4	M,H	22,28	32~33F		+31	
0000	f+2	H	8	13F			
0000	f+2,3	H,M	8,16	18~19F			
0000	f+3	SP					
0000	f+3*	SP					
0000	f+3+4	M	25	43F		+50	
0000	f+3+4*	M	30	67F		+50	
0000	f+4	M	20	19~20F		+5	
0000	FC.df+3	M	25	20F		+54	
0000	FC.df+4	M	20	15F		+54	
0000	f,F+2	M	14	12F		+1	
0000	f,F+3	M	20	20~22F			
0000	f,F+3+4	H	22	16~19F		+49	
0000	f,f,F+3	M	22	24~27F		+32	
0000	f,f,F+4	H	28	26~27F		+31	
0000	f,n	SP					
0000	f,n,d,df:2	H	23	11F	+5	+25	
0000	f,n,d,df:3	M	27	15~17F		+13	
0000	H.2+3	M	50	21F		TH	TH
0000	H.df+1,2,F	M,M	8,20	13F		+17	
0000	H.f,F+3,F	M	20	20~22F		+17	
0000	H.HRA.2+3	L	40	18~19F		TH	TH
0000	H.HRA.2,F	M	30	15~16F		+17	
0000	HRA.1	H	12	12F			
0000	HRA.1+2	M	30	15~16F		+16	
0000	HRA.1,4	HM	1222	25~26F		+9	
0000	HRA.2	M	30	15~16F			
0000	HRA.3	M	17	28F			
0000	HRA.3+4	M	26	18~19F		+5	
0000	HRA.3,4	M,M	17,14	18~19F		+17	
0000	HRA.4	M,M	6,8	17~1813F			
0000	HRA.4,2	M,M,M	6,8,8	15F			
0000	HRA.4,2,2	M,M,M,H	6,8,8,4	15F			
0000	HRA.4,2,2,1+2	M,M,M,H,M	6,8,8,4,22	24~25F		+24	
0000	HRA.d+4	L	9	16~17F			
0000	HRA.d+4,3	L,M	9,20	21~22F		+48	
0000	H.SEN.3,F	H	22	12~13F		+17	
0000	H.UNS.4,F	M	30	18~19F		+17	
0000	OTG.d+4	L	11	19F			
0000	OTG.d+4,1	L,L	11,16	20~21F		-15	
0000	R.df+1+2	M	55	20F			
0000	SEN.1	M	12	16F			
0000	SEN.1+2	M,M	13,17	14~1512~13F		+32	
0000	SEN.1,2	M,M	12,25	26F		+21	
0000	SEN.2	M	20	13F		+8	
0000	SEN.3	H	22	12~13F			
0000	SEN.3+4	L,H	10,12	20~2135~36F		+4	
0000	SEN.4	M	24	26~27F		+12	
0000	SS.4	L	17	18~19F		+0	
0000	u+1+2	SP					
0000	u+3	SP					
0000	ub+1+2	SP					
0000	uf+1	H	15	13F		+8	
0000	uf+3	H	10	21~22F			
0000	uf+3,1	H,M	10,15	16F		+5	
0000	uf+3+4	MM	10,10	204F			
0000	uf+3+4,1+2	MM,M	10,10,20	17F		-4	
0000	uf+4	M	15	17~18F		+70	
0000	UNS.4	M	30	18~19F			
0000	WDS.3	M	17	16~17F		+4	
0000	WGS.1	M	20	19~21F			
0000	WGS.1,3	M,M	20,10	26~30F		+18	
0000	WGS.1,4	M,H	20,12	23~27F		+1	
0000	WGS.2	H	15	11~12F		+35	
0000	WGS.df+3	M	17	15~17F		+3	
0000	WGS.DF+4	L	6	16F			
0000	WGS.DF+4,2	L,H	6,20	24F		-1	
0000	WGS.DF+4,4	L,L	6,16	17~18F		+2	
0000	WGS.f+3	SP					
0000	ws1	M	12	13F		+13	
0000	ws2	M	20	18F		+9	
0000	ws3	M	14	15~16F		+1	
0000	ws3+4	M	14	14~15F		+14	
0000	ws3,4	M,H	14,21	22~23F		+21	
0000	ws4	M	10	11~12F			
0000	ws4,4	M,M	10,15	17~18F		-1c	
0000	1	H	5	10F	+1	+8	
0000	1,1	H,H	5,6	10F	-1	+8	
0000	1,1,2	H,H,M	5,6,12	10F	-17		
0000	1+2	M	25	12~13F		24	
0000	1,2	H,H	5,8	10F		+8	
0000	1,2,2	H,H,H	5,8,14	17F		+0	
0000	1,2,3	H,H,M	5,8,10	21F			
0000	1+2+3+4	SP					
0000	1,2,3,4	H,H,M,H	5,8,10,21	22~23F		+21	
0000	1+4	SP					
0000	2	H	12	12F		+7	
0000	2~1	MM	4,18	11F		+31	
0000	2,2	H,H	12,6	14~15F			
0000	2,2,1	H,H,M	12,6,20	22~23F		KND	
0000	2,2,2	H,H,M	12,6,21	29F			
0000	2,2,2,1	H,H,M,M	12,6,21,20	35~37F		+30	
0000	2,2,2,2	H,H,M,M	12,6,21,25	31F		+21	
0000	2+3	M	12	16F			
0000	2+3+4	SP					
0000	3	H	12	18~19F			
0000	3,2	H,H	12,16			+8	
0000	3+4	MM	15	18F			
0000	3,4	H,M	12,20	20F		+50	
0000	3+4,4	MM,M	15,20	16F		+50	
0000	4	H	20	13~14F		+11	
