move_id	command	hit_level	damage	startup	block	hit	counter
1519	1	h	5	i10	+1	+8	
1526	1,1	h,h	5,18 (0)	i21	-3	+5	
1541	1+2	m	22	i19~20	-4	+15	
1529	1,2	h,h	5,10 (0)	i12	-3	+8	
1858	1,2,2	h,h,h	5,10 (0),20	i20~35	-9	+21 (+6)	
	1+2+3	sp					
	1+2+3+4	sp					
	1+2+4	sp					
1530	1,2,d+2	h,h,h	5,10 (0),17	i27~28	-11	+2	
	1+3	th(h)	35	i12~14			
1534	2	h	10	i12	-6	+2	
1535	2,2	h,h	10,22	i20~35	-13	+15 (+5)	
	2+3	m	12 (12)	i16	+1	+2c	
1537	2,3	h,m	10,8	i22~23	-10	+1	
1538	2,3,3	h,m,m	10,8,25	i20~22	-11	+16 (-7)	
1614	2,3,4	h,m,l	10,8,20	i42~45	-13	+13	
	2+4	th(h)	35	i12~14			
1548	3	m	10	i13~14	-12	-1	
1550	3,2	m,h	10,20	i26~27	-2	+20 (+11)	
1551	3,f+2	m,m	10,20		-12	+5	
1565	4	h	24	i13~14	-5	+14g	
1598	b+1	m	15	i15~16	-5	+8	
1601	b+1,1+2	m,sl,m	15,1,30	i25~40,i26~28	-16	+71	
1948	b+1+2	m	25	i19~20	-13	+8	
	b+1+3	sp					
1894	b+2	m	12	i18	-9	+1	
1900	b+2,1	m,m	12,17	i25~26	-13	+3c	
1932	b+2+3	ub (m)	50	i75~76	+44	+44	
1901	b+2,3	m,m	12,22	i23~24	-15	+9 (-8)	
1902	b+2,4	m,h	12,20	i16~17	-7	+12g	
1560	b+3	m	22	i20~22	-8	+5 (-4)	
1619	b+3+4	m	22	i18~19	-17	+32 (+22)	
1620	b+3+4,3+4	m,m	22,25	i56~61	+6c	+27 (-8)	
1560	b+4	m	17	i15~16	-13	-4	
1608	b+4,3	m,m	17,20	i29~30	-11	+6c	
1609	b+4,4	m,m	17,17	i25~27	-37	+9 (-1)	
	Back throw	th(h)	55	i12~14			
1962	b,B+1+4	ub(h)	50	i68		+42 (-15)	
	b,b,UB	sp					
2009	BKP.1	h	31	i11~13		+27 (+1)	
1533	BKP.1+2	ub(h)	20	i34~71	+58	+58	
1532	BKP.2	h	34	i11~33		+21 (+6)	
2006	BKP.3	m	30	i24~27		+72	
2008	BKP.4	m	30	i19		+32 (+22)	
1990	BOT.1	m	12	i13~14			
1986	BOT.1+2	ub(h)	20	i27~28	+8	+8	
1991	BOT.1,2	m,m	12,13	i18~19			
1993	BOT.1,2,1	m,m,m	12,13,7	i20~21			
1996	BOT.1,2,1,3+4	m,m,m,m	12,13,7,33	i18		+4 (-13)	
1987	BOT.2	m	25	i16~17		+6 (-4)	
1982	BOT.3	l	17	i16~20		+4c	
1985	BOT.4	m	22	i17~19		+68	
	BOT.D	sp					
1888	BT.4	m	20	i16~17		+19 (+2)	
	CH f,F+1+2	m	28	i17~18		+13	
	d+1+2	sp					
	d+1+2*	sp					
1636	d+2	m	14	i24~26	-12	+2c	
1638	d+2,4	m,m	14,24	i18~21	-9	+28 (+13)	
1644	d+3	l	17	i23~32	-10	-1	
1615	d+3+4	l	20	i27~i28	-37	+67 (+51)	
1648	d+4	l	15	i17~18	-12	-1	
1654	d+4,1+2	l,h	15,20	i20~21	0	+11 (+2)	
	db+1	sp					
1641	db+2	m	10	i18~19	-18	-5	
1642	db+2,2	m,m	10,10	i19~20	-9	+5	
1645	db+3	l	11	i16	-13	-2	
1849	db+4	l	23	i24~25	-17	+9	
1687	DBT.1	h	30	i24		+11g	
1682	DBT.1+2	m	35	i12	0	+21 (+0)	
1696	DBT.2	m	25	i16			
1704	DBT.2,1	mh	2513 (5)	i26~28		+18 (-12)	
1982	DBT.3	l	17	i6~20		+4c	
1985	DBT.4	m	22	i17~19		+68	
1705	DBT.f+1	m	49	i19~21		+0	
1709	DBT.f+2	l	16	i19~20			
1712	DBT.f+2,2	l,m	16,14 (9)	i35~37		-6 (-13)	
1758	DES.1	m	35	i13	-9	+23	
1787	DES.1+2	h,h,h	7,7,20	i16~18,i5~7,i9~11	+4	+15g	
1764	DES.2	m	15	i20	-8	Launch	
1763	DES.2,(on hit)1	m,ub	1514 (9)	i33		+85 (+69)	
	DES.3	sp					
1768	DES.b+2	m	17	i18~20	-12	0	Launch
1769	DES.b+2,1	m,m	17,33	i20~21	-3	+5	
	DES.b+3	sp					
	DES.b,b	sp					
1779	DES.BT.1	m	24	i19~22		+25	
1716	DES.d+1	l	20	i21	-12	+4	
1715	DES.d+2	l	26	i22~23	-14	+4	
	DES.d+3	sp	0				
1670	DES.d+3,1	sp,m	0,25	i20~21	-13	+14	
1737	DES.f+1	h	21	i11~13	+3	+9	
1788	DES.f+1+2	m	12	i23~27	+5	+33	
1798	DES.f+1+2,1+2	m,m	12,20	i20~26		+41	
1724	DES.f+2	m	9	i15	-9	0	
1727	DES.f+2,1	mm	9		-12	-3	
1731	DES.f+2,1,2	mmm	9		-13	KND	
	DES.f+3	sp					
	DES.f,f	sp					
1775	DES.uf+1+2	m	27	i29~31	-9c	+23	
1732	DES.uf+2	h	7	i10~14		+25 (+18)	
1801	df+1	m	10	i13	-6	+5	
1803	df+1,1	m,h	10,20	i30~31	+1	+8	
1807	df+1,1,2	m,h,h	10,20,48	i22~25	+6	+8	
1804	df+1,4	m,m	10,17	i26~27	-11	+3c	+13c
1814	df+2	m	16	i16~17	-9	+32 (+22)	
1816	df+3	m	14	i16	-9	+1	
1817	df+3,3	m,l	14,17	i23~24	-12c	+1	
1951	f+1+2	m	25 (0)	i14~15	-12	+14	
1572	f+2	m	12	i17~18	-4	+7	
1573	f+2,1	m,m	12,20	i24~25	-10	+14	
1575	f+2,3	m,h	12,8	i22	-8	+4	
1578	f+2,3,3	m,h,m	12,8,22	i35~36	-10	+12 (-3)	
1884	f+3	h	10	i14~15	-14	-3	
1885	f+3,1+2	h,m	10,25	i24~25	-13	+8	
1886	f+3,2	h,h	10,20	i25	-4	+39 (+31)	
	f+3+4	sp					
	f+3+4*	sp					
1580	f+4	m	14	i16	-9	+1	
1586	f+4,1	m,h	14,14	i25~26	-9	+15 (+7)	
1587	f+4,1,4	m,h,m	14,14,19 (13)	i35	-12	-1 (-9)	
1952	FC.1+2	ll	10,16	i21~23,i6~8	-11c	+5c	
	FC.db+1+2	th(h)	45	i11		-4	
1922	f,F+1+2	mm	5,10	i17~18,i12~13	-9	+4	
1936	f,F+2	m	18	i16~17	-18	+5	
00019370	f,F+2,3	m,	18,17 (11)	i22~24	-13	+5 (+4)	
1916	f,F+3	m	12	i18~19	-14	-6	
1917	f,F+3,4	m,h	12,15	i19~20	-10	+20 (+11)	
1919	f,F+3,4,4	m,h,m	12,15,17 (11)	i27~29	-10	+21 (+14)	
1903,1906	f,F+4	mm	14,22	i22~29,i34~39	-9	+9 (+0)	
1879	f,f,F+2	h	30	i13~15	+5	+28 (+20)	
1881	f,f,F+3	m	15	i18~19	-4	+6	
1883	f,f,F+3,4	m,m	15,20	i20~22	-7	+31 (+5)	
	FUFT.1+2	sp	0				
1968	FUFT.1+2,3	sp,m	0,35	i22~23		+60	
1824	H.2+3	m	50 (28)	i20~21	+8	KND	
	H.d+1+2	sp					
	H.1+4	sp					
	Left throw	th(h)	40	i12~14		-5	
	OTG.db+1+2	l	20 (14)	i26		-5 (-13)	
	P.b+1+3	ub(m)	25	i20~21	-5 (-14)	-5 (-14)	
	H.R.df+1+2	m					
	Right throw	th(h)	40	i12~14			
1907	SS.4	l	15	i24~25			
1915	SS.4,1+2	l,hm	15,20	,			
1544	u+1+2	m	21	i33~34	-5	+56	
1938	ub+2	h	26	i16~24	-8	+38 (-20)	
1569	ub+3+4	m	25	i37~39	+2c	+25 KND	
1570	ub+3+4,1+2	m,m	25,20	i26~27	-14	+32 (+22)	
1504	ub+4	m	10	i18	-9	+7	
1453	uf+1	mmm	20,14 (9),10 (7)	i19~20,i25i17	-13	+68 (+52)	
	uf+1+2	th(h)	40	i12~13		+3	
1935	uf+2	h	22	i16~17	-2	+20 (+11)	
1474	uf+3	m	15	i17~18	-52	-25	
1477	uf+3,2	m,m	15,30	i17~22	-14	+32 (-26)	
1960	uf+3+4	m	28	i38~41	0	+4	
1507	uf+4	m	8	i15~16	-15	-4	
1506	uf+4,4	m,m	8,8	i24~26	-13	+45 (+37)	
86	WR.1+2	m	24	i18~36		-17 (-26)	
1850	ws1	m	12	i13~14	-12	+1	
1622	ws1+2	m	20	i20~21	-8	+21	
1851	ws1,2	m,h	12,12	i24~25	-5	+6	
1853	ws1,2,3	m,h,m	12,12,23	i25~26	-10	+33 (+23)	
1857	ws2	m	24	i17~18	-13	+33 (+23)	
1868	ws3	m	18	i19~20	+4	+15	
1891	ws3,3	m,m	1820	i13~14	-9	+12g	
1890	ws3,d+3	m,l	1820	i30~31	-12	+73 (+57)	
1878	ws4	m	15	i11~12	-5	+6	
