move_id	command	hit_level	damage	startup	block	hit	counter
0000	DB+4,1+4	SL,H	5,8	22F	-19	+9	+9
0000	DB+4,3	H	21	22F	-3	Launch	Launch
0000	DB+4,4,4+D	L,L,L	14,15,16	22F	-11	0	KDN
0000	DB+4,4+D	L,L	14,15	22F	-11	0	KDN
0000	DB+4,4	L,L	14,15	22F	-7	+4	KDN
0000	DB+4,D	L	14	22F	-11	0	+3
0000	DB+4	L	14	22F	-11	0	+3
0000	F+1,D+4,DB	M	17	20F	-26	-15	-15
0000	F+1,D+4	M,L	17,26	20F	-26	KDN	KDN
0000	F+1,4	M,LH	17,5,20	20F	-25	Launch	Launch
0000	F+1	M	17	20F	-7	+4	+4
0000	SS,4	H	18	17F	-6	+7	KDN
0000	SS,2	M,SP	23	13F			
0000	FC D/F,3	M	20	17F	-9	KDN	KDN
0000	FC D/F,2	L	10	16F	-11	0	+25
0000	WS,1+2	M	20	21F	-2	+13	KDN
0000	WS,4	M	15	11F	-3	+8	+8
0000	WS,3	M	20	18F	-16	Launch	Launch
0000	WS,2,1+2	M,H,Th	18,4	13F		Th	
0000	WS,2,1	M,H	18,10	13F	-2	+9	+9
0000	WS,2	M	18	13F	-8	+8	+8
0000	WS,1,4	M,H	12,20	14F	-8	KDN	KDN
0000	WS,1	M	12	14F	-7	+4	+4
0000	FC, 3+4,3+D	MM,MM	10,10,10,10	21F	0	KDN	KDN
0000	FC, 3+4,3	MM,MM	10,10,10,10	21F	0	KDN	KDN
0000	FC, 3+4	M,M	10,10	21F	-6	+5	+5
0000	FC, 4	L	10	12F	-15	-4	-4
0000	FC, D+3	L	12	16F	-17	-3	-3
0000	FC, D+2	SM	8	11F	-4	+7	+7
0000	FC, 1	SM	5	10F	-5	+6	+6
0000	F,F,F,1+2	H	30	17F		KDN	
0000	F,F,F,3	M	32	24F	0	KDN	KDN
0000	F,F,1+2	M	20	19F		KDN	
0000	F,F,4	H	28	20F	-3	KDN	KDN
