move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	M	5	10F	+1	+8	
0000	1+2	H,H	15	17~18F	-7	+6	
0000	1,2	M,H	5,8	12F	-3	+8	+9
0000	1+2,1	H,H,M	15,15	23~24F	-1	+6	
0000	1,2,1	M,M	5,8,18	19F	-6	+6	+64
0000	1+2,2	H,H,L	15,20	26~27F	-14	+51	
0000	1,2,3	H,H,L	5,8,15	24F	-12	+2	+14
0000	1+2+3+4	H,H,H					
0000	1,2,4	T	5,8,24	20F	-5	+20	
0000	1+3	M!	35	12~14F		-2	
0000	1+3+4	H,H	0	28~31F		+16	
0000	1,4	H,H,H	5,14	15F	-7	+4	
0000	1,4,2	H,H,H,H	5,14,18	24F	-7	+4	+53
0000	1,4,2,1	H,H,H,H,H	5,14,18,16	19F	+0	+55	
0000	1,4,2,1,2	H,H,H,H,M	5,14,18,16,22	24F	-8	+41	
0000	1,4,2,1,4	H,H,H,M	5,14,18,16,21	30-31F	-5	+40	
0000	1,4,2,4	H,H,M	5,14,18,21				
0000	1,4,3	H,H,M,H	5,14,15	21F	-10	+1	
0000	1,4,3,3	H	5,14,15,18	23F	-7	+7	+14
0000	2	M	10	10F	+1	+7	
0000	2+3	H,M	12 (12)	16F	+1	+2	
0000	2,3	T	10,14	16F	-10	+6	+16
0000	2+4	M	35	12~14F		+0	
0000	3	M,M	14	16F	-4	+7	
0000	3,2	M,M,M	14,11	22F	-10	+1	
0000	3,2,1	M,M,M,M	14,11,10	20F	-9	+2	
0000	3,2,1,2	M,M,M,L	14,11,10,14	20F	-10	+14	
0000	3,2,1,4	M,H	14,11,10,12	22F	-11	+0	
0000	3,3	M,H,H	14,13	23F	-6	+6	
0000	3,3,2	M,H,H	14,13,20	22~23F	-7	+43	
0000	3,3,4	M	14,13,25	28F	-12	+37	
0000	3+4	M,M	20	18F	-13	+8	+59
0000	3+4,SNE.2	M,M	20,20	14~15F	-1	+35	
0000	3+4,SNE.2*	H	20,30	55~56F	+9	+66	
0000	4	H,M	15	12F	-7	+6	
0000	4,3	H,M,M	15,12	24~25F	-10	+2	
0000	4,3,4	H,M,H	15,12,16	24~25F	-10	+2	
0000	4,3,f+4	M	15,12,18	24~25F	-5	+6	+31
0000	b+1	M	21	20~21F	+4	+7	+78
0000	b+1+3	H					
0000	b+1+3,P.2	M	30				
0000	b+1+4	M!	26	28F	-9	+7	
0000	b+1+4*	H	45	53F		+7	
0000	b+2	H,H	18				
0000	b+2,1	H,H,H	18,16				
0000	b+2,1,2	H,H,M	18,16,22				
0000	b+2,1,4	H,M	18,16,20				
0000	b+2,4	M	18,21				
0000	b+3	M,M	12	19F	-7	+4	
0000	b+3,1+2	M,H	12,25	22F	-8	+4	+20
0000	b+3,2	M,H,M	12,12	16F	-4	+7	
0000	b+3,2,1	M,H,M,M	12,12,10				
0000	b+3,2,1,2	M,H,M,L	12,12,10,14				
0000	b+3,2,1,4	M	12,12,10,12				
0000	b+4	T	18	16F	-10	+15	
0000	Back throw	M	60			-1	
0000	b,B+4	L	24	21~33F	-19	-7	
0000	b,df+4	M,M	25	29F	-13	+14	
0000	d+1+2	M	10,15	17F	-10	+3	
0000	d+1+2~2	M,M,L	24	30F	+7	+53	
0000	d+1+2,3	M	10,15,20	27~28F	-13	+5	+25
0000	d+2	M,M	17	14~15F	-2	+8	
0000	d+2,3	L	17,21	22F	-10	+16	+32
0000	d+3	L,H	10	16F	-11	+0	
0000	d+3,2	L	10,22	21F	-7	+35	
0000	d+3+4	L,M	16	19F	-12	-1	
0000	d+3+4,2	L	16,25	19F	-12	+14	
0000	d+4	M,H	13	15F	-11	+0	
0000	db+1+2	M	8,16	15F	-9	+4	
0000	db+2	L	13	15~17F	-6	+8	
0000	db+3	M	11	16~17F	-12	-1	+4
0000	DF+1	M,M	8	15F	-5	+1	
0000	DF+1,1	M,M,M	8,2	10F	-10	-4	
0000	DF+1,1,1	M,M,M,M	8,2,2	10F	-10	-4	
0000	DF+1,1,1,1	M,M	8,2,2,2	10F	-10	-4	
0000	DF+1,2	M	8,20	23F	-15	+1	+14
0000	df+2	M,H	12	13F	-6	+5	
0000	df+2,1	M,M	12,11	6F	-4	+5	
0000	df+2,3	L	12,20	23F	-13	+8	+59
0000	df+3	M	20	29~30F	-26	+70	
0000	df+4	H	23	22~24F	-6	+19	
0000	f+1+2	M	22	20~21F	-6	+44	
0000	f+2	M,M	10	15F	-10	+	
0000	f+2,1	M,M,M	10,12	10F	-10	+1	
0000	f+2,1,4	M,M,M	10,12,20	18~19F	-13	+3	
0000	f+2,1,SNE.2	M,M,M,M	10,12,5	14~15F	-12	+3	
0000	f+2,1,SNE.2,3	M,M,M,M,M	10,12,5,7	22F	-15	+14	
0000	f+2,1,SNE.2,3,2	M	10,12,5,7,20	35~36F	-10	+0	
0000	f+3	M	18	16~18F	+0	+4	+50
0000	f+4	M,M	10	18F	-9	+0	
0000	f+4,1	T	10,10	25~26F	-13c	+40	
0000	FC.db+1+2	M	45	11F		+1	
0000	FC.df+2	M,H	12	13F	-9	+4	
0000	FC.df+2,1	M	12,25	22~23F	-8	+34	
0000	FC.df+4	H	21	15~16F	-10	+13	
0000	f,F+2	M	29	13F	-9	+41	
0000	f,F+3	M	25	24~25F	-13	+28	+39
0000	f,F+3*	H	33	34~35F	+8	+71	
0000	f,F+4	M	32	16~19F	-9	+15	
0000	f,f,F+3	H	30	22~25F	+6	+13	
0000	f,n,b+2	M,M,T	20	14~15F	-7	+43	
0000	H.2+3	T	20,20,20	16F	+9	-1	
0000	Left throw		40			+1	
0000	qcb						
0000	qcf	M					
0000	R.df+1+2	T	55+	20F	-15	+0	
0000	Right throw	M	40			+6	
0000	SLS.1+2	H	28	15~16F	-9	+23	
0000	SLS.2	H,M	16	15~16F	-6	+2	
0000	SLS.2,1	H,M	16,23	15~16F	-11	+33	
0000	SLS.2,2	H,M	16,25	25F	-7	+14	
0000	SLS.2,4	M	16,22	16~17F		+5	
0000	SLS.4	M,H	13	18F	-5	+1	
0000	SLS.4,1	M,H,H	13,13				
0000	SLS.4,1,2	M,H,M	13,13,22				
0000	SLS.4,1,4	H	13,13,20				
0000	SNE.f,F+1+2	M	36	13F	+5	+33	
0000	SNE.f,F+1+2 (on absorb)	H	20				
0000	ss1	M	23	17~18F	-5	+8	+15
0000	ss2	M,H	15	17~18F	-9	+1	
0000	ss2,1	H	15,20	21~22F	-5	+43	
0000	SWA.1	M	22	13~14F	+5	+36	+72
0000	SWA.2	M,H	16	15~16F	+6	-9	
0000	SWA.2,4	L	16,25	22~25F	-9	+15	
0000	SWA.3	M	23	19~20F	-13	+5	+25
0000	SWA.4	M,M	23	17~18F	-12	+31	
0000	ub+1+2	M,M,M	5,2	15F	-16	-6	
0000	ub+1+2,1	M,M,M,M	5,2,2				
