move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	5	10F	+1	+8	
0000	1+2	M	20	17F	-14	+2	
0000	1,2	H,H	5,12		-1	+6	
0000	1+2,1+2	M,TH	20,10			+0	
0000	1+2,1+2,f+2	M,THTH,SP	20,10,18			TH	TH
0000	1+2+3+4	SP	-				
0000	1+3	TH(H)	35	12~14F	-2	+0	
0000	1,3	H,L	5,11		-12	-1	
0000	2	H	10	12F	-3	+3	
0000	2,1	H,M	10,13		-6	+5	
0000	2,1,2	H,M,M	10,13,25	12F			
0000	2+3	M	15				
0000	2+4	TH(H)	35	12~14F	-3	+0	
0000	3	M	14	14F			
0000	3,2	M,H	14,22				
0000	3+4	M	20	24~26F	-10	KND	KND
0000	4	H	13	12F	-8	+3	Launch
0000	4,3	H,H	13,14		+0	+15	KND
0000	b+1	M	25	18~19F	-5	KND	KND
0000	b+1+2	M	25	22F	-13	KND	KND
0000	b+2	H	25	14F	-9	KND	KND
0000	b+2+3	UB(M)	60	72F	KND	KND	KND
0000	b+3	M	14	13F	-4	+7	
0000	b+3,3	M,M	14,21		-12	+7	Launch
0000	b+3+4	M	24	29F	-14	KND	KND
0000	b+4	M	10	17F	-14	-3	
0000	b+4,1	M,H	10,18		-8	+13	KND
0000	b+4,2	M,M	10,20		-12	KND	KND
0000	b+4,3	M,H	10,14		-12	-4	+1
0000	b+4,3,2	M,H,M	10,14,20		-13	KND	KND
0000	b+4,4	M,M	10,16			Launch	
0000	Back throw	TH(H)	50			+0	
0000	(back to wall).b,b,ub	M	21	36F	+0	KND	KND
0000	d+1	M	14	17F	-8	+2	
0000	d+1+2	M	28	13~14F	-18	KND	KND
0000	d+2	L	6	20F	-12	-1	
0000	d+2,2	L,L	6,8				
0000	d+3	L	12	16F	-17	-3	
0000	d+4	L	7	12F	-13	-2	
0000	db+1	SM	5	10F	-5	+6	
0000	db+1+2	M	20	17F		KND	
0000	db+2	SM	8	11F	-4	+7	
0000	db+2,1	SM,M	8,12		-13	+3	
0000	db+3	L	23	24~25F	-15	+3	KND
0000	db+4	L	7	15F	-13	-2	
0000	db+4,3	L,H	7,10		-11	+0	
0000	df+1	M	10	15F	-2	+9	
0000	df+1,2	M,M	10,15		-15	Launch	Launch
0000	df+2	M	19	14F	-13	+5	KND
0000	df+3	M	12	14F	-7	+4	
0000	df+3,1	M,M	12,18		-12	KND	KND
0000	df+3,2	M,H	12,10		-2	+4	
0000	df+4	M	14	13F	-8	+3	
0000	f+1+2	M	8	16F	-18	-7	
0000	f+1+2,1+2	M,M	8,16		-14	KND	KND
0000	f+2	H	9	12F	+0	+6	
0000	f+2,1	H,M	9,12		-10	+6c	
0000	f+2,1,1+2	H,M,M	9,12,25		-18	KND	KND
0000	f+2,2	HM	9,20		-27	KND	KND
0000	f+3	H	18	18F	+0	+15	KND
0000	f+3+4	H	18	17F	+2	KND	KND
0000	f+4	M	23	22~23F	+4		KND
0000	f,F+2	M	14	14~16F	-18	-7	
0000	f,F+2,1+2	M,M	14,20		-13	KND	KND
0000	f,F+2,2	M,H	14,20		-2		KND
0000	f,F+4	M	20	15~17F	-5		KND
0000	f,f,F+2	H	40	13~16F	+7	KND	KND
0000	2,1,2*						
0000	H.2+3	L,TH	12,40	18F		TH	
0000	H.3,2,F	M,H	14,22	14F			
0000	H.b+4,2,F	M,M	10,20	17F			
0000	H.f,f,F+2,F	H	40	13F			
0000	Left throw	TH(H)	40		-3	-3	
0000	R.df+1+2	M,TH	10,45				
0000	Right throw	TH(H)	40		-3	+0	
0000	SS.4	L	20	20F	-12	+6	KND
0000	STB.4,2	H,SM	13,32			KND	
0000	STB.b+4,3,2	M,H,M	10,14,38	17F	-1	Launch	Launch
0000	STB.d+1,2	M,M	16,23			KND	
0000	STB.d+2,2	L,L	11,17	20F	-12	KND	KND
0000	STB.db+1+2	M	25	17F		KND	
0000	STB.f+1+2,1+2	M,M	8,16	16F	-9	KND	KND
0000	STB.f,f,F+1+2	H	55	13F		KND	
0000	STB.ws1,2	M,M	12,23	12F		KND	
0000	u+2	M	21	21F			
0000	u+3	M	20	23~25F	+2	+7	Launch
0000	uf+1+2	TH(H)	40		-6		
0000	uf+3+4	MM	10,14	20F	-11	KND	KND
0000	uf+4	M	13	15F	-13	Launch	Launch
0000	ws1	M	12	12F	-4	+7	
0000	ws1,1	M,H	12,15		-12	+9	
0000	ws1,2	M,M	12,12				
0000	ws2	M	20	15F	-14	Launch	Launch
0000	ws3	M	20	16F	-8	KND	KND
0000	ws4	M	18	11F	-6	+5	
