move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	5	10F	+1	+8	
0000	1,1	H,H	5,6		-1	+8	
0000	1,1,2	H,H,M	5,6,14		-17	KND	KND
0000	1+2	M,M	12,25	17F	-12	+7	
0000	1,2	H,H	5,8		-3	+8	
0000	1,2,2	H,H,H	5,8,12		-12	+4	
0000	1,2,3	H,H,M	5,8,6		+4	+24a	
0000	1,2,3,4	H,H,M,M	5,8,6,30		+0	+12c	
0000	1,2,4	H,H,M	5,8,10		-10	+4	
0000	2	H	9	10F	+0	+9	
0000	2,2	HH	9,20		-13	-2	
0000	2+3	M	15				
0000	3	M	16	17~19F	-12	-6	
0000	3,1	MH	16,11		+2	+8	
0000	3,1,2	MHM	16,11,20		-11	+72(+56)	
0000	3,1,4	MHM	16,11,20		-9	+15(+6)	
0000	3,1,f,F	MH	16,11		-2	+4	
0000	4	H	24	17~18F	-5	+10	
0000	4+1	SL,H	5,5	16F	-3	+4	
0000	4+1,2	SL,HM	5,520	24F	-12	+72(+56)	
0000	4~3	H	21	29F	-7	+14	
0000	b+1	H	10	12F	-6	+5	
0000	b+1+2	M	21	20~21F	-1c	+7c	+24
0000	b+1,2	HM	10,10	23F	-14	+23(+13)	
0000	b+1+4	UB(M)	60	63F	LNC	LNC	LNC
0000	b+2	H	11	14~16F	-13	-2	
0000	b+2,1	HM	11,21	30F	-16	+29(+19)	
0000	b+2,3	HM	11,23	14~16F	-14	+8(-1)/HE	
0000	b+3	M	24	29~32F	-18	+10/HE	
0000	b+4	M	20	17~18F	-8	+6	+30(+24)
0000	b, f+1+2	M	17	25F	-17	KND	
0000	b, f+2	M	12	15~17F	-9	-1	
0000	CRO+1	M	25	22~23F	-6	KND	KND
0000	CRO+2	M	12	15F	-13	-5	
0000	CRO+2,2	MM	12,20	15F	-14	+2/HE	
0000	CRO+3	M	26	22~23F	-7	KND	
0000	CRO+4	M	10	20F	-29	-20	
0000	CRO+4,2	MM	10,14	22F		+52(+7)	
0000	CRO+4,2,1+2	MMTH	10,14,15	28F		-6	
0000	d+1	M	25	18~19F	-14	+20(+10)	
0000	d+3	L	12	18~19F	-12c	-1	+7
0000	d+3+4	M,M	5, 20	15~16F	-15	+30(+20)	
0000	db+1+2	M	15	23~25F	-9	+4	
0000	db+1+2 (Hold)	M	42	61~63 (Full Charge)F	+10	+37	
0000	db+2	L	15	21~22F	-13c	+3c	+26
0000	df+1	M	11	13F	-6	+5	
0000	df+1,2	MH	11,20	17F	-9	+44(-16)	
0000	df+2	M	17	15F	-9	+6	
0000	df+3	M	12	16~17F	-9	+2	
0000	df+3,2	MM	12,10	19F	-13	-7	
0000	df+3,2,5	MMM	12,10,20	29F	-22	+18(+8)	
0000	df+4	M	10	13~14F	-9	+2	
0000	df+4,4	MM	10,26	13~14F	-15	-4	
0000	f+2	M	14	17~18F	-8	+3	
0000	f+2,4	MM	14,17	15F	-11	+0	
0000	f+4	M	10	15~16F	-12	-1	
0000	f+4,3	MM	10,14	26-27F	-22	+18(+8)	
0000	f, F+2	M	24	15~16F	-8	+17	
0000	f, F+4	M	22	20~21F	-6	KND	
0000	f, f, F+3	M	30	22~25F	+6	KND	KND
0000	f,n,d,df#2	H	23	14F	+5	LNC	LNC
0000	f,n,d,df+1	M	30	22~24F	-16	LNC	LNC
0000	f,n,d,df+1+2	M	25	26~27F	-8	KND	KND
0000	f,n,d,df+2	H	20	15F	-10	LNC	LNC
0000	f,n,d,df+3	M	25	26~28F	-8	KND	
0000	f,n,d,DF+3	L	24	33~34F	-23	KND	
0000	f,n,d,DF+4	L	10	20F	-23	-5	
0000	f,n,d,DF+4,1+2	LSM	10,9	29-40F		+58(+42)	
0000	f,n,d,DF+4,4	LM	10,28	25F	-16	+4c	
0000	H.2+3	M,H,TH	20,22,10	18F	+11 CRO	Th	Th
0000	H.CRO.2+3	UB(M)	23,16	20F	Th	Th	Th
0000	ss2	M	25	17~18F	-22	LNC	LNC
0000	u+1+2						
0000	u+4	M	22	20F	-25	+15(+5)	
0000	ub+1+2	H	40	47F	KND	KND	KND
0000	ws1	M	12	13~14F	-6	+5	+9
0000	ws1,2	MM	12,15	13~14F	-11	+6	+9
0000	ws2	M	20	15~16F	-12	LNC	LNC
0000	ws3	M	15	14F	-11	+9	+14
0000	ws4	M	10	11~12F	-3	+8	+8
0000	ws4,4	MM	10,20	11~12F	-16	+4	
0000							
0000	*						
