move_id	command	hit_level	damage	startup	block	hit	counter
1561	1	H	5	10F	+1	+8	
1506	1,1	H,H	5,8	,20F	-4	+7	
1507	1,1,3	H,H,M	5,8,22	,25~26F	-9	+15 (+6)	+36 (+0)
2101	1+2	M	25	21~22F	-14	+19	
1511	1,2	H,M	5,8	,18F	-9	+2	
1513	1,2,1	H,M,M	5,8,20	,19~20F	-14	+15	
	1+3	TH	35	12~14F	-2	+1	
1509	1,3	H,H	5,14	,16~17F	-7	+1	+9
1510	1,3,2	H,H,M	5,14,20	,22~23F	-13	+41	
1645	1,3,2~1+2	H,H,TH	5,14,40	,29~32F	+5	-2	
1514	2	H	10	10F	-13	+0	
1515	2,1	H,H	10,10	,12F	-3	+8	
1521	2,1,3	H,H,H	10,10,24	,18~19F	-9	+40 (-18)	
1522	2,1,4	H,H,L	10,10,14	,23F	-12	+3	
	2+3	M	12	16F	+1	+2	
	2+4	TH	35	12~14F	-2	+1	
1529	3	M	10	15~16F	-9	+2	
1530	3,1	M,H	10,8	,21~22F	-2	+7	
1535	3,1,2	M,H,M	10,8,24	,19~21F	-12	+12 (+3)	
1533	3,1,4	M,H,H	10,8,24	,22~23F	-9	+42 (-16)	
1483	3+4	H	25	25~26F	-13	+41	
1542	4	H	10	12F	-9	-1	+2
1548	4,1	H,H	10,17	,17~18F	-4	+8	
1557	4,3	H,M	10,18	,23~24F	-12	+13	
1556	4,4	H,M	10,23	,25~36F	+5	+29 (+20)	+46
1578	b+1	M	14	17F	-10	+1	
1751	b+1+2	M	26	22~23F	+6	+26	
1579	b+1,2	M,M	14,18	,25~26F	-12	+18	
	b+1+3		25			-5	
1580	b+2	M	14	15F	-3	+8	
1586	b+2,1	M,H	14,11	,17~19F	-5	+6	
1508	b+2,1,3	M,H,L	14,11,17	,29~31F	-26	-2	+1
1669	b+3	H	17	14~15F	-9	+11	
1701	b+3+4	H	22	28~29F	-2	+26	+26
1690	b+4	M	15	14F	-4	+7	
1692	b+4,2	M,M	15,15	,21F	-7	+4	
1637	b+4,2,1	M,M,H	15,15,17	,23~24F	-7	+4	+14
1619	b+4,2,1+2	M,M,T	15,15,17	,40F	-5	+3	
1696	b+4,3	M,H	15,20	,17~18F	-9	+21 (+12)	
	Back throw	TH	50			+1	
1536	BT.d+3	L	20	16F	-11	+10	
1628	d+1	M	18	18~19F	+1c	+8	
	d+1+2		40			+5	
	d+1+3	TH	30	12~14F		+1	
1635	d+2	L	17	18~19F	-13	-1	+13
1654	d+3	L	13	17~18F	-14	-3	+1
1661	d+3,2	L,H	13,18	,24~25F	-6	+8	
1662	d+3,2,1+2	L,H,M	13,18,24	,35~36F	-2c	+20	
1783	d+3,4	L,M	13,18	,28F	-11	+5	+23
1761	d+4	L	12	15~16F	-15	+9	-4
1763	d+4,1	L,H	12,8	,14~15F	-11	+5	
1764	d+4,1,3	L,H,H	12,8,21	,15~16F	-16	+9 (+0)	
1765	d+4,4	L,H	12,23	,22~23F	-14	+16 (+6)	
1634	db+2	M	12	14~15F	-7	+4	
1757	db+2,1	M,M	12,10	,20~21F	-10	+1	+3
1758	db+2,1,2	M,M,M	12,10,20	,25F	-14	+29 (+23)	
1705	db+3	L	17	27~29F	-26	-2	+67 (+51)
1707	db+3~1+2	T	30	19~20F		+1	
1712	db+3+4	L	23	20~21F	-15	+7	+24
1663	df+1	M	13	13F	-2	+7	
	df+1+2	M	55	20F	-15	+0	
1664	df+1,4	M,H	13,23	,22~23F	-6	+22 (+13)	+58
1665	df+2	M	14	15~16F	-12	+28 (+18)	
1666	df+3	M	16	17~20F	-6	+5	
1689	df+3+4	M	23	22~24F	-7	+12	+24
1737	(During enemy wall stun).f,f,F+4	M,T	20,20,25,35	20~21F			
1566	f+1+2	H	27	17~18F	-9	+35	
	f+1+4	TH	40	11F	-2	+0	
1563	f+2	H	16	19~20F	-8	+3	
	f+2+3	TH	40	11F	-2	-1	
1565	f+2,4	H,M	16,24	19~20F	-7	+28 (+23)	+31 (+25)
1569	f+3	M	11	20F	-6	+5	
1571	f+3,1+2	M,M	11,27	,30~31F	-6	+22	
1570	f+3,3	M,M	11,14	,17~20F	-10	+1	
1573	f+4	H	16	14~15F	-7	+8	
1574	f+4,3	H,H	16,22	30~32F	-9	+20	
1576	f+4,4	H,H	16,11	20~21F	-11	+0	+22 (+15)
1577	f+4,4,3	H,H,H	16,11,17	22~23F	-5	+21 (+12)	
1575	f+4,d+4	H,L	16,12	25F	-12	+3	
	(Face down).1+2						
1597	FC.df+1	L	8	16~17F	-13	-2	
1600	FC.df+1,4	L,M	8,10	,16~17F		+7	
1620	FC.df+1,H.1+2	L,TH	8,0	,40F		-2	
	FDFT.3	L,TH	8,30	19F	-9	+0	
1638	f,F+2	M	20	15~16F	-12	+15	+30 (+22)
1778	f,F+3	H	35	21~23F	+5	+30 (+4)	
1780	f,F+4	M	21	26~28F	-1	+13	
1770	f,f,F+2	M	25	15~17F	+6	+32 (-26)	+44
	f,f,F+2,H.1+2	M,TH	25,0	,40F		-2	
1730	f,f,F+4	M,TH	20,25	20~21F	-7	+1	
1772	H.2+3	M,M,M	25,14,23	15~16F,30~32F,31~35F	+6	+2	
	H.2+3,df+1+2	M,M,M,TH	25,14,23,0	,26F		-2	
	Left throw	TH	40		-3	+1	
1660	OTG.d+3+4	L	24	24F	-11	+0	
1752	qcb+2	M	23	26~27F	-15	+68 (+52)	
	qcf						
	Right throw	TH	40		-3	+1	
1753	SNK.1	H	20	15~16F	-3	+51	
1754	SNK.2	M	25	18~19F	-14	+36 (+26)	
1719	SNK.3	L,TH	17,20	17~18F	-16	+0	+1
1727	SNK.3+4	M	20	17~18F	-13	+27	
1722	SNK.4	M	27	19~21F	+7	+18	
1739	ss2	M	16	20~21F	-10	+1	
1749	ss2,1+2	M,M,M	16,8,12	,27~29F,8~9F	-4	+2	
1750	ss2,1+2,4	M,M,M,H	16,8,12,28	,26~27F	-10	+45	
1740	ss2,3	M,H,TH	16,20,20	18F	-9	+1	
	ss3+4						
	Tackle.1	TH	35			+0	
	Tackle.1+2	TH	45			+3	
	Tackle.2	TH	40			+3	
1464	u+3	M	16	17~21F	-17	-6	
1467	u+4	M	21	22~23F	-9	+21	
1738	ub+1+2	M!	60	63~64F		+26 (-32)	
1448	ub+2	H	18	20F	-5	+9	+53
1466	ub+3	M	16	17~21F	-13	+14 (+4)	
1469	ub+4	M	21	22~23F	-9	+17	
1430	uf+1	H	20	15F	-9	+37 (+29)	
1803	uf+1+2	TH	45	12F	-6	-5	
1447	uf+2	M	20	30-31F	-5	+42	
1465	uf+3	M	16	17~21F	-7	+20 (+10)	
1479	uf+3+4	TH	35	38~42F		-12	
1468	uf+4	M	21	22~23F	-9	+25	
1496	uf,n,4	M	20	23~25F	-13	+32 (+22)	
1766	WR.F+3	L,T	20,20	17~18F	-15	+1	
1713	ws1	M	11	12~13F	-3	+4	
1621	ws1+2	M	28	12~13F	-14	+19 (+9)	
1714	ws1,2	M,H	11,14	,22~23F	-7	+10	
1715	ws1,3	M,M	11,17	,17~18F	-13	+15 (+6)	+36 (+0)
1784	ws2	M	15	15~16F	-12	+28 (+18)	
1718	ws3	M	21	16~17F	-9	+15 (+6)	+36 (+0)
1723	ws4	M	15	11~12F	-5	+6	
