move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
1960	in rage b+3+4	m (TJ)	55	20 js13~17 pc8~17	-22	KND	KND	Rage art	Vp_RageArts02
1501,1502	1 or BT 1 or 2	h	7	10	+1	+8	+8		Vp_lp00,Vp_lp00_B
1507	1, 1	h, h	7,7	10	-3	+4	+4		Vp_lplp
1513	1, 2	h, h	7,10	10	-1	+5	+5		Vp_lprp
1514	1, 2, 3	h, h, m (TJ)	7,10,20	js19~	-22~-21	Launch	Launch		Vp_lprplk
1527	1, 2, 4	h, h, h	7,10,20	19~	-4~-3	KND	KND	Tail spin	Vp_rprk
1520	2 or f+2	h	9	14	-3	+8	+8		Jn_rp00
1521	2, 2	h, m	9,15	14	-12	+2	+2		Vp_rprp
	3	h	12	13	-8	+8	+8		
1544	4 or BT 3 or 4	h	21	13	-5	KND	KND	Homing, Tail spin	Vp_rk00
1674	1+2	m	26	13~14	-17~-16	KND	KND		Vp_ketuzan
1947	3+4	l (TJ)	20	33~34a js9~23 cs23~	-27	KND	KND	Homing	Vp_lrk
1543	f+3	m	17	16~17	-9~-8	0~+1	+25g(KND)		Vp_6lk
1677	f+1+2	m	21	25 pc8~24	-13	KND	CS	Homing, Power crush	Vp_lrp
1594	d/f+1	m	12	13	-3	+3	+3		Vp_t_slpF
1596	d/f+1, 2	m, m	12,17	13	-13	-2	KND		Vp_3lprp
1595	d/f+1, 4	m, h	12,14	13	-9	+2	+2		Vp_3lprk
1555	d/f+2	m	10	16~17	-9~-8	+2~+3	+2~+3		Vp_t_srpF
1562	d/f+2, 3	m, m (TJ)	10,10	js14~	-18~-17	Launch	Launch		Vp_3rplk
1597	d/f+3	m (TJ)	24	25~26 js9~	-6~-5	KND	KND	Homing, Wall bounce	Vp_t_slkF
	d/f+4	m	16	12	-8	+3	+3		
1584	d/b or d+1 or FC+1 or BT d+1 or d+2	Sm	5	10s cs4or1~	-5	+6	+6	+3 on hit from side or behind	Jn_t_slp00
1625	d/b or d+2 or FC+2	Sm (TC)	8	12s cs4or1~	-7	+4	+4		Co_t_srp00
1585	d/b or d+3 or FC+3 (Close)	l (TC)	10	15s cs4or1~	-16	-5	-5		Vp_t_slk00
	d/b or d+3 or FC+3	l (TC)	7	15s cs4or1~	-16	-5	-5		
1589	d/b or d+4 or FC+4 or BT d+3 or d+4	l (TC)	17	20~21s cs6or1~	-27	+5~+6s	KND		Co_t_srk00
