move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	5	10F	+1	+8	
0000	1,1	H,M	7,21	25~26F	-11	+2	+61
0000	1+2	M	20	21~22F	-13	+8	
0000	1,2	H,H	7,9	10F	-3	+8	
0000	1,2,2	H,H,H	7,9,12	17F	-13	+3	
0000	1+2+3+4						
0000	1+3	H	35			-3	
0000	1,3	H,H	7,19	16~17F	-5	+8	
0000	1+3+4						
0000	2	H	8	10F	-3	+5	
0000	2+3	M	12	16F	+1	+2	
0000	2+4	H	35			0	
0000	2,4	H,M	8,15	17F	-12	-1	
0000	2,4,1	H,M,M	8,10,25	24F	-12	+24 (+14)	
0000	3	H	15	16F	-11	0	
0000	3,1+2	H,M	15,30	28~29F	-12	+22 (+17)	
0000	3,3	H,H	15,18	17F	-9	+2	
0000	3,3,4	H,H,L	15,18,23	25~26F	-12	+17	
0000	3~4	M	27	34~36F	-5	+19	
0000	3~4,3	M,L	27,11	18~20F	-26	+19 (+12)	
0000	4~3	M	25	28~34F	-7	+1	+16
0000	b+1	H	17	10~11F	-12	+1	+36 (+28)
0000	b+1+2	M	31	13~14F	-19	+17	
0000	b1+3		25				
0000	b+2	M	15	17F	-11	0	
0000	b+2,3	M,L	15,10	22~24F	-11	0	
0000	b+2,3,4	M,L,M	15,10,13	24~25F	-12	+19 (+12)	
0000	b+2,3,4,2	M,L,M,M	15,10,13,22	24~25F	-6	+4	
0000	b+3	M	21	22~23F	+6	+10	+38
0000	b+3~4						
0000	b+4	M	10	12~13F	-9	+4	
0000	Back Throw	H	50			-4	
0000	b,f+1	M	25	25~26F	-15	+10 (+1)	
0000	BT 1	H	12	12F	-3	+14	
0000	BT 1+2	M	20	16~17F	-3	+8	+41 (+33)
0000	BT 1+4	H	45			-5	
0000	BT 2	M	23	19~21F	-13	+17	
0000	BT 3	M	35	32~33F	+8c	+8	
0000	BT d+3	L	20	18~20F	26c	-3	+70 (+54)
0000	d+1+2	M	15	20~21F	-9	+8	
0000	d+1+2,1	M,M	15,20	22~23F	-12	+18 (+11)	
0000	d+2	L	16	20~21F	-12	-1	
0000	d+4	L	7	14~15F	-11	0	
0000	d+4,1+2	L,M	7,22	26F	-10	+11 (+2)	
