move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	5	i10	+1	+8	
0000	1,1	H,H	5,8	i12	-3	+8	
0000	1,1,3	H,H,L	5,8,10	i21	-12	-1	
0000	1,1,3,3	H,H,L,H	5,8,10,14	i20	-14	+4	
0000	1+2						
0000	1,2	H,H	5,10	i10	-3	+6	
0000	1+2+3+4						
0000	1,2,f+3	H,H,M	5,10,14	i21	-8	+9	
0000	1,2,f+4	H,H,H	5,10,20	i21	-8	+9	
0000	1+3	TH(H)	35	i12~14			
0000	2	H	9	i10	+8	+0	
0000	2+3	M	12	i16	+1	+2	
0000	2+4	TH(H)	25	i12~14			
0000	2,f+3	H,M	9,14	i21	-8	+9	
0000	2,f+4	H,H	9,20	i24~25	-2	+35	
0000	3	H	15	i14	-7	+8	
0000	3,3	H,M	15,12	i18	-13	-7	
0000	3,3,2	H,M,M	15,12,12	i21~22	-11	+1c	
0000	3,3,3	H,M,M	15,12,15	i21	-14	+32	
0000	3,3,4	H,M,H	15,12,15	i21~23	+8	+19	
0000	3,3,f+4	H,M,H	15,12,20	i21~27	-1	+40 (+14)	
0000	3+4						
0000	3~4	M,M	11,21	i22,i7	-3	+26 (+16)	
0000	4	H	14	i11~12	-6	+5	
0000	4,3	H,M	14,16	i22	-6	+5	
0000	4,4	H,H	14,13	i16	-1	+10	
0000	4,4,3	H,H,M	14,13,20	i25~31	-14c	+14	
0000	4,4,4	H,H,H	14,13,17	i25~26	-2	+8	
0000	4,4,4,4	H,H,H,H	14,13,17,20	i31~32	+0	+36 (-22)	
0000	AIR.ub+3	TH(M)	26	i15~16			
0000	b+1	M	15	i15	-14	-1	
0000	2+4,B	TH(H)	40	i12~14			
0000	b+3	M	17	i16~17	-19	+35 (+25)	
0000	b+4	H	17	i13~14	-10	+1	
0000	Back throw	TH(H)	60	i12~14			
0000	BT.3	M	20	i14~16	-13	+38 (+28)	
0000	BT.4			i14~16	-13	+40 (+30)	
0000	BT.d+3	L	20	i18~19	-13	-2	
0000	CD.3	M	27	i18~19	+4	+25 (+16)	
0000	CD.4	M	18	i16	-18	+53 (+43)	
0000	d+3	L	7	17	-13	-2	
0000	d+3,4	L,H	7,10	i21~23	+8	+14	
0000	d+4	L	7	i19	-17	-6	
0000	d+4,4	L,H	722	i20	-13	+69 (+53)	
0000	db+3	L	12	i19	-13	-1	
0000	db+3+4	UB(M)	40	i61~63	+17	+17	
0000	db+4	L	14	i16	-12	-8	
0000	db+4,4	L,H	14,21	i17~19	-28	+24	
0000	d,db,b+3	TH(H)	45	i12~14			
0000	df+1	M	10	i13~14	-1	+6	
0000	df+1,3	M,M	10,15	i22~23	-2	+6	
0000	df+2	M	13	i15	-7	+34 (+24)	
0000	df+3	M	12	i22~23	-14	-4	
0000	df+3+4	M,H,M	7,4,17	i13,i14,i24~25	-14	+4	
0000	df+3,4	M,M	12,20	i24~25	-12	+7	
0000	df+4	M	20	i16~17	-8	+8	
0000	f+1+2	M	17	i15	-9	+2	
0000	f+2		15	i16	-2	+9	
0000	f+2+3	TH(H)	35	i12~14			
0000	f+3						
0000	f+3~3	M	25	i20	-16	+7 (-2)	
0000	f+4	H	21	i17~23	+7~8	+18	
0000	f,F+3	M	24	i20~24	+6c	+6c	
0000	f,F+4	M	22	i17~18	-7	+19 (+10)	
0000	f,f,F+3	M	30	i22~24	+6	+23	
0000	f,f,F+4	H	28	i18~19	+5	+8	
0000	f,n,4						
0000	f,n,d,df						
0000	f,n,df#4	M	18	i16	-8	+59 (+49)	
0000	H.2+3	M,M,H	13,14,24(51)	i17~18, i18~19, i29	+11	+13	
0000	Left throw	TH(H)	45	i12~14			
0000	LFS.1		6	i13	+5	+7	
0000	LFS.1+4	UB(M)	80	i66~69	-1	-1	
0000	LFS.2	M	15	i16	-2	+9	
0000	LFS.3	M	10	i14	-13	-7	
0000	LFS.3,2	M,M	10,20	i21~22	-11	+1c	
0000	LFS.3,3	M,M	10,15	i21	-14	+32 (+24)	
0000	LFS.3+4						
0000	LFS.3,4	M,H	10,15	i21~23	+8	+19	
0000	LFS.3,f+4	M,H	10,20	i21~27	-1	+40 (+14)	
0000	LFS.4	H	24	i14~16	+4	+27 (+18)	
0000	LFS.4~3	H,H	17,26	i15~16	-2	+24 (+14)	
0000	LFS.b+1	M	15	i15	-14	-1	
0000	LFS.b+3	M	23	i20~22	-12	+14	
0000	LFS.b+4	M	15	i16~17	-8	0	
0000	LFS.b+4,3	M,H	15,20	i16~19	0	+20 (+11)	
0000	LFS.d+3	L	7	i16	-17	-6	
0000	LFS.d+3,4	L,H	7,10	i21~23	+8	+14	
0000	LFS.d+4	L	17	i20~21	-12	+4	
0000	LFS.df+3	M	12	i22~23	-14	-4	
0000	LFS.df+3,4	M,M	12,20	i24~25	-12	+7	
0000	LFS.f+3	M	23	i19~20	+4	+26	
0000	LFS.f+4	M	18	i17~18	-10	+6	
0000	LFS.uf+3	M	11	i28~29	-6	-7	
0000	LFS.uf+3+4	M,H	10,8	i14	-10	+1	
0000	LFS.uf+3,4	M,M	11,12	i20~21	+2	+13	
0000	LFS.uf+3,4,3	M,M,M	11,12,20	i27~28	-14	+0c	
0000	LFS.uf+3+4,4	M,H,M	10,8,13	i14~15	-10	+7	
0000	LFS.uf+4	M	20	i19~20	-14	+32 (+22)	
0000	R.df+1+2	M	55	i20	-15		
0000	RFF.1	H	10	i10	+0	+6	
0000	RFF.1,1	H,M	10,12	i19	-8	+3	
0000	RFF.1+3	TH(H)	45	i12			
0000	RFF.2	H	6	i10	+1	+8	
0000	RFF.2,1	H,H	6,10	i10	+0	+6	
0000	RFF.2,1,1	H,H,M	6,10,12	i19	-8	+3	
0000	RFF.2,3	H,H	6,24	i19~20	-9	+20	
0000	RFF.2,4	H,H	6,9	i12	-8	+3	
0000	RFF.2,4,3	H,H,M	6,9,20	i25~31	-14c	+14	
0000	RFF.2,4,4	H,H,H	6,9,23	i18~19	-5	+41	
0000	RFF.3	M	13	i16	-4	+7	
0000	RFF.3+4						
0000	RFF.3,4	M,H	13,16	i27~28	+10	+21	
0000	RFF.3~4	H	27	i27~30	+5	+47	
0000	RFF.4	H	9	i12	-8	+3	
0000	RFF.4,3	H,M	9,20	i25~31	-14c	+14	
0000	RFF.4,4	H,H	9,23	i18~19	-5	+41	
0000	RFF.b+2	M	17	i16~17	+4	+6c	
0000	RFF.b+3	H	17	i13~14	-10	+1	
0000	RFF.b+4	H	21	i18~19	-9	+12	
0000	RFF.d+3	L	10	i18	-11	0	
0000	RFF.d+3+4	L	19	i19	-11	+5	
0000	RFF.d+3,4	L,H	10,10	i21~23	+8	+14	
0000	RFF.df+2+3	M	12	i22~23	-14	-4	
0000	RFF.df+2+3,4	M,M	12,20	i24~25	-12	+7	
0000	RFF.df+3	M	21	i22~24	+1	+6	
0000	RFF.df+4	M	12	i13	-7	+1	
0000	RFF.f+1	H	5	i10	+1	+8	
0000	RFF.f+1,2	H,H	5,10	i10	-3	+6	
0000	RFF.f+3	H	21	i14~17	+6	+17	
0000	RFF.f+4						
0000	RFF.f+4~4	M	20	i18~20	-13	+41 (+31)	
0000	RFF.f,F+3	M	22	i22~25	-7	+19	
0000	RFS.1	M	15	i16	-2	+9	
0000	RFS.2	H	6	i13	+5	+7	
0000	RFS.3	H	24	i14~16	+4	+27 (+18)	
0000	RFS.3+4						
0000	RFS.3~4	M,M	11,21	i16	-3	+26 (+16)	
0000	RFS.4	M	20	i14	-13	+21 (+11)	
0000	RFS.b+3	M	21	i16~17	-9	+7	
0000	RFS.b+4	M	23	i20~22	-12	+14	
0000	RFS.d+3	L	13	i15	-13	-5	
0000	RFS.d+3,3	L,H	13,28	i25~27	-2	+34 (+8)	
0000	RFS.d+4	L	15	i20~21	-23	+7	
0000	RFS.d+4,3	L,H	15,12	i25	-9	-1	
0000	RFS.d+4,3,4	L,H,H	15,12,20	i27~28	-9	+28 (+2)	
0000	RFS.df+4	M	17	i17~19	+1	+8c	
0000	RFS.f+3	M	18	i20~21	-10	+5	
0000	RFS.f+4	H,H	8,8	i8	+0	+2	
0000	RFS.f+4,4	H,H,H	8,8,9	i23	-6	+75 (+59)	
0000	RFS.u+4	H	17	i25~26	-2	+8	
0000	RFS.uf+3	M	22	i24~27	-7	+19	
0000	RFS.uf+4	M	20	i17~18		+30 (+20)	
0000	Right throw	TH(H)	44	i12~14			
0000	SS.3	M	13	i18~19	-12	-1	
0000	SS.3,3	M,H	13,16	i9~10	+3	+14	
0000	SS.4	L	18	i19~20	-13	+5	
0000	u+3	H	25	i20	+5	+44 (+38)	
0000	u+3+4	M	20	i25~26	-7	+24	
0000	u+4	M	18	i16~18	+3	+11	
0000	ub+2	H	18	i13~15	-9	+15	
0000	ub+4	M	18	i17~20	-8	+10	
0000	uf+1+2	TH(H)	40	i12~14			
0000	uf+2	M	22	i26	+5c	+6c	
0000	uf+3	M	11	i28~29	-6	-7	
0000	uf+3+4	M,H	10,8	i14,i9	-10	+1	
0000	uf+3,4	M,M	11,12	i20~21	+2	+13	
0000	uf+3,4,3	M,M,M	11,12,20	i27~28	-14c	0c	
0000	uf+3+4,4	M,H,M	10,8,13	i14~15	-10	+7	
0000	uf+4	H	12	i22~23	-2	+4	
0000	uf+4,4	H,M	12,12	i11~12	0	+6	
0000	uf+4,4,4	H,M,L	12,12,12	i9~10	+1	+7	
0000	uf,n,4	M	20	i23~25	-13	+32 (+22)	
0000	ws.2	M	8	i15~16	-7	+4	
0000	ws.2,3	M,H	8,10	i23~25	+3	+72 (+56)	
0000	ws.3	M	20	i14~18	-12	+22	
0000	ws.3+4	M	16	i20~21	-9	+2	
0000	ws.3+4,3	M,M	16,20	i21~26	-6	+5	
0000	ws.4	M	12	i11~12	-3	+8	
0000	ws.4,4	M,M	12,16	i15~19	-5	+4c	
