move_id	command	hit_level	damage	startup	block	hit	counter
0000	1+2 (Heat Engager)	M,M,H,SP	4,4,16	13F			
0000	F+3,1	M,M,SP	12,17	14F			
0000	DF+4	M,SP	22	20F	-3	+8	Launch
0000	FF2	M,SP	22	14F	-8	KDN	KDN
0000	Zanshin 2	H,SP	27	21F			
0000	Heat F+1+2	M,M,H,SP	4,4,16	13F			
0000	Heat F+3,1+F	M,M,SP	12,17	14F			
0000	Heat DF+4,F	M	20	20F	-3	+8	Launch
0000	Heat FF2,F	M,SP	22	14F	-8	KDN	KDN
0000	Heat & Zanshin 2,F	H,SP	27	21F			
0000	1	H	5	10F	+1	+8	+8
0000	1,2	H,H	5,12	10F	-2	+3	+7
0000	1,2,1	H,H	5,12,20	10F		Launch	
0000	1,2,3	H,H,M	5,12,20	10F	0	KDN	KDN
0000	1,2,4	H,H,H	5,12,26	10F	-4	KDN	KDN
0000	1,3	H,L	5,9	10F	-12	-1	-1
0000	1,3,4	H,L,L	5,9,17	10F	-13	+3	KDN
0000	2	H	9	10F	0	+9	+9
0000	2,1	H,M	9,9	10F	-3	+6	+6
0000	2,1,4	H,M,M	9,9,18	10F	-9	+4	+4
0000	2,4	H,H	9,20	10F	-9		
0000	3	H	19	14F	-7	+4	+4
0000	3,1	H,H	19,7	14F	-1	+7	+7
0000	3,1 F	H,H,SP	19,7	14F	+4	+12	+12
0000	3,1,4	H,H,L	19,7,18	14F	-13	+3	KDN
0000	4	H	15	13F	-9	+16	KDN
0000	F+3	M	12	14F	-16	-5	-5
0000	F+3,3	M,H	12,14	14F	-8	+8	+8
0000	F+3,3 F	M,H,SP	12,14	14F	-7	+9	+9
0000	F+3,3 B	M,H,SP	12,14	14F	-8	+8	+8
0000	F+4	M	21	16F	-8	+4	KDN
0000	F+4,F	M,SP	21	16F	-1	+11	KDN
0000	F+1+2	H	14,24	14F	-9	KDN	KDN
0000	DF+1	M	10	13F	-3	+4	+6
0000	DF+1,4	M,H	10,18	13F	-9	+10	KDN
0000	DF+2	M	12	16F			
0000	DF+3	M	16	12F	-8	+3	+3
