move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
1981	in rage d+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art	Ka_RageArts02
1691	in rage f, F+1+2	m(, Sm)	17,20	13(14~) ,35~	-12 (wl-6)	Launch	Launch	Rage art	Ka_66rp_EX2
1533	1	h	7	10	+1	+8	+8		Ka_lp00
1545	1, 1	h, h	7,6	10	-3~-2	+6~+7	+6~+7		Ka_lplp
1550	1, 1, 2	h, h, m	7,6,12	10	-17	KND	KND		Ka_lplprp
1535	1, 2	h, h	7,8	10	-3	+5	+5		Ka_lprp
1539	1, 2, 2	h, h, h	7,8,12	10	-12	+4	+4		Ka_lprprp
1564	2	h	10	12	-3	+8	+8		Ka_rp00
1565	2, 1	h, m	10,10	12	-5	+7	+7		Ka_rplp
1580	3	m	14	15~16	-8~-7	+8~+9	+8~+9		Ka_lk00
1581	3, 1	m, m	14,20	15~16	-13~-12	+8k	+8k	Tail spin	Ka_lklp
1582	3, 2	m, h	14,15	15~16	-1~0s	KND	KND		Ka_lkrp
	4	h	15	11~12	-9~-8	+5~+6	Launch (JG?)		
1556,1557	1+2	mm(, Sm)	3,7(,20)	12,21~22 (,44)	-14~-13	-8	-8		Ka_lrp2,Ka_lrp_tora
	1+2f	mm(, Sm)	3,7(,20)	12,21~22 (,44)	-14~-13	+9	
1940	2+3	Sm	10	22~54	-44~-12	KND	KND		Ka_Tora00
1575	f+2	h	25	17~18 pc8~16	-9~-8	KND	KND	Power crush	Ka_6rp
1584	f+3	m	13	18	-8	0	0		Ka_6lk
	f+3, f	m, (Special) (TJ)	13	18a	+5	+18g	+18g		
1591	f+4	h	20	16~17	-8~-7	+11~+12kg	+11~+12kg	Tail spin, Homing	Ka_6rk
1625	d/f+1	m	10	13~14	-3~-2	+6~+7	+6~+7		Ka_t_slpF
1629	d/f+1, 2	m, m	10,21	13~14	-13s	KND	KND		Ka_3lprp
1596	d/f+2	m?(, Sm)	20(,9)	18a(,38)	-24	Launch	Launch		Ka_t_srpF
1631	d/f+3	m	14	14	-9	+2	+2		Ka_t_slkF
	d/f+4	m	16	15	-5	+6	+6		
1611	d+1	m	15	16~17	-9~-8	+2~+3	+5~+6s		Ka_2lp
1614	d+1, 2	m, m	15,25	16~17	-13~-12	Throw	Throw		Ka_2lprp
	d+4	l	10	16~17s cs4~	-13~-12	-2~-1	-2~-1		
	d+3+4	l	7	12 cs4~	-13	-2	-2		
1675	d/b+2	l (TC)	18	23s cs6~	-14s	-3	+6s		Ka_1rp
1676	d/b+2, 3	l, l	15,12	s cs1~	-14~-13s	0~+1	+6~+7s		Ka_1rplk
1677	d/b+2, 3, 4	l, l, l (TC)	15,12,12	s cs1~	-14~-13s	+5~+6s	KND		Ka_1rplkrk
1642	d/b+3	l	12	17	-14	+2s	+2s		Ka_1lk
1655	d/b+4	l	17	20	-12	+4	+4		Ka_1rk
1616	d/b+1+2	m	20	24~25	-4~-3	+7s	KND		Ka_1lrp
1682	b+1	h	17	20	-16	-5	-5		Ka_4lp
1683	b+1, 2	h, m	17,20	20	-9~-10	+7~+8	+7~+8		Ka_4lprp
1574	b+2	m	12	15~16	-9~-8	+4~5	+4~5	Tail spin, Homing	Ka_4rp
1587	b+3	m	16	16	-8	+3	+3		Ka_4rk
	b+4	m?	20	19	-13	+9	CS		
	b+1+2	Attack returned(, m, Sm)	5,30	45~46, 76 pc6~	-13	TKF(+17)	TKF(+17)	Power crush	
	b+3+4 or RSS B	(Special) (TJ)		a					
1695	u/b or u or u/f+2	h(, Sm)	12(,20)	14(,37)	-14	-8	-8		Ka_9rp_tora
	u/b or u or u/f+2f	h(, Sm)	12(,20)	14(,37)	-14	+9	+9		
1484	u/f+3	m (TJ)	20	28~29a js9~	-12~-11	KND	KND		Ka_9lk2
1486	u/f+3, 4	m (TJ), m (TJ)	20,12	js1~	0~-1	KND	KND		Ka_9lkrk
1488	u/f+3, 4, 1	m (TJ), m (TJ), m	20,12,24	js1~24	-11~-6	-5~0s	-5~0s		Ka_9lkrklp
1487	u/f+3, 4, 3	m (TJ), m (TJ), m	20,12,17	js1~29	-11~-10	+8~+9k	+8~+9k	Tail spin	Ka_9lkrklk
