move_id	command	hit_level	damage	startup	block	hit	counter
0000	2+3	M	12	16F	+1	+2	
0000	DF+1,2	M,H,SP	11,20	15F			
0000	DB+1,2	M,MM,SP	7,8,15	13F			
0000	B+4	H,SP	20	17F			
0000	B+1+2	M,SP	21	22F			
0000	FF+2	M,SP	20	16F			
0000	"DF" 1,1,2+F	H,H,M,Th	5,6,12,8	10F		Th	
0000	"DF" 3+4	M	30	64F	KDN	KDN	KDN
0000	"DF" 1+4	M	27	22F		KDN	
0000	"DF" DB+3+4	L	0	24F			
0000	"DF" UB+1+2	H	40	41F	KDN	KDN	KDN
0000	"DF" U+1+2	H	26	22F			
0000	"DF" FF+2	M,TH	20,20	16F		TH	
0000	"DF" WGS 1	M,TH	23,15	20F		TH	
0000	"DF" WGS 3	H,TH	30,15	20F		TH	
0000	"DF" WGS 4,1,1	L,M,M,TH	15,23,16,15	16F		TH	
0000	"DF" SS,2	M	25	17F	-22	Launch	Launch
0000	"DF" DB+1+2	L	20	24F			
0000	2+3*	L,M,TH	12,20,34	18F		TH	TH
0000	1	H	5	10F	+1	+8	+8
0000	1,1	H,H	5,6	10F	-1	+8	+8
0000	1,1,2	H,H,M	5,6,12	10F	-17	KDN	KDN
0000	1,2	H,H	5,8	10F	-1	+7	+7
0000	1,2,2	H,H,H	5,8,12	10F	-12	+4	+4
0000	1,2,4	H,H,L	5,8,18	10F	-14	-3	0
0000	1,2,4,3	H,H,L,M	5,8,18,25	10F	-2	KDN	KDN
0000	2	H	12	12F	-3	+8	+8
0000	2,2	H,M	12,24	12F	-10	+6	KDN
0000	3	H	12	14F	-8	+4	+4
0000	3,1	H,H	12,10	14F	-1	+7	+7
0000	3,1,4	H,H,M	12,10,17	14F	-6	+8	KDN
0000	4	H	18	12F	-9	+2	KDN
0000	1+2	M	5,20	12F	-13	KDN	KDN
0000	F+2	M	23	20F	-12	KDN	KDN
0000	F+3	M	22	17F	-13	+5	KDN
0000	F+4	M	20	19F	+4	+7	KDN
0000	F+1+2	M	20	25F	-9	KDN	KDN
0000	DF+1	M	11	15F	-7	+9	+9
0000	DF+1,2*	M,H,SP	11,20	15F			
0000	DF+1,DF+2	M,M	11,22	15F			
0000	DF+1,4	M,H	11,20	15F	-3	+18	+18
0000	DF+2	M	22	14F	-12	+5	KDN
