move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	5	10F	+1	+8	
0000	1+2	M	17	18F	-11	-2s	0s
0000	1,2	H,H	5,15	10~12F	-3	+8	
0000	1+2,1	M,M	17,21	22F	-13/-18	+12a(+3)/-9	
0000	1,2,1	H,H,M	5,15,10	24~25F	-4	+5s	+10s
0000	1,2,1,2+4	H,H,M,T	5,15,10,40	26~28F		+0d	
0000	1,2,1,d+2+4	H,H,M,T	5,15,10,35	28~30F		+1d	
0000	1,2,2+4	H,H,T	5,15,30	30F		+1d	
0000	1+2,3	M,H	17,25	24~25F	-3	+12a(+3)	
0000	1,2,d+2+4	H,H,T	5,15,27	27F		+1d	
0000	1+3 / f+1+3	T	35	12~15 / 15~17F		+0d	
0000	2	H	10	10F	+1	+7	
0000	2,1	H,M	10,15	23~24F	-3	+8	
0000	2+3	M	12	16F	+1	+2c	
0000	2+4 / f+2+4	T	35	12~15 / 15~17F		+0d	
0000	3	H	25	17F	-14	+17a	
0000	3+4						
0000	4	H	20	13F	-5	+6	+31d
0000	Armbar.1+2	T	10			+1d	
0000	b+1	H	13	12F	-8	+3	+3a
0000	b+1+2(,f,F)	T	0	12~17F		+14g / -2	
0000	b+1,2	H,H	1320	19~20F	-13	+5	+70a(+54)*
0000	b+1+2,1+2(,f,F)	T	0	12~17F		+11g / -6	
0000	b+1,4	H,M	1323	26~28F	-11	+1d	+18(-17)*
0000	b+2	H	16	14F	-5	+1	
0000	b+2,1	H,H	16,21	20~21F	-9	+19a(+10)	
0000	b+2,1+2	H,H	16,22	24~25F	+2c	+22d	
0000	b+2,4	H,M,T	16,18,20	21F	-8	+10s/+0	
0000	b+3	H	23	16~18F	-10/-5	+39d	
0000	b+3,1+2	H,T	2320			0d	
0000	b+3+4						
0000	b+4	H	25	17~21F	+2	+14g	
0000	(Behind 1 throw)	T	60	(depends)F		0d	
0000	(Behind 2 throw)	T	60	(depends)F		-1d	
0000	BT.1+2	H!	45	26~30F		+2d	
0000	BT.1+4	M!	30	41~47F		+6d	
0000	BT.3	M	18	13~14F	-13	+9s	+50d
0000	BT.3,1+2	M,T	18,20	F		0d	
0000	BT.d+4	L	20	22~24F	-14	-2d	+28d
0000	f,n,d,DF+1+2 / CD.1+2	M	24	20~23F	-5	+16d	+52d
0000	f,n,d,DF+4/CD.4	M	21	15~16F	-9	+49a(+18)	+53d
0000	d+1	S.L	5	10F	-5	+6	
0000	d+1+2	M	21	23F	-24	+45a(+35)	
0000	d+1,2	S.L,M	5,13	10,15~17F	-11	+5s	
0000	d+1+4	M	35	12F		+0d	
0000	d+2	S.L	8	11F	-4	+7	
0000	d+2+3	M	25	30~35F	-8	+0c	
0000	d+3	L	12	17F	-12	+1	
0000	d+3+4	L	14	16F	-25	+7	
0000	d+3+4,4	L,L	14,7	29F	-25	-9	
0000	d+3+4,4,4	L,L,L	14,7,7	29F	-29	+7	
0000	d+3+4,4,4,2	L,L,L,M	14,7,7,10	28F	-15	+16d(+6)	
0000	d+4	L	6	14F	-15	-4	
0000	db+1+2			6~??F			
0000	db+1+2,2	M,T	15,25	15F	-9/-5	+35g/+8g	
