move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2202	in rage d+1+2	m	55	20 pc8~17	-22	Throw	Throw	Rage art	Kt_RageArts02
1633	f+2+3	m, m (throw)	20,6,20	16	6	throw	throw	Rage drive	Kt_RD00
1604	1, 1	h, m	7, 12	10	-5	6	6		Kt_lplp
	1, 1, 1+2	h, m (KAT)	7, 12	10	-7	4	4		
1606	1, 1, 1	h, m, m (TJ)	7,12,21	10	-11	KND	KND	Tail spin	Kt_lplp_LP
1607	1, 1, 2	h, m, m	7, 12, 24	10	-9	KND	KND		Kt_lplp_RP
	1, 2, 4	h, m, m (TJ)	7, 12, 23	10	3	KND	KND		
1609	1, 2	h, h	7, 8	10	-1	7	7		Kt_lprpF
	1, 2, 2, B	h, h (BT)	7, 9	10	-16	-8	-8		
1611	1, 2, 2	h, h, h	7,8,11	10	-12	4	4		Kt_lprpRP
	1, 2, 4*	h, h, m (TJ)	7,8,20	10	-14	KND	KND		
1562	2	h	12	12	-5	1	1		Kt_rp00
1563	2, 2	h, m	12,14	12	-6	5	5		Kt_rp01
	2, 2, 1+2	h, m (KAT)	12,14	12	-6	5	5		
1565	2, 2, 2	h, m, h	12,14,16	12	-9	2	2		Kt_rp02
	2, 2, 2, F	h, m, h (SET)	12,14,16	12	-4	7	7		
1566	2, 2, 2, 2	h, m, h, h	12,14,16,16	12	-7	2	2		Kt_rp03
	2, 2, 2, 2, 2, B	h, m, h, h (TJ) (BT)	12, 14, 16, 16	12	-21	-12	-12		
1567	2, 2, 2, 2, 2	h, m, h, h, m (TJ)	12,14,16,16,21	12	-10	KND	Launch		Kt_rp04
1592	3	h	17	16	-9	7	7	Homing	Kt_lk00
1593	3, 4	h, h	17,21	16	-5	KND	CS	Tail spin	Kt_lk00_RK
1594	4	h	16	12	-9	-3	-3		Kt_rk00
1595	4, 2	h, h (TJ) (special)	16,14	12	-3	6	6		Kt_rk_RP
1596	3+4	m (TJ)	14	32 js20~	-5	+6s	+6s		Kt_WK00
1597	3+4, 3+4	m, m (TJ)	14,16	32	-5	+6s	+6s		Kt_WK01
1626	f+2	h	12	13	-9	2	2		Kt_rp00F
1627	f+2, 3	h, h	12,20	13	-6	KND	KND	Homing	Kt_6rplk
1664	f+4	m	14	15	-8	-1	-1		Kt_rk00F
	f+4, F	m (SET)	14	15	0	7	7		
1636	f+1+2	m	20	14	-11	KND	KND		Kt_6lrp
1665	f+3+4	h (TJ)	20	18 js10~	-2	KND	Tail spin	Homing, Tail spin	Kt_WK00F
1717	d/f+1	m	10	13	-2	5	5		Kt_t_slpF
1718	d/f+1, 2	m, m	10,12	13	-10	1	1		Kt_3lp_RP
1719	d/f+1, 2, 2	m, m, m	10,12,20	13	-14s	KND	KND		Kt_3lprp_RP
1720	d/f+1, 3	m, h	10,20	13	-9	5	Launch		Kt_3lp_LK
1721	d/f+2	m	13	15	-12	Launch	Launch		Kt_t_srpF
1725	d/f+3	m	14	17	-6	2	4		Co_t_slkF
1726	d/f+3, 2	m, l (TC)	14,20	17	-15	KND	KND		Kt_3lkrp
	d/f+3, 2, D	m (TC) (cancel)	14	17s	-13	-5	-3		
1728	d/f+4	m	13	12	-9	2	2		Kt_t_srkF
1724	d/f+1+2	m, m (TJ)	9,20	17	-14	KND	KND		Kt_3lrp2
1730	d/f+3+4	m, m	10,20	17	-2	+7s	+7s		Kt_t_sWK01F
	d/f+3+4, B	m, m (BT)	10,20	17	-2	+7s	+7s		
1700	d+1	m	23	19	-3s	+5s	KND		Kt_t_slp00
	d+1, D	m	23	19s	-3s	+5s	KND		
1702	d+2	m	11	16	-9	+2s	+2s		Kt_t_srp00
1703	d+2, 1	m, m	11,7	16	-12	-1	-1		Kt_2rpLP
1704	d+2, 1, 2	m, m, m	11,7,7	16	-9	4	4		Kt_2rplpRP
1705	d+2, 1, 2, 1+2	m, m, m, m	11,7,7,20	16	-13	KND	KND		Kt_2rplprpWP
1707	d+3	l	12	16	-14	-3	-3		Kt_t_slk00
1708	d+3, 4	l, h	12,16		-9	0	0		Kt_2lk_RK
1709	d+3, 4, 1	l, h, sm (Special)	12,16,10,25		-11	Throw	Throw		Kt_2lkrk_LP
1716	d+4	l (TC)	l	12 cs4~	-13	-2	-2		Kt_t_srk00
1732	d/b+1	sm (TC)	5	10 cs4~	-5	6	6		Co_t_slp00
1733	d/b+2	m	15	16	-6	7	7		Kt_t_srp00B
1734	d/b+2, 4	m, m	15,15	16	-9	2	2		Kt_1rp_RK
1735	d/b+2, 4, 2	m, m, m (TJ)	15,15,21	16	-8s	KND	KND		Kt_1rprk_RP
1737	d/b+3 of FC d/b+3	l (TC)	8	18 cs6~	-25	-14	-14		Kt_spnk
1738	d/b+3, 3	l (TC), l(TC)	8,7	19 cs6~	-19	-7	-7		Kt_spnk2
1739	d/b+3, 3, 3	l (TC), l(TC), l(TC)	8,7,7	20 cs6~	-19	-7	-7		Kt_spnk3
1740	d/b+3 x 4	l (TC) x 4	8,7,7,5	21 cs6~	-19	-7	-7		Kt_spnk4
1741	d/b+3 x 5	l (TC) x 5	8,7,7,5,5,	22 cs6~	-19	-7	-7		Kt_spnk5
1742	d/b+3 x 6	l (TC) x 6	8,7,7,5,5,5,	23 cs6~	-47	-35	-35		Kt_spnk5E
	d/b+3, 3, …, 4	l (TC), l(TC), …., m	8,7,…,15	24 cs6~	-8	KND	KND		
1744	d/b+4	l	11	17	-12	0	+8s		Kt_t_srk00B
1736	d/b+1+2	m	25	27	-14	KND	KND	Wall bounce	Kt_tuka00
1666	b+1	h	9	17	1	7	12		Kt_spn
1667	b+1, 1	h, h	9,10	17	5	6	11		Kt_spn2
1668	b+1, 1, 1	h, h, h	9,10,11	17	5	6	11		Kt_spn3
1669	b+1 x 4	h x 4	9,10,11,12	17	5	6	11		Kt_spn4
1670	b+1 x 5	h x 5	9,10,11,12,13	17	5	6	11		Kt_spn5
1671	b+1 x 6	h x 6	9,10,11,12,13,14	17	-72	-71	-66		Kt_spn6
1674	d/b+3 (after b+1 (, 1))	l (TC)	7	17	-20	-9	-9		Kt_spn_spnk2
	d/b+3, 3 (after b+1  (, 1))	l (TC), l (TC)	7,5	17	-19	-7	-7		
	d/b+3, 3, 3 (after b+1 (, 1))	l (TC), l(TC), l(TC)	7,5,5	17	-47	-35	-35		
	d/b+3, 3, 4 (after b+1 (, 1))	l (TC), l(TC), m	7,5,15	17	-8	KND	KND		
1675	b+2	m	23	17 pc8~	-13	KND	KND		Kt_rp00B
1679	b+3	m	10	21	-10	+1s	+1s		Kt_4lk
1680	b+3, 4	m, m	10,23	21	-20	KND	KND		Kt_4lkrk
1681	b+4	m (TJ) (BT)	15	18 js17~	-8	6	6		Kt_rk00B
1683	b+4, 3	m, m	15,20	18 js17~	-16	KND	Launch		Kt_4RK_LK2
1678	b+1+2	h, m	10,20	17	-11	KND	KND		Kt_bari01
	b+3+4	(BT)		17					
1631	f, F+2	m	24	19 js21	-10	KND	Launch		Kt_66RP
1759	f, F+4	m	11	9 js9~	-17	-1	-1		Kt_66rk00
1760	f, F+4, 2	m, m	11,23	9 js9~	-17	KND	KND		Kt_66rk_RP
1632	f, F+1+2	h!	20	30	KND	KND	KND		Kt_kunai01
1761	f, F+3+4	m	15	22	-12	1	1		Kt_66wk
	f, F+3+4, B	m (BT)	15	22	-12	1	1		
1766	f, F+3+4, 2	m, m (,h) (TJ)	15,15,23	22	-17	KND	KND		Kt_66wk_RP2
1768	f, F+3+4, 3	m, m (TJ) (BT)	15,20	22	-3	KND	KND		Kt_66wk_LK2
	f, F+3+4, U	m (TJ) (Special)	15	22	-61	-48	-48		
1629	f, N, d, d/f+2	m (,h)	15,23	14 js16~	-17	KND	KND		Kt_623RP
1614	qcf+1	m (special)	10,25	15	-11	Throw	Throw		Kt_236LP
1628	qcf+2	m	21	13	-12s	KND	KND		Kt_236RP
1638	qcf+1+2	m	27	20 js20~	-9	D	D		Kt_236WP
1754	f, f, f+2	h (throw)	20, (,10, 10)	15	0	throw	throw		Kt_666rp
1757	f, f, f+3	m	30	23 js3~	±0	KND	KND		Kt_runlk00
1485	u/b or u or u/f+1	m	12	18 js9~	-12	-1	-1		Co_jplp00
