move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	h	5	i10	+1	+8	
0000	1,1	h,m	5,8	i18~19	-8	+0	
0000	1,1,1	h,m,m	5,8,20	i25~26	-12		
0000	1+2	m	25	i25	-12	+7	
0000	1,2	h,h	5,9	i10	-3	+8	
0000	1+2+3+4	sp					
0000	1+3	th(h)	35	i12~14			
0000	1,4	h,l	5,10	i22	-12	+1	
0000	2	h	10	i10	+0	+8	
0000	2,1	h,m	10,12	i20~21	-6	+8	
0000	2+3	m	12 (12)	i16		+2c	
0000	2+4	th(h)	35	i12~14			
0000	3	h	16	i15	-17	+0	
0000	3+4	m	22	i17~18	-8		
0000	4	h	27	i17~18		+18 (+9)	
0000	(airborne).f,f,F+2+4	th(h)	31 (21)	i11			
0000	b+1	m	17	i15~17	-6	+4	
0000	b+1+2	mm	4,20	i21~22,i8~9	-9	+9	
0000	b+2	m	12	i15	-7	+4	
0000	b+2,1	m,m	12,17	,i15	-10	+4	
0000	b+2+3	ub(m)	45	i84~85		+61	
0000	b+2,3	m,h	12,21	,i18	-8	+38 (-20)	
0000	b+3	m	14	i17	-12	+4	
0000	b+3,4	m,h	14,20	,i23~24	-8	+19 (+10)	
0000	b+4	m	23	i15	-8	+8	
0000	Back throw	th(h)	50	i12~14			
0000	CH b+4	m,th	27,28	i15			
0000	d+1+2	l	25	i24~25		+9	
0000	d+2	m	17	i18~19	+0c	+8c	
0000	d+3	l	8	i15			
0000	d+3,1	l,hh	8,4,10	,i19,i18	-7	+4	
0000	db+1	l	9	i17	-12		
0000	db+1+2	m	18	i26	-13	+6	=+10
0000	db+1,3	l,h	9,10	,i19		-1	
0000	db+2	m	12	i15	-18		
0000	db+2,1	m,m	12,8	,i15~16	-8	+6	
0000	db+2,3	m,m	12,15	,i19	-13	+8	
0000	db+4	l	19	i21~22	-26	+5c	
0000	DEN.1	h	14	i11~12	+1		
0000	DEN.1+2	h	20	i12~13	-10	+63a (+47)	
0000	DEN.1,2	h,h	14,20	,i14~15	-6		
0000	DEN.2	m	19	i17~19	-7	+7	
0000	DEN.3	m	23	i22~23	+3		
0000	DEN.3+4	l	21	i22~23	-14	-3	
0000	DEN.4	l	14	i23~25	-12	+1	
0000	DEN.B	sp					
0000	DEN.n,F	sp					
0000	df+1	m			-1	+5	
0000	df+2	m	15	i14	-3	+9 SEN	
0000	df+3	m	15	i16			
0000	df+3,3	m,m	15,24	,i25~26		+29 (+14)	
0000	f+1	h	10	i13			
0000	f+1+2	m	20	i15~16	-13	+28	
0000	f+1,2	h,m	10,11	,i12		+6 SEN	
0000	f+1,2,3	h,m,m	10,11,20	,i24		+48 (-10)	
0000	f+1+4	m	28	i13~14	-18	+18 (+8)	
0000	f+2	h	10	i12			
0000	f+2,1	h,h	10,15	,i13	-5	+6	
0000	f+2,4	h,h	10,22	,i18~19	-12	+15 (+6)	
0000	f+3	sp					
0000	f+4	m	12	i17			
0000	f+4,1	m,m	12,8	,i21~22			
0000	f+4,1,2	m,m,m	12,8,8	,i12			
0000	f+4,1,2,1	m,m,m,m	12,8,8,20	,i24~25		+19 (+9)	
0000	FC.1+2	ll	24	i18	-12	+1	
0000	FC.df+2	m	19	i15~16		+5	
0000	f,F+1+2	m	20	i16~17		+14 (+5)	
0000	f,F+2	m	20	i21~22	-13	+35a	
0000	f,F+3+4	ll	26	i19~20		+0c	
0000	f,F+4	l	12	i21	-31		
0000	f,F+4,2	l,h	12,15	,i24		+9 DEN	
0000	f,F+4,3	l,m	12,20	,i28		-3	
0000	f,f,F+2+4	th(h)	40	i11			
0000	f,f,F+3	m	30	i20~26		+33 (-25)	
0000	f,n,b+2	m	10	i14	-12		
0000	f,n,b+2,1	m,m	10,10	,i16	-18	+47a (+39)	
0000	H.2+3	m	50	i18~19		+0	
0000	H.f+3+4	sm	5 (5)	i18~24		+10	
0000	H.LEN.1	l,th	20,15	i16~17		+5	
0000	Left throw	th(h)	40	i12~14			
0000	LEN.1	l	20	i16~17	-12	+4	
0000	LEN.2	m	20	i16~17	-9	+25 (+15)	
0000	R.df+1+2	m	55	i20			
0000	Right throw	th(h)	40	i12~14			
0000	SEN.1	m	26	i12~13	-6		
0000	SEN.1+2	m	21	i14~16	-9	+20 (+3)	
0000	SEN.2	l	23	i17~19	-12	+6c	
0000	SEN.3	m	20	i14~16	-14	+29a (+19)	
0000	SEN.3+4	mm	22 (11)	i13~14,i18~19	+0	+22 (-13)	
0000	SEN.4	h	28	i17~18	-9	+18 (+9)	
0000	SEN.B	sp					
0000	SEN.D	sp					
0000	SS.2	m	20	i16~17		+22	
0000	uf+1+2	th(h)	35	i12~14			
0000	uf+3	mm	26 (9)	i16~17		+33a (+15)	
0000	uf+3+4	sp					
0000	uf+3+4,1+2	sp,th(h)	40	,i9~11		+1	
0000	uf+3+4,4	sp,m	40	,i17~18			
0000	uf+4	m	20	i25~27		+42	
0000	uf,n,4	m	20	i23~25	-13	+32a (+22)	
0000	ws1	m	16	i15~16	-12	+38a	
0000	ws2	m	13	i13~14	-8	+3	
0000	ws2,1	m,m	13,17	,i23~24	-12	+2	
0000	ws2,3	m,h	13,20	,i20	-15	-3	
0000	ws3	h	30	i20		+21 (+15)	
0000	ws4	m	16	i11~12	-6	+5	
