move_id	command	hit_level	damage	startup	block	hit	counter
1512	1	H	5	10F	+1	+8	
1740	1,1	H,H	5,5	18F	-8	-6	+6
1541	1,1,1	H,H,M	5,5,20	20F	-12	+41 (-17)	
1523	1,1,2	H,H,H	5,5,12	17F	-6	+6	
1543	1+2	M	20	16F	-13	+12 (+5)	+66 (+50)
1514	1,2	H,H	5,8	12F	-3	+6	+6
1548	1,2,2	H,H,M	5,8,10	20F	-8	+4	+4
1750	1,2,2,1+2	H,H,M,M	5,8,10,23	19F	-13	+5 (-4)	
1549	1,2,2,2	H,H,M,H	5,8,10,15	20F	-9	+4	+9
1532	1,2,3	H,H,M	5,8,10	15F	-5	+13	
	1+2+3+4						
	1+2+3+4~1	SPH	-10	12F	-5	+6	
	1+2+3+4*						
	1+2+3+4,2	H	24	14F	+1	+50	
	1+2+3+4~1,3	SPH,L	-10,10	19F	-13	-1	
1772	1,2,uf+3,4	H,H,SPECIAL,M	20	15F	-12	+31 (+21)	
1818	1+3	T	35	12~14F	-3	+0	
1556	2	H	8	10F	+0	+6	
1748	2,2	H,M	8,10	20F	-8	+4	
1750	2,2,1+2	H,M,M	8,10,20	19F	-13	+5 (-4)	
1749	2,2,2	H,M,H	8,10,10	13F	-9	+4	+9
2133	2+3	M	12 (12)	16F	+1	+2	
	2+3+4						
1819	2+4	T	35	12~14F		+0	
1560	2,b+2	H,H	8,8	17F	-4	+7	
1561	2,b+2,1	H,H,H	8,8,8	23F	-3	+3	
1562	2,b+2,1,2	H,H,H,M	8,8,8,21	20F	-3	+20	+55
1572	3	H	12	12F	-9	+2	
1597	3,3	H,M	12,17	27F	-14	-3	+53 (+22)
1582	3+4	M,M	5,10	14F	-13	+3	
1573	3,4	H,H	12,20	22F	-10	+19 (+10)	
1583	3+4,4	M,M,H	5,10,25	30F	+7	+31d(-27)	
1599	4	H	15	13F	-9	+7	
1755	4,3	H,H	15,12	18F	-8	+1	+23
1756	4,3,4	H,H,H	15,12,14	20F	-6	-1	+31 (+24)
1761	4,u+3	H,M	15,23	33F	-1	+30 (+13)	
1609	b+1	M	12	14F	-9	+2	
1619	b+1+2	M	21	20F	-14	+31 (+23)	
1752	b+1,2	M,M	12,12	19F	-12	+2	
1754	b+1,2,2	M,M,M	12,12,22	18F	-14	+12 (+5)	
	b+1+3			~11F		+7	
1611	b+2	M	12	16F	-8	+4	
1578	b+2,1	M,M	12,16	26F	-15	+11	
1615	b+2,2	M,H	12,15	13F	-9	+4	+9
1616	b+2,3	M,L	12,10	23F	-12	-1	
1617	b+2,3,4	M,L,M	12,10,23	23F	-7,	+36 (+26)	
1618	b+2,3,d+4	M,L,L	12,10,23	34F	-37	+11	
1718	b+2+4	T	34 (38 Heat)			+0	
1625	b+3	M	27	23F	-12	+17 (+8)	
