move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	h	5	i10	+1	+8	
0000	1+2	m	20	i21	-1	+3	+26a
0000	1,2	h,h	5,9	,i12	-3	+7	
0000	1,2,2	h,h,m	5,9,14	,i20~21	-13	-2	
0000	1,2,2,3	h,h,m,h	5,9,14,23	,i21	-3	+17a (+8)	
0000	1,2,4	h,h,m	5,9,10	,i18	-12	-1	+58a
0000	1,2:4	h,h,m	5,9,12	,i18	-12	+5	+58a
0000	1+3	t	35	i12~14	-3	-2d	
0000	1,3	h,h	5,5	i16	-11	+0	
0000	1,3:3	h,h,m	5,5,4	,i9	-11	+0	
0000	1,3:3:3	h,h,m,h	5,5,4,14	,i21	-17	+14	
0000	2	h	10	i10	+1	+7	
0000	2,1	h,h	10,8	i15	-5	+6	
0000	2,1,1	h,h,m	10,8,18	i20	-12	+3	+26a
0000	2,1,3	h,h,h	10,8,20	i24	-4	+20a (+11)	+65a (+45)
0000	2,1,4	h,h,l	10,8,18	i25	-15	+1	+11g
0000	2,2	h,m	10,14	i20	-13	-2	
0000	2,2,3	h,m,h	10,14,23	i21	-3	+17a (+8)	
0000	2+3	m	12	i16	+1	+2c	
0000	3	m	16	i14	-8	+7	
0000	3,3	m,h	16,18	i17	-10	+1	
0000	3~3	h	18	i34	-9	+2	
0000	3~3:4	h,t	18,20	i34	!	+0d	
0000	3+4						
0000	4	h	14	i11	-9	+2	+2s
0000	4,3	h,h	14,14	i18	-14	-3	+2
0000	4,3,3	h,h,m	14,14,	i19	-13	+8d	
0000	4,3,4	h,h,m	14,14,	i30	-9	+42d	
0000	4,4	h,h	14,5	,i10	-13	-2	
0000	4,4,4	h,h,h	14,5,5	,i10	-13	-2	
0000	4,4:4	h,h,h	14,5,12	,i20~21	-9	+15a (+6)	
0000	4,u+3	h,m	14,23	i33	-1	+48d	js
0000	b+1	h	9	i14	-0	+6	
0000	b+1,1	h,m	9,6	i20	-5	+6	
0000	b+1,1,2	h,m,h	9,6,18	i20	-11	+1	
0000	b+1,1:2	h,m,h	9,6,23	i20	-6	+39d (-19)	
0000	b+1:1+2	h,h	9,25	i21	-6	+39d (-19)	
0000	b+1+3					+14BT	
0000	b+1+3,4	m	35	i20		+22a (+13)	
0000	b+2	h	9	i14	-5	+1	
0000	b+2,4	h,h	9,16	i27	-9	+6	
