move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	5	10F	+1	+8	
0000	1+2	M	25	25F	-12	+11 (+2)	
0000	1,2	H,H	5,10	12F	-3	+8	
0000	1,2,1	H,H,H	5,10,16	20~21F	-5	+6	+9
0000	1,2,1,1	H,H,H,M	5,10,16,21	18F	-13	+12 (+3)	
0000	1,2,1,4	H,H,H,H	5,10,16,30	21~23F	-6	+32 (+6)	
0000	1,2,4	H,H,L	5,10,15	24F	-13	+3	+8
0000	1,4	H,H	5,17	16F	-5	+11	
0000	2	H	9	11F	-1	+5	
0000	2,1	H,H	9,12	16~17F	-7	+4	
0000	2,2	H,M	9,20	22F	-12	+6	
0000	2+3	M	12 (12)	16~17F	+1	+2	
0000	3	H	15	14F	-8	+4	
0000	3,2	H,H	15,10	19F	-2	+9	
0000	3,2,3	H,H,M	15,10,26	23~24F	-7	+13 (+4)	
0000	3,2,4	H,H,M	15,10,14	22~23F	+9	+15	+19
0000	4	H	17	12F	-7	+6	+31
0000	b+1	M	17	18~19F	-12	+1	
0000	b+1,1+2	M,M	1718	22~23F	-9	+9	
0000	b+1+2	M	15	17~18F	-24	-11	
0000	b+1+2,1+2	MM	1513	21~22F	-14	-3	+7
0000	b+1+2,1+2,2	MMM	151325	20~12F	-13	+17 (+12)	
0000	b+1,4	M,M	17,14	23F	+9	+15	+19
0000	b+1+4	H,L	6,12	19 21F	-12	+3	+14
0000	b+2	M	11	14F	-11	0	
0000	b+2,1	M,H	11,11	22~23F	-4	+7	
0000	b+21+2	M,M	11,21	27~28F	-11	+8	
0000	b+2+3	M	21	30~31F	-8	+23	+28
0000	b+3	M	12	14~15F	-7	+4	
0000	b+3,1	M,M	12,13	20F	-7	+4	
0000	b+3+4						
0000	b+4	M	13	18F	-8	+5	
0000	b+4,1	M,M	13,20	30~31F	-12	+15 (+6)	
0000	b+4,1~4	M,M	13,14	17~18F	+9	+15	+19
0000	BOK.1	M	14	13F	-4	+9	
0000	BOK.1+2	M	22	0F	-12	+15	
0000	BOK.1,2	MM	1420	17-18F	-14	+72 (+56)	
0000	BOK.2	M	23	19-20F	-9	+41 (+31)	
0000	BOK.3	H	30	21F	+5	+15	
0000	BOK.4	M	14	20F	+9	+15	+19
0000	BOK.n						
0000	d+1	M	18	18~19F	-2	+5	+24
0000	d+1+2						
0000	d+2	M	23	21F	+4	+9	+56
0000	d+3	L	10	16F	-17	-6	
0000	d+3+4	L	7	12F	-15	-4	
0000	d+4	L	13	16~17F	-11	0	
0000	d+4,2	L,H	13,23	26~27F	-5	-7	+3
0000	db+1	S	6	10F	+6	-5	
0000	db+1+2	M	17	21~23F	-9	+7	
0000	db+1+2,1	M,M	1720	17~18F	-12	+22 (+17)	
0000	db+2	M	16	16~17F	-9	+5	
0000	db+2,4	M,H	16,24	24~26F	-9	+12 (+3)	
0000	db+3	H	23	31-32F	-8	+38 (+28)	
0000	db+4	L	11	20~22F	-31	+2	+33
0000	db+4,1	L,M	1127	25~26F	-16	+8	
0000	df+1	M	13	13~14F	-1	+7	
0000	df+1,2	M,H	1320	18F	-6	+9	+34 (+26)
0000	df+2	M	15	15~16F	-13	+28 (+18)	
0000	df+2+3	L	20	21~22F	-12	+5	+21
0000	df+3	M	22	17~19F	-9	+6 (-3)	+27 (-9)
0000	f+1+2	M	24	17~18F	-14	+10 (+1)	+56
0000	f+2	H	14	14~16F	0	+6	
0000	f+2,2	H,M	14,21	23~24F	-12	+8	+25
0000	f+2+3	H	21	20~21F	-9	+11 (+2)	
0000	f+2,4	H,H	14,16	22~23F	-1	+7	
0000	f+3	H	23	20~21F	0	+4	+27
0000	f+3+4	H	24	17~18F	0	+8	+71 (+55)
0000	f+4	M	14	17~18F	+9	+15	+19
0000	f,F+2	M	25	14-15F	-9	+8	
0000	f,F+3	M	20	26-29F	-7	+3	
0000	f,F+4	M	12	19F	-13	+28 (+18)	
0000	f,F+4,3	M,H	12,23	12F	-14	+20 (+11)	
0000	f,F+4,3,4	M,H,L	12,23,17	29-31F	-14	-12	+30
0000	H.2+3	M,M,H	14,13,23 (50)	16~17F	+8	+5	
0000	H.KNK.2+3	L,M,M	8,13,14 (35)	20~21F	-13	+31 (+13)	
0000	KNK.1	H	12	18F	-9	+2	
0000	KNK.1+2	M	20	25F	-6	+21	
0000	KNK.1,2	H,M	1217	18F	-9	+17	
0000	KNK.2	H	20	13F	-9	+22	
0000	KNK.3	M	13	20F	-13		
0000	KNK.3+4		24	24F	-26	+19	
0000	KNK.3,4	M,M	1318	15F	-12	+80	
0000	KNK.4	L	18	20F	-12	+4	
0000	KNK.4,DF	L	18		-10		
0000	KNK.DF				-5	+1	
0000	R.df+1+2	M	55+	20F	-15	+0	
0000	u+1	M	17	19~20F	-6	+2	+22 (+5)
0000	ub+1+2	M!	60	70~71F		+26 (-21)	
0000	ub+3	M	26	24~27F	0	+6c	+53
0000	ub+4	M	15	15~16F	-13	+19 (+9)	+33 (+23)
0000	uf+1	H	8	13F	-1	+6	
0000	uf+1,1	H,M	8,17	19~20F	-6	+2	+22 (+5)
0000	uf+1,2	H,M	8,25	20~21F	-14	+37 (-21)	
0000	uf+2	M	15	18~21F	-14	+18 (+11)	
0000	uf+2,1	M,M	15,17	25~26F	-8	+4	+32
0000	uf+3	M	21	17~21F	-9	+13 (+4)	
0000	uf+4	M	15	15~16F	-13	+33 (+23)	
0000	uf,n,4	M	20	23~25F	-13	+32 (+22)	
