move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	h	5	i10	+1	+8	
0000	1,1	h,m	5,7	i18~19	-9	+2	
0000	1,1,1+2	h,m,h	5,7,12	i19~20	-13	-2	
0000	1,1,1+2,1	h,m,h,m	5,7,12,15	,i23~24	-16	+20 (+15)	
0000	1+2	h	9	i14	-4		
0000	1,2	h,h	5,9	,i12	-3	+7	
0000	1,2,1	h,h,h	5,9,17	,i27~28	-6	+8	
0000	1+2,1+2	h,h	9,9	i9	-9		
0000	1+2,1+2,1	h,h,m	9,9,20	,i17~18	-17		
0000	1,2,3	h,h,h	5,9,21	,i23~24	-6	+20 (+11)	
0000	1+2+3+4	sp					
0000	1,2,4	h,h,m	5,9,11	,i16	-9	+3	
0000	1+3	th(h)	35	i12~14			
0000	1+3+4	sp					
0000	1+4	l	16	i100~279		+24	
0000	2	h	10	i12	0	+9	
0000	2,1	h,m	10,12	,i12~13	-7	+4	
0000	2,1,2	h,m,h	10,12,17	,i20~21	-7	+4	
0000	2,1,2,1	h,m,h,m	10,12,17,21	,i21~23	-13	+16 (-1)	
0000	2,2	h,h	10,20	,i25~26	-7	+7	
0000	2+3	m	12 (12)	i16	+1	+2c	
0000	2+4	th(h)	35	i12~14			
0000	3	m	14	i15	-8	+3	
0000	3,3	m,l	14,13	,i18	-14	+2	
0000	3+4	sp					
0000	4	h	15	i12	-11	0	
0000	4,4	h,m	1513	,i15~16	-13	+3	
0000	b+1	h	17	i13	-6	+5	
0000	b+1+2	m	17	i12	-10	+2	
0000	b+2	sp					
0000	b+3	h	20	i22~23	+8	+13g	
0000	b+3+4	m,th	21,25	i18~19	-14	+0	
0000	HRM.b+4	l	17	i20~21		+4c	
0000	b+4	m	16	i17~18	-9	+4	
0000	Back throw	th(h)	50	i12~14			
0000	CH b+1	h,th	20,25	i13		+0	
0000	d+1	sl	5	i10	-5	+6	
0000	d+1+2	m	21	i17~18	-4		
0000	d+1,2	sl,m	5,8	,i15~16	-10	-1	
0000	d+1,2,4	sl,m,m	5,8,11	,i15	-9	+3	
0000	d+2	l	11	i15~16	-13	-2	
0000	d+2,4	l,l	11,11	,i24~25	-13	-2c	
0000	d+3	l	8	i16	-13	-2	
0000	d+3,2	l,h	8,8	,i24~25	-3	+8	
0000	d+4	l	9	i14~15	-12	-1	
0000	d+4,4	l,m	9,16	,i18~19	-11	+1	
0000	db+1	m	12	i16~17	-9	+1	
