move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	5	10F	+1	+8	
0000	1,1	H,H	5,16	20~21F	-4	+4	
0000	1,1,3	H,H,M	5,16,17	20F	-15	+6d	+25a
0000	1+2	M	26	12F	-12	+20d (+10)	
0000	1,2	H,H	5,12	12F	-3	+8	
0000	1,2,3	H,H,L	5,12,13	26F	-13	-2	+6c
0000	1,2,4	H,H,M	5,12,20	29F	-9	+2a (-7)	
0000	1+3	T	35	12F	-3		
0000	2	H	8	10F	+0	+8	
0000	2+3	M	12 (12)	16F	+1	+2c	
0000	2,3	H,L	8,13	26F	-12	-2	+6c
0000	2+4	T	35	12F	-3		
0000	2,4	H,H	8,20	22F	-5	+24a (+15)	
0000	3	M	12	15F	-11	-3	
0000	3,1	M,M	12,24	27F	-13	+40d (-18)	
0000	3,2	M,H	12,8	27F	-5	+2	+10
0000	3,2,3	M,H,H	12,8,22	24F	-9	+13a (+4)	
0000	3+4	H	30	23F	-2	+20a (+11)	
0000	4	H	16	12F	-4	+7	
0000	b+1	M	16	17F	-6	+2	+8
0000	b+1+2	M	28	23F	-12	+29a (-7)	
0000	b+1+3	T	25			+1d	
0000	b+1+4	M!	50	63F	!	+9a (-17)	
0000	b+1,4	M,M	16,22	25F	-11	+32a (+17)	
0000	b+2	H	15	13F	-11	+0	
0000	b+2,1	H,M	15,13	20F	-4	+7	+9
0000	b+2,1,1+2	H,M,M	15,13,27	23F	-12	+20a (+10)	
0000	b+3						
0000	b+3+4						
0000	Back Throw	T	60	12F	!	+1d	
0000	BT.1	H	8	8F	-8	+3	
0000	BT.1+2	M	25	13F	-11c	+16a	
0000	BT.1,2	H,M	8,20	24F	-13	+16a (-1)	
0000	BT.1,4	H,H	8,21	22F	-5	+10g	
0000	BT.2	M	22	14F	-13	+8	
0000	BT.3	M	12	14F	-10	+0	
0000	BT.3+4	M	24	29F	+2	+7c	
0000	BT.3,4	M,M	12,20	30F	-12	+39d (+31)	
0000	BT.4	M,M	10,20	26,21F	-11	+11d	
0000	BT.4,3+4	M,M,M	10,20,12	28F	-10	+4d	
0000	BT.b+3						
0000	BT.d+2	L	17	16F	-12	+5c	+14d
0000	BT.d+3	L	8	17F	-17	-1	+2
0000	BT.d+3+4	L	25	20F	-26	+19d	
0000	BT.d+3,4	L,M	8,20	22F	-13	+27a (+12)	
0000	BT.d+4	L	9	14F	-11	+1	
0000	d+1	L	10	18F	-11	+0	
0000	d+1+2	M	25	20F	-13	+13d	
0000	d+1,2	L,H	10,8	18F	-5	+3	+5
0000	d+1,2,4	L,H,M	10,8,24	30F	-12	+17a (+8)	
0000	d+2	M	16	16F	-7	+1	
0000	d+2,2	M,H	16,10	17F	-10	-4	-2
0000	d+2,2,3	M,H,H	16,10,24	25F	-3	+23a (+14)	
0000	d+2,2,4	M,H,M	16,10,24	22F	-17	+35d (-23)	
0000	d+3	L	17	19F	-12	+1	+5c
0000	d+3+4	M	23	17F	-21	+45a (+35)	
0000	d+4	L	6	12F	-15	-4	
0000	db+1	S	5	10F	-5	+6	
0000	db+2	S	8	11F	-4	+7	
0000	db+3	H	22	20F	-8	+34a	+46a
0000	db+3+4	L	20	24F	-18	+3d	+33a
0000	db+4	L	20	30F	-24	+76a (+60)	
0000	DEW.1	M	12	15F	-9	-4	+2
0000	DEW.1+2	M	28	16F	-11	+17cg	
0000	DEW.1,2	M,M	12,20	23F	-14	+20a (+10)	+54a
0000	DEW.1,4	M,M	12,30	25F	-9	+2a (-7)	
0000	DEW.2	M	13	14F	-9	+0	
0000	DEW.2,1	M,M	13,20	22F	-13	+17d	
