move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	5	10F	+1	+8	
0000	1+2	M	19	16~17F	-3~-2	+9~+10	
0000	1,2	H,H	5,10	,10F	-1	+5	
0000	1,2,1	H,H,H	5,10,17	,26~27F	-3~-2	+2~+3	
0000	1,2,1,1+2	H,H,H,H,H,H	5,10,17,6,6,6	,25 32 39F	-19	+34(-24)	
0000	1,2,1+2	H,H,M	5,10,22	,23F	-14	+11 (+2)	+10 +56
0000	1+2+3+4						
0000	1,2,4	H,H,H	5,10,22	,22F	-6	+20 (+11)	+49
0000	1,2~D	H,H	5,10		+0	+11	
0000	1+3	T	35	12~14F	-6	-2	
0000	1+4	M,M	4,20	15~16F 28~29F	-5~-4	+4~+5	+6~+7
0000	1,4	H,H	5,17	,17~18F	-4~-3	+1~+2	+50
0000	1,4,1	H,H,M	5,17,21	,25~26F	-11~-10	+15~+16	+67 (+47)
0000	2	H	10	10F	+1	+7	
0000	2+3	M	12	16F	+1	+2	
0000	2,3	H,M	10,15	,18F	-13	+0	
0000	2+4	T	35	12~14F	+0	+0	
0000	2+4,2	T	25		+0	-5	
0000	3	H	14	14F	-16	-5	
0000	3,2	H,M	14,22	,19F	-9	+36	
0000	3,3	H,H	14,4	,17F	-14	-3	
0000	3,3,3	H,L,H	14,10,6	,17F	-14	-3	
0000	3,3,3,4	H,L,H,H	14,10,6,20	,24F	-6	+20 (+11)	
0000	3+4	M	20	18~19F	-10~-9	+11~+12	
0000	3,4	H,H	14,20	,22F	-6	+20 (+11)	
0000	3+4~F	M	20		-6~-5	+15~+16	
0000	4	H	15	11F	-9	+7	+7
0000	4,2	H,M	15,22	,19F	-9	+36	
0000	4,3	H,M	15,20	,29~30F	-2~-1	+5~+6	
0000	4,4	H,H	15,21	,28~39F	-8	+3~+4	
0000	4,4,3+4	H,H,M,M	15,21,8,21	,35~39F 43~49F	-6~+0	+20	
0000	4,4,4	H,H,L	15,21,20	,30~31F	-12~-11	+4~+5	+46
0000	ABK.1	T	15		-3	+0	
0000	ABK.2	T	15		-3	+3	
0000	b+1	H	10	12~13F	-7~-6	+4~-5	
0000	b+1+2	M,M	5,20	16 8~10F	-7	+5	
0000	b+1+3				-6		
0000	b+1+4	M,M	4,14	15 30~31F	-15~-14	+34 (+24)	
0000	b+1,4	H,M	10,22	,28~29F	-12~-11	+7~+8	+71 (+55)
0000	b+2	H	12	12F	-14	-3	
0000	b+2,2	H,H	12,16	,14~15F	-6~-5	+5~+6	
0000	b+2,2,2	H,H,H	12,16,20	,25~26F	-9~-8	+9~+10	+45
0000	b+2,2,2~D	H,H	12,16		-15~?	+1~+2	
0000	b+2+3	M!	50	65F		+25	
0000	b+3	M	10	18F	-6	+6	
0000	b+3+4	H	16	14~15F	-9~-8	+6~+7	
0000	b+3,4	M,H	10,17	20~21F	-8~-7	+19	+45
