move_id	command	hit_level	damage	startup	block	hit	counter
0000	1,2	H,H	5,12	10F	-1	+6	+6
0000	1	H	5	10F	+1	+8	+8
0000	1,2,3	H,H,M	5,12,7	10F	-25	-14	-14
0000	1,4	H,L	5,8	10F	-11	+1	+1
0000	2	H	10	10F	0	+6	+6
0000	2,3	H,H	12,21	10F	-9	KDN	KDN
0000	2,D+3	H,L	10,11	10F	-12	-1	-1
0000	3	M	14	15F	-7	+4	+4
0000	3,2	M,H	14,17	15F	-3	+7	KDN
0000	3,2 B	M,H,SP	14,17	15F	+4	+14	KDN
0000	4	H	17	12F	-7	+7	KDN
0000	1+2	M	30	28F		KDN	
0000	1+2 Hold	M	35	46F		KDN	
0000	1+2 Max Hold	M	40	71F		KDN	
0000	F+2	H,Th	14,26	14F		Th	Th
0000	F+3	H	11	16F			
0000	F+3,1	H,M	11,21	16F		KDN	
0000	F+4	M,SP	21	22F			
0000	F+1+2	M	22	20F	+3	+8	KDN
0000	F+1+4	M	25	21F	-14	KDN	KDN
0000	DF+1	M	13	14F	-2	+4	+4
0000	DF+1,1	M,H	13,9	14F	-5	+5	+8
0000	DF+1,1,2	M,H,M	13,9,22	14F	-9	KDN	KDN
0000	DF+1,B	M,SP	13	14F	+3	+9	+9
0000	DF+2	M	13	15F	-8	Launch	Launch
0000	DF+4	M	17	17F			
0000	D+1	M	16	14F	-9	+2	+3
0000	D+1+2	M,M	16,26	14F	-17	KDN	KDN
0000	D+1+2 Hold	M,M	16,39	14F	+14	KDN	KDN
0000	D+1+2 Heat & Hold	M,M	16,45	14F		KDN	KDN
0000	DB+3	L	12	16F	-17	-3	-3
0000	D+1,4	M,L	16,15	14F	-31	-17	KDN
0000	DB+4	L	7	12F	-13	-2	-2
0000	D+1,4,2	M,L,M	16,15,21	14F	-14	KDN	KDN
0000	DB+1+2	M	21	20F	-14	KDN	KDN
0000	D+2	SM	8	11F	-4	+7	+7
0000	B+1	H	12	12F	-9	+2	+2
0000	D+3	L	12	16F	-17	-3	-3
0000	B+1,2	H,M	12,21	12F	-14	+16	+16
0000	D+4	L	9	15F	-31	KDN	KDN
0000	B+2	M	22	18F	-5	+4	+4
0000	D+4,2	L,M	9,23	15F	-18	-9	-9
0000	B+2,1	M,M	22,22	18F	-12	0	Launch
0000	D+4,2,1+2	L,M,M	9,23,26	15F	-17	KDN	KDN
0000	B+2,1 Hold	M,M	22,35	18F	+8	+8	Launch
0000	D+1+2*	M	30	12F	-16	KDN	KDN
0000	B+3	H	16	14F	-6	KDN	KDN
0000	DB+1	SM	5	10F	-5	+6	+6
0000	B+4	L	14	20F	-13	+3	+16
0000	DB+2	M	21	19F	-11	KDN	Launch
0000	B+1+2	H	28	24F	0	KDN	KDN
0000	UF+1	M	12	18F	-12	-1	-1
0000	UB+2	M	22	21F	-9	KDN	KDN
0000	UF+2 (Heat engager)	H,SP	22	22F	+5	+17	+17
0000	UF+3	M	14	15F	-16	Launch	Launch
0000	UF+3,4	M,M	14,20	15F	-13	Launch	Launch
0000	UF+4	M	13	15F	-13	Launch	Launch
0000	F,F+2	M	14	15F	-17	-7	-7
0000	F,F+2*	M,M	14,20	15F	-12	KDN	KDN
0000	F,F+2 (Perfect)	M,M	14,20	15F	-4	KDN	KDN
0000	F,F+3	M	17	15F	-17	Launch	Launch
0000	F,F+3,4	M,M	17,15	15F	-16	Launch	Launch
0000	F,F+2,2	M,L	14,21	15F	-19	Launch	Launch
0000	F,F+4	M	20	27F	-1	KDN	KDN
0000	F,F,F+2	M,Th	21,34	18F		Th	Th
0000	B,F+1	H	22	28F	-6	KDN	KDN
0000	FC 1	SM	5	10F	-5	+6	+6
0000	FC 2	SM	8	11F	-4	+7	+7
0000	FC 3	L	12	16F	-17	-3	-3
0000	FC 4	L	10	12F	-15	-4	-4
0000	WS 1	M	17	15F	-10		
0000	WS 1,2	M,M	17,17	15F	-11	+2	+2
0000	WS 2	M	20	15F	-14	Launch	Launch
0000	WS 3	M	16	13F	-8	+3	+3
0000	WS 3,2	M,H	16,21	13F	-9	KDN	KDN
0000	WS 4	M	18	11F	-6	+5	+5
0000	FC DF+2	M	14	14F	-17	-7	-7
0000	SS 1	H	21	20F	+8	KDN	KDN
0000	SS 3	L	17	19F	-12	+4	+12
0000	QCF,1	H	21	16F	-4	Launch	Launch
0000	QCF,2 (Heat engager)	M,SP	30(45)	13F	-17	KDN	KDN
0000	QCF,2 (Heat)	M	34(51)	13F	-13	KDN	KDN
0000	QCF,3	L	17	18F	-14	0	KDN
0000	QCF,1+2	L	20	32F	-12	Launch	Launch
0000	QCF,3+4	M	30	19F	-9	Launch	Launch
0000	QCF, DF+2	M	17	15F	-10		
0000	QCF, DF+2,1	M,H	17,28	15F	-5	KDN	KDN
0000	QCF, DF+2,3	M,M	17,22	15F	-13	KDN	KDN
0000	QCF, DF+4	L	12	17F	-12	0	0
0000	QCF, DF+4*	M,M	40,40	16F	-49	KDN	KDN
0000	QCB,1	M	24	21F	0	KDN	Launch
0000	QCB,2 (Heat Engager)	M,SP	21(31)	15F	-8	KDN	KDN
0000	QCB,3	L	14	18F	-21	-10	KDN
0000	QCB,3,2	L,M	14,20	18F	-10	+6	+6
0000	QCB,3,2,1	L,M,H	14,20,25	18F	-10	KDN	KDN
0000	QCB,3,2,3	L,M,M	14,20,22	18F	-13	KDN	LNC
0000	QCB,4	H	20	15F	+1	KDN	KDN
0000	QCB,1+2	H	22	16F		Launch	
