move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	5	10F	+1	+8	
0000	1,1	H,H	5,7		-3	+3	
0000	1,1,2	H,H,H	5,7,15		-7	+4	
0000	1,1,d+1	H,H,M	5,7,15		-6	0	+5
0000	1+2	M,M	7,21	14F	-12	+17/KND	
0000	1,2	H,H	5,10	10F	-3	+8	
0000	1,2,1	H,H,H	5,10,15		-3	+3	
0000	1,2,1,2	H,H,H,M	5,10,15,15		-10	KND	
0000	1,2,1,d+2	H,H,H,L	5,10,15,19		-12	+1	KND
0000	1+3	THROW	35	12~14F			
0000	1,d+1	H,M	5,15		-6	0	+5
0000	2	H	12	12F	-1	+5	
0000	2,1	H,H	12,14		-5	+6	
0000	2,1,2	H,H,M	12,14,22		-11	KND	
0000	2,2	H,H	12,17		-14	+6	
0000	2+4	THROW	35	12~14F			
0000	3	SP					
0000	3+4	SP					
0000	4	SP					
0000	afters+1	L	23	16F	-12	KND	
0000	ALB.2	M	22	23F	-3	+17/KND	
0000	ALB.d+2	L	17	34F	-12	+1	KND
0000	ALB.d	SP					
0000	ALB.d*	SP,L	,30	22F	-12	KND	
0000	ALB.d**	SP,M	,34	12F	-3	KND	
0000	b+1	H	10	13F	-14	+2	Launch
0000	b+1,2	H,H	10,17		+3	+7	
0000	b+1,2~1	H,M	10,17		+8	+4	Launch
0000	b+1+3	SP					
0000	b+1,d+2	H,L	10,10		+1	0	
0000	b+1,d+2,1	H,L,M	10,10,10		-9	KND	
0000	b+2	M	15	17F	-13	+14	
0000	b+3	SP					
0000	b+3*	SP					
0000	Back throw	THROW	55	12F			
0000	d+1	L	12	16F	-13	-2	
0000	d+2	L	11	17F	-18	-5	
0000	d+2,1	L,M	11,8		-11	-5	0
0000	d+2,1,2	L,M,H	11,8,17		-2	KND	Launch
0000	d/b+1	SM		10F	-5	+6	
0000	d/b+1+2	M	21	28F	-13	+14	
0000	d/b+2	L	21	26F	-12	+1	KND
0000	d/b+3	L	10	16F	-13	0	
0000	d/b+3,2	L,H	10,10		-6	+7	
0000	DCK.1	M	17	19F	-7	KND	CH
0000	DCK.1+2	M,M	3,3	16F	-9	+2	
0000	DCK.1+2,1+2	M,M,M,M	3,3,3,3		-9	+2	
0000	DCK.1+2,1+2,1+2	M,M,M,M,M,M	3,3,3,3,2,2		-9	+2	
0000	DCK.1+2,1+2,1+2,1+2	M,M,M,M,M,M,M,M	3,3,3,3,2,2,2,12		-12	KND	
0000	DCK.2	M	15	19F	-14	Launch	
0000	DCK.f+2	H	21	15F	-3	KND	CH
0000	DCK.f+3	SP					
0000	d/f+1	M	12	13F	-2	+4	
0000	d/f+1,2	M,H	1213		-6	+3	+5
0000	d/f+1,2~1	M,H	1220		-2	+2	Launch
