move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	6	10F	+8	+1	
0000	1+2	M	24	20F	-7	+20	
0000	1,2	H,H	6,9	11F	-3	+7	
0000	1,2,1	H,H,M	6,9,24	16F	-9	+14 (+5)	
0000	1+3	T	35	12F	-6	+1	
0000	1,d+2	H,M	6,10	20F	-3	+8	
0000	1,d+2,1+2	H,M,M	6,10,24	29F	-12	+17	
0000	2	H		10F	-2	+6	
0000	2,1	H,M		19F	-4	+7	
0000	2+3	M	12 (12)	16F	+1	+2	
0000	2+4	T	35	12F	-3	+0	
0000	3	H	17	14F	-11	+22	
0000	3+4	M	23	23F	-1c	+3	+19
0000	4	H	15	11F	-9	+8	+33
0000	AOP.1	M	11	18F	-5	+6	
0000	AOP.1+2	M	25	19F	-1	+19 (+10)	
0000	AOP.1,4	M,M	11,20	25F	-9	+15 (-2)	
0000	AOP.1,2	M,H	11,15	21F	-6	+30	
0000	AOP.1+3	T	35	12F	-6	+1	
0000	AOP.2	M	10	13F	-10	+0	
0000	AOP.2,1	M,M	10,20	21F	-12	+13 (+4)	
0000	AOP.3	L	19	25F	-16	+0	+27
0000	AOP.3+4	L	22	23F	-33	+1	
0000	AOP.4	M	14	12F	-10	+8	
0000	AOP.d						
0000	AOP.d+1	L	13	19F	-12	-1	+0
0000	AOP.d+1+2	M	21	26F	-8	+42 (+32)	
0000	AOP.f+3+4						
0000	AOP.f+4	L	13	18F	-7	+4	
0000	AOP.f+4,4	L,L	13,13	28F	-6	+5	
0000	AOP.uf						
0000	AOP.uf+3	M	14	15F	-17	+27 (+17)	
0000	AOP.uf+3,1	M,M	14,22	24F	-4	+8	
0000	AOP.uf+3,4	M,M	14,17	15F	-14	-3	+22
0000	AOP.uf+4	M	12	16F	-10	+1	FC
0000	AOP.uf+4,4	M,M	12,12	23F	-12	-1	
0000	While in the air 3	M	30	14F	-2	+29	
0000	b+1	M	10	12F	-9	+1	
0000	b+1+2	M	20	15F	-13	+29 (+19)	
0000	b+1+3					+6	
0000	b+2	M	13	15F	-6	+5	
0000	b+2,2	M,L	13,15	21F	-7	+4	
0000	b+3	H	22	18F	+3	+8	+32
0000	b+3+4						
0000	b+4	M	10	13F	-11	+0	
0000	b+4,1	MM	1020	27F	-14	+40 (-18)	
0000	Back Throw	T	50	12F		+0	
0000	BT.1	M	17	16F	-5	+4	+64
0000	BT.1+2	M	12	16F	-6	+8	
0000	BT.1,2	M,M	17,20	24F	-13	+17	
0000	BT.1+2,1+2	M,M	1212	17F	-13	+8	
0000	BT.1+2,4	M,H	1220	23F	+3	+19 (+10)	
0000	BT.2	H	9	12F	+0	+6	
0000	BT.2,1	H,H	9,8	14F	-1	+6	+10
0000	BT.2,1,4	H,H,M	9,8,15	18F	-18	+33 (+23)	
0000	BT.2,2	H,M	9,12	22F	-7	+5	
0000	BT.2,2,1	H,M,M	9,12,21	21F	-11	+5	
0000	BT.3	M	18	16F	-5	+7	+41 (+33)
