move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	7	10F	+1	+8	
0000	1,1	H,M	7,19	23F	-9	+4c	+6a
0000	1+2						
0000	1+2+3	M	0	22~40F	-8~+10g	+0~+18	+16~+34
0000	1+2+3+4						
0000	1+2,P	M,M	10,12	15~18 3~6F	+1c~+4c	+14a	
0000	1+3	T	35	12~14F	-3	+1d	
0000	1+4	M	21	6~9F	-15~-12	+14c~+17c	
0000	1,NSS.1	H,M	7,22	23F	-9	+16a	+52a
0000	2	H	10	11F	-1	+5	+8
0000	2,1	H,M	10,23	26~27F	-9~-8	+12a	
0000	2,2	H,H	10,18	24F	-1	+15g	
0000	2+3	M	12	16F	+1	+2c	
0000	2,3	H,H	10,24	26~27F	-10~-9	+16a (+7)	
0000	2+4	T	35	12~14F	+0	+1	
0000	2,d+3	H,L	10,11	22F	-12	-1	
0000	2,NSS.1	H,H	10,5,15	23~24 18F	-5	+19a	
0000	3	M	12	15~16F	-9~-8	+5~+6	
0000	3,1	M,H	12,22	22~24F	+7~+9	+18g~+20g	
0000	3,2	M,M	12,12	22F	-12	+1	
0000	3,2,1+2	M,M,M	12,12,29	26~27F	-14c~-13c	+20a (+10)	
0000	3,2,NSS.1+2	M,M,M	12,12,30	26~27F	-14c~-13c	+20a (+10)	
0000	3+4						
0000	3~4	M,M	6,22	17~18 28~29F	-6~-5	+3~+4	
0000	3,NSS.1	M,H	12,25	22~24F	+7~+9	+18g~+20g	
0000	4	H	12	12~13F	-11~-10	+0~+1	+20a (+10)
0000	4~3	M	25	25~26F	-13~-12	+52a (+42)	
0000	4,4	H,H	12,12	24~25F	-4	-2	
0000	4,4,2	H,H,M	12,12,5	30~31F	-22~-21	-12~-11	
0000	4,4,2,2	H,H,M,H	12,12,5,6	22~23F	-24~-23	-13~-12	
0000	4,4,2,2,1	H,H,M,H,M!	12,12,5,6,30	67F		-18	
0000	4,4,2,2,1~1	H,H,M,H,M!,M!	12,12,5,6,30,22	28~113F		-58	
0000	4,4,2,2,NSS.1~1	H,H,M,H,M,H!	12,12,5,6,30,40	20~105F		-49a (-75)	
0000	4,4,2,2,NSS.1	H,H,M,H,M	12,12,5,6,30	,67F	-54	-17a	
0000	4,4,4	H,H,H	12,12,20	24~25F	-4~-3	+18a (+9)	
0000	B+1	H	8	17F	+1	+7	+12
0000	B+1,1	H,H	8,9	11~12F	+4~+5	+5~+6	+10~+11
0000	B+1,1,1	H,H,H	8,9,10	11~12F	+4~+5	+5~+6	+10~+11
0000	B+1,1,1,1	H,H,H,H	8,9,10,12	11~12F	+4~+5	+5~+6	+10~+11
