move_id	command	hit_level	damage	startup	block	hit	counter
0000	1	H	5	10F	+1	+8	
0000	1+2	M	17	16~17F	-12	+4	+24a
0000	1,2	H,H	5,9	12F	-3	+8	
0000	1,2,3	H,H,H	5,9,12	20F	0	+9	
0000	1+2+3+4						
0000	1+2,4	M,M	17,10	24~25F	-10	+1	+6
0000	1+2,4,4	M,M,M	17,10,12	30~31F	-11	+19d	
0000	1+3	T	35	12~14F		0	
0000	1,3	H,H	5,14	17~18F	-2	+7	
0000	1,4	H,M	5,17	19F	-5	+2	
0000	2	H	8	10F	-7	-1	
0000	2,1	H,M	8,9	23~25F	-6	+2	
0000	2,1,3	H,M,L	8,9,11	32F	-17	+4d	
0000	2,1*	H,M	8,12	19-20F	-9	+2	+7
0000	2,1,1+2	H,M,M,M,M	8,12,7,11,14	25~26 10~11 4~5F	-9	+19d(-16)	
0000	2+3	M			+1	+2c	
0000	2+4	T	35	12~14F		0	
0000	3	H	17	13F	0	+9	
0000	3+4						
0000	4	H	19	14~15F	-6	-1	+19a(+10)
0000	b+1	M	14	18F	-14	+2	
0000	b+1:1+2	M	14,36			d	
0000	b+2	H	22	22~23F	-5	+12	
0000	b+2+3	M!	40	64F		+41a(+10)	
0000	b+3	M	23	24~26F	-14	+12d	
0000	b+4	M	14	22~23F	-9	+4	
0000	b+4,4	M,M	14,20	20~22F	-14	+9a(0)	
0000	Back Throw	T	50			0	
0000	d+1	M		12F	-16	-8	-3c
0000	d+1,1	M,M		17~18F	-12	+19a(+12)	+28a(+22)
0000	d+1+2						
0000	d+2	M	17	19~20F	-16c	-3c	+17d
0000	d+2,4	M,M	17,10	26F	-22	-4b	-4c
0000	d+2,4,3	M,M,M	17,10,10	28~31F	-12	+18a	
0000	d+3	L	14	22F	-15	+2	+20a
0000	d+3+4						
0000	d+4	L	8	17~18F	-19	-3	+7
0000	d+4,3	L,H	8,10	19F	-6	+36a(+26)	
0000	db+1+2	L	10	28~29F	-16	+15a	
0000	db+1+2,1+2	LM	10,20	33F	-16	+5a(-4)	+37a(-10)
0000	db+2	M	17	13~14F	-9	+3	+16d
0000	db+3	L	13	18F	-8	+3	
0000	db+4	L	14	21~22F	-12	-3	+3
0000	db+4,2	L,M	14,17	29~32F	-13	+68a(+52)	
0000	df+1	M	10	13~14F	-5	+7	
0000	df+1,2	M,M	10,16	15~16F	-13	+3	
0000	df+1,2,1	M,M,M	10,16,20	25F	-13	+23d(13)	
0000	df+1,4	MH	1018	19~20F	-6	+12	
0000	df+2	M	13	16~17F	-12	+32a(22)	
0000	df+3	M	15	15~16F	-5	+4	
0000	df+3,4	M,H	15,17	23~24F	-6	+22d	+55a
0000	df+3,d+4	M,L	15,15	25~26F	-14	+1	
0000	df+4	M	14	14F	-13	+3	
0000	df+4,1	M,M	14,22	31F	-12	+3d	
0000	df+4,2	M,M	14,20	27~29F	-13	+24a(+9)	
0000	f+1+2	M,M	16,22	19~20 13~14F	-9	+5d(-5)	
0000	f+2	,M	17	19F	-18	-9	+52a
0000	f+2,3	,M,H	17,12	19F	0	+9	
0000	f+2,3,4	,M,H,M	17,12,25	28~29F	-18	+18d(8)	
0000	f+3	H	28	21F	+3	+68a(48)	
0000	f+4	H	13	14~15F	-6	+22d	
0000	FC.d+1	SL	5	10F	-5	+6	
0000	FC.d+2	SL	8	11F	-4	+5	
0000	FC.d+3	L	10	16F	-17	-6	
0000	FC.d+4	L	6	12F	-15	-4	
0000	FC.df+3	L	15	23~24F	-26	+14d	
0000	f,f+2	H	20	15~16F	+1	+21a(12)	
0000	f,f+3	M	20	20~22F	+4	+9	+14
0000	f,f+3,1	M,M	20	18F	-16	+5d	
0000	f,f+3+4	M,M	10,21	21 8~12F	-11	+15a(+6)	
0000	f,f+4	M	20	17~19F	-8	+18a(+9)	
0000	f,f,F+1+2	H	20	23~24F	+7	+32a	
0000	f,f,F+3	M	30	23~26F	+7	+19a(9)	
0000	H.2+3	H,SM	15,10,15,15,15,18	12~13 47~53 1~7 1~7 1~6 1~2F	+3	knd	
0000	Left Throw	T	40			0	
0000	MNT.1	M	12	13F	-6	+5	
0000	MNT.1+2	M	21	20F	-12	+18d	
0000	MNT.1,3	M,H	12,12	19F	0	+9	
