move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2347	in rage b+1+2 in rage WS+b+1+2 in rage DES b+1+2	h x 6, (DES)	55	13(~43?) pc8~	+1	KND	KND	Rage art
1954	in rage f+2+3	m (TJ)m	12,25	16~17 ,36~37	0~+1	SPD	SPD	Rage art, Tail spin
1956	in rage f+2+3, 3+4	m (TJ)m, (SBT)	12,25	16~17 ,36~37	+5~+6	SPD	SPD	Rage art, Tail spin
	in rage f+2+3, f+3+4	m (TJ)m, (DBT)	12,25	16~17 ,36~37	+5~+6	SPD	SPD	Rage art, Tail spin
1595	1	h	7	10	+1	+8	+8	
1597	1, 1	h, h	7,18	10	-3	+5	KND	
	1, 1, 1+2	h, h, (DES)	7,18	10	-3	+5	KND	
1604	1, 2	h, h	7,10	10	-2	+4	+9	
1606	1, 2, 2	h, h, l	7,10,17	10	-11~-10	+2~+3	KND	
	1, 2, 2*	h, h, l	7,10,22	10	-10~-9	KND	KND	
1605	1, 2, 4	h, h, h	7,10,21	10	-5~-4	KND	KND	Tail spin
1608	2	h	10	12	-6	+5	+5	
1610	2, 3	h, m	10,8	12	-10~-9	+1~+2	+1~+2	
1611	2, 3, 3	h, m, m (TJ)	10,8,25	12a	-11~-9	KND	KND	Tail spin
1677	2, 3, 4	h, m, l (TJ)	10,7,20	js24~	-13~-12	KND	KND	
1609	2, 4	h, h	10,21	12	-5~-4	KND	KND	Tail spin
1617	3	m	12	13~14	-12~-11	-1~0	-1~0	
1619	3, 2	m, m x 5, (DES)	12,4*5	13~14	-12	+5	+5	
1632	4	h	24	13~14	-5~-4	KND	KND	Tail spin, Homing
1614	1+2	m (TJ)	21	33~34 js7~	-5~-4	KND	KND	
1638,1639	f+2	m	12	17~18	-4~-3	+7~+8	+7~+8	
1640	f+2, 1	m, m, (DES)	12,20	17~18	-14	CS	CS	
1641	f+2, 1+2	m, (DES)	12	17~18	-4~-3	+7~+8	+7~+8	
1642	f+2, 3	m, h (TJ)	12,8	js17~	-8	+4	+4	
