move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2245	in rage d/f+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art
1781	in rage f+2+3	m (TJ), m (TJ)	27,16	26~33a 86~87s (29~) 1js15~ 2js14~	+2~+3s	KND(KND)	KND(KND)	Rage drive
	in rage f+2+3, f	m (TJ), m (TJ), (Special) (TC)(BAL)	27,16s	26~33 86~87 (29~) 115~ 214~	+12~+13s	KND(KND)	KND(KND)	Rage art
1589	1	h	7	10	+1	+8	+8	
1580	1, 1	h, h	7,7	10	-1	+5	+5	
1591	1, 1, 2	h, h, h	7,7,12	10	-12	+3	+3	
1596	1, 2	h, h	7,10	10	-3	+3	+3	
1597	1, 2, 1+2	h, h, m	7,10,20	10	-13~-12	+9~+10k	KND	Tail spin
1598	1, 3	h, l	7,10	10	-16~-15	-5~-4	-5~-4	
1599	1, 3, 3	h, l, m	7,10,18	10	-14~-13	-6~-5	KND	
1601	1, 4	h, h	7,15	10	-6	+5	Launch (JG?)	
1602	1, d+4	h, l	7,13	10	-12	-1	-1	
1608	2	h	8	10	0	+6	+6	
1611	2, 1	h, m	8,10	10	-4~-2	+4~+6	+7~+9	
1614	2, 1, 4	h, m, m (TJ)	8,10,20	js12~	-4~-3	KND	KND	
1634	3	h	14	18~19	-9~-8	-4~-3	-4~-3	
1635	3, 4	h, m (TJ)	14,17	js18~	-10~-5s	+4~+9s	KND	
1637	4	h	15	13	-9	+7	Launch (JG?)	
1639	4, 3	h, m	15,12	13	-8~-7	+3~+4	+3~+4	
1640	4, 3, 3+4	h, m, m (TJ)	15,12,14	js17~	-5~0s	KND	KND	
1617	1+2	m	18	19~20	-13~-12s	0~+1s	0~+1s	
1619	1+2, 1+2	m, m	18,20	19~20	-20~-19	KND	KND	
	1+2, F	m, (Special) (TC)(BAL)	18	19~20s	+4~+5s	+17~+18s	+17~+18s	
	1+2, F (After stance ends)	m, (Special) (TC)(BAL)	18	19~20s	-19~-18s	-6~-5s	-6~-5s	
	1+2, B	m, (Special) (TC)(BAL)	18	19~20s	-36~-35s	-23~-22s	-23~-22s	
1643	f+2	h	12	12	-8	+3	+3	
1644	f+2, 3	h, m	12,20	12	-15~-14	KND	KND	
1649	f+3	m	18	21~27	-4~+2	0~+6s	+8~+14s	
1650	f+3, 4	m, m	18,23	21~27	-11~-10	KND	CS	
1651	f+4	h	20	16~17	-6~-5	KND	KND(Throw)	Homing, Tail spin
1646	f+1+2	m	25	15~19 pc8~14	-13~-9	KND	KND	Power crush
1725	d/f+1	m	13	14~15	-3~-2	+5~+6	+5~+6	
1728	d/f+1, 2	m, m	13,15	14~15	-10	+6	+6	
1726	d/f+1, 1+2	m, m	13,25	14~15	-12	KND	KND	
1729	d/f+2	m	14	15~16	-8~-7	+3~+4a	Launch (JG?)	
1730	d/f+3	m	14	18	-7	+4	+4	
1731	d/f+3, 1	m, h	14,11	18	-3	+8	+8	
1732	d/f+3, 1, 1	m, h, m	14,11,20	18	-10	+1	KND	
1733	d/f+3, 2	m, h	14,20	18	-9~-8	KND	KND	
1735	d/f+3, 4	m, l	14,10	18	-12~-11	-1~0	-1~0	
1736	d/f+3, 4, 4	m, l, h	14,10,16	18	-13~-12	0~+1	0~+1	
1737	d/f+4	m	16	13~14	-9~-8	+2~+3	+2~+3	
1740,1741	d/f+3+4	mm	6,6	18,28	-13	KND	KND	
1742	d/f+3+4, 4	mm, m (TJ)	6,6,23	js17~	-4~-2	KND	KND	Tail spin
1706	d+1	m	18	18~19s	-11~-10	+5~+6s	KND	
1707	d+2	m	12	15	-9	+2	+2	
1708	d+2, 1	m, m	12,14	15	-10~-9	+1~+2	+1~+2	
1709	d+2, 1, 2	m, m, m	12,14,18	15	-10~-8	+3~+5	+3~+5	
1710	d+2, 1, 2, 2	m, m, m, m	12,14,18,21	15	-21	KND	KND	
1711	d+2, 3	m, m	12,21	15	-4	+9	CS	
1712	d+2, 4	m, m (TJ)	12,21	15a	-13	KND	KND	
1720	d+3	l (TC)	14	19s cs6~	-18~-17	-7~-6	-7~-6	
1721	d+3, 4	l, h	14,20	19 6~	-8~-7	KND	KND	Tail spin
1790	d+4	l	11	16	-12	-1	-1	
1791	d+4, 3	l, h	11,15	16	-7	-2	-2	
1792	d+4, 3, 4	l, h, m	11,15,24	16	-12~-11	KND	KND	
1714	d+1+2	hh	5,5	14,25	-9	+2	+2	
1717	d+1+2, 2	hh, m	5,5,5	14,25	-8	+3	+3	
1718	d+1+2, 2, 1	hh, m, h	5,5,5,20	14,25	-16~-15	KND	KND	
1724	d+3+4	mm	12,20	15~16, 24~26 2js20~	-15~-13	Launch	Launch	
1723	d+3+4 (Second hit miss)	m	12	15~16	-24~-23	Launch (JG?)	Launch (JG?)	
1745	d/b+2	m	17	14	-8	+6	+6	
1747	d/b+3	l	17	20	-12	+2	KND	
1748	d/b+4	l (TC)	15	24~25 cs6~	-12~-11	-1~0	-1~0	
1749	d/b+4, 4	l (TC), m	15,14	js14~	-12~-10	-2~0	-2~0	
1750	d/b+4, 4, 3	l (TC), m, h	15,14,12	14~	-10	+3	+3	
1751	d/b+4, 4, 3, 3	l (TC), m, h, m	15,14,12,18	14~	-12~-7	KND	KND	
1752	d/b+4, 4, 4	l (TC), m, l	15,14,10	cs11~	-12~-10	-1~+1	-1~+1	
	d/b+4, 4, 4, D	l (TC), m, l	15,14,10	s cs11~	-12~-10	-1~+1	-1~+1	
1746	d/b+1+2	m?	16	18~19	-13~-12	Launch	Launch	
1758	d/b+3+4	l	10	19	-31	+6	+6	
1762	d/b+3+4, 4	l, l	10,18	19		+8s		
	d/b+3+4, 4 (Second hit only)	l	12	19	-28	-9s	KND	
1668	b+1	m	15	17~19	-9~-7	+4~+6s	+4~+6s	
1669	b+1, 2	m, m	15,16	17~19	-8~-7	+7~+8	+7~+8	
1670	b+2	m	10	13~14	-5~-4	+6~+7	+6~+7	
1671	b+2, 2	m, h	10,12	13~14	-3	+8	+8	
1672	b+2, 2, 4	m, h, m	10,12,16	13~14	-9	+7	+7	
1673	b+2, 2, 4, 4	m, h, m, h	10,12,16,20	13~14	-7~-6	KND	KND	Tail spin
1679	b+3	m	20	17~18	-15~-14	KND	uKZD	
1681	b+4	m	15	15	-7	+4	+4	
1685	b+4, 1	m, m	15,20	15	-7	+9s	+9s	
1674	b+4, 4	m, h	15,20	15	-7~-6	+11~+12	+11~+12	Tail spin
1675	b+1+2	m	20	17~18	-9~-8	+8~+9s	+8~+9s	
1676	b+1+2, 1	m, m	20,10	17~18	-11	0	0	
1677	b+1+2, 1, 2	m, m, h	20,10,20	17~18	-16	KND	KND	
	b+3+4	(Special) (TC)		s				
1546	u/b+3	mm (TJ)	14,20	15~16, 24~26 js13~	-15~-13	Launch	Launch	
1545	u/b+3 (First hit only)	m (TJ)	14	15~16 js13~	-24~-23	Launch (JG?)	Launch (JG?)	
	u/b+3 (Second hit only)	m (TJ)	20	24~26 js13~	-15~-13	Launch (JG?)	Launch (JG?)	
	u+1+2	(Special) (TJ)		a				
	u+1+2, F	(Special) (TJ), (Special) (TC)(BAL)		as				
	u+1+2, B	(Special) (TJ), (Special) (TC)(BAL)		as				
1512	u+1+2, 1	(Special) (TJ), m (TJ)	21	11~13s (28~) js1~	-9	KND	KND	Wall bounce
1722	u+3+4	m (TJ)	20	24~30s js13~	-4~+2s	+6+12s	KND	
	u+3	m (TJ)	20	20 js9~	-13	KND	KND	
1800	u/f+3	m (TJ)	20	20 js9~	-13	Launch (JG?)	Launch (JG?)	
1794	u or u/f+4	m (TJ)	14	25~27 js15~	-9~-7	0~+2	0~+2	
1797	u or u/f+4, 4	m (TJ), m	14,18	js1~5	0~+1	+4~+5s	KND	
1542	u/f+1+2	m (TJ)	15	16~18 js13~	-11~-9	-3~-1	-3~-1	
	u/f+1+2, f (BAL)	m (TJ) (BAL)	15	16~18 js13~	?	?	?	
	u/f+1+2, B (REV BAL)	m (TJ) (REV BALL)	15	16~18 js13~	?	?	?	
1543	u/f+1+2, 4	m (TJ), h (TJ)	15,20	js10~	-1~0	+14~+15kg	KND	Tail spin
1544	u/f+1+2, 1+2	m (TJ), m	15,25	10~	-17~-13	KND	KND	
1551	u/f+3+4	lh	10,12	21,31 2js24~	-15(-25s)	-4	-4	
1552	u/f+3+4, 4	lh, h (TJ)	10,12,20	js1~	-4	KND	KND	Tail spin
1788	f, F+2	m	25	14~15 (15~)	-8~-7	KND	KND	
1802	f, F+3	m (TJ)	18	18~21a (19~) js8~	-7~-4	+4~+7	CS	
1804	f, F+4	m (TJ)	12	22~23 (23~) js14~	-9~-8	+2~+3	+2~+3	Homing
1805	f, F+4, 4	m (TJ), m (TJ)	12,20	js1~	-13~-11	KND	KND	
1807	f, F+3+4	mm (TJ)	10,20	26~28, 35~40 (27~) js16~34	-0s~+5s	KND	KND	
1806	f, F+3+4 (Second hit miss)	m (TJ)	10	26(27~) js16~	-25	-14	-14	
1603	b, f+1	m	25	26(26~)	-12	+9	KND	
1686	b, B+4	m	20	26~28 (27~) js15~	-4~-2s	KND	KND	
1687	b, B+3+4	m! (TJ)	60	72~74 (73~) js51~	KND	KND	KND	
1688	b, B+3+4, 2	m	25	15~16 (58~59)	-8~-7	KND	KND	
1678	b, B+2+3	h! (TJ)	32	48~50 (49~) js20~	KND	KND	KND	Tail spin
	Back against wall b, b, u/b	m	21	36 js5 pc8~24	+2	KND	KND	
1778	f, f, F+3 or WR+3	m (TJ)	30	20~26 (23~) js3~	+9~+15g	KND	KND	
1780	f, f, F+3+4 or WR+3+4	m (TJ)	27	26~36a (29~) js15~	+8~+18g	KND	KND	
1764	WS+1	m	11	15~17	-11~-9	0~+2	0~+2	
1765	WS+1, 2	m, h	11,20	15~17	-9~-8	KND	CS	Tail spin
1766	WS+1, 3	m, m	11,25	15~17	-13~-12	KND	KND	
