move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2014	in rage d/f+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art
1655	in rage b+4, 2, f	m, m, (STB)	11,21	20 8~17	+7	TKMD	TKMD	Rage drive
1582	1	h	7	10	+1	+8	+8	
1583	1, 2	h, h	7,12	10	-1~0	+6~+7	+6~+7	
1584	1, 3	h, l	7,11	10	-12	-1	-1	
1585	2	h	10	12	-3	+3	+3	
1586	2, 1	h, m	10,13	12	-6	+5	+5	
1587	2, 1, 2	h, m, m	10,13,25	12	-13~-11	KND	Tail spin	Tail spin
	3	h	21	12	-6	-1	JG	
1576	4	h	15	12	-8	+3	KND	
1577	4, 3	h, h (TJ)	15,13	js17~	-5~-4	+15kg	Tail spin	Homing, Tail spin
	1+2	m	20	17	-14	+2s	+2s	
1605	1+2 When hit 1+2	m, (throw)	20,20	17		0		
	1+2 When hit 1+2 When hit , b or f+2	m, (throw), (throw), (STB)	20,20,18	17		Throw(KND)	Throw(KND)	
	3+4	m (TJ), ?	20	24~26s js13~	-10~-8	KND	KND	
1562	f+2	h	9	12	0	+6	+6	
1564	f+2, 1	h, m	9,12	12	-10~-9	+6~+7s	+6~+7s	
1565	f+2, 1, 1+2	h, m, m	9,12,25	12	-18~-17	KND	KND	
1566	f+2, 2	h, m(, (Special))(STB)	9,24	12	-26	CS	CS	Tail spin
1588	f+3	h (TJ)	27	18 js9~	-5	+15k	Tail spin	Homing, Tail spin
1589	f+4	m	23	22~23	+4s	+4s	KND	
1596	f+1+2	m	10	16	-18	-7	-7	
1597	f+1+2, 1+2	m, m	10,20	16	-14	KND	KND	
1757	f+3+4	h	25	17~18	+2~+3	KND	KND	Homing
1704	d/f+1	m	10	15~16	-2~-1	+9~+10	+9~+10	
1705	d/f+1, 2	m, m	10,13	15~16	-15~-14	JG	JG	
1707	d/f+2	m	19	14	-13	+5	KND	
1719	d/f+3	m	14	14	-7	+4	+4	
1724	d/f+3, 1	m, m	14,20	14	-12	KND	KND	
1725	d/f+3, 2	m, h	14,10	14	-2	+4	+4	
	d/f+4	m	14	13	-8	+3	+3	
1673	d+1	m	16	17~18	-8~-7	+2~+3	+2~+3	
1679	d+2	l (TC)	11	20s cs7~	-12	-1	-1	
1621	d+1+2 or BT 1+2	m	28	13~14	-18~-17	KND	KND	
1626	d/b+2 or FC+d/b or d+2	Sm	8	11s cs4~	-4	+7	+7	
1629	d/b+2, 1	Sm, m	8,12	s cs1~	-13(s)	+3	+3	
1733	d/b+3	l (TC)	23	24~25s cs6~	-17~-16	+1~+2s	KND	
1697	d/b+4	l	7	15	-13	-2	-2	
1698	d/b+4, 3	l, h	7,10	15	-11	0	0	
1641	d/b+1+2	m, m	20,20	21	-4	KND	KND	
