move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2210	in rage d+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art
1822	in rage b+1+2*	m	35	13~14	+3~+4 (wl+9)	KND	KND	Rage drive
1726	1	h	7	10	+1	+8	+8	
1801	1, 1	h, m	7,21	10	-11~-10	+2~+3	CS	
1803	1, 1, 2	h, m, m	7,21,5	10	-14~-13	-3~-2	-3~-2	
1804	1, 1, 2, 1	h, m, m, m	7,21,5,5	10	-14~-13	-1~0	-1~0	
1585	1, 2	h, h	7,9	10	-1	+7	+7	
1586	1, 2, 2	h, h, h	7,9,10	10	-13	+3	+3	
	1, 2, 2, b	h, h, h	7,9,10	10b	-11	+5	+5	
1588	1, 3	h, h	7,17	10	-5~-4	+6~+7	Launch (JG?)	
1604	2	h	8	10	-3	+5	+5	
1608	2, 4	h, m	8,10	10	-12	-1	-1	
1609	2, 4, 1	h, m, m	8,10,20	js12~19	-13	KND	KND	
	2, 4, 1, b (Cancel)	h, m	8,10	12~19b	-13	-2	-2	
1630	3	h	15	16	-11	0	0	
1631	3, 3	h, h	15,18	16	-10	+1	+1	
1632	3, 3, 4	h, h, l	15,18,23	16b	-12~-11	KND	KND	
	3, 3, 4, b (Cancel)	h, h	15,18	16b	-13	-2	-2	
1638	4	h	17	11	-8	+3	KND	
1605	2~1	m	10	24~25 (24~)	-3~-2s	+8~+9s	+8~+9s	
1606	2~1, 1	m, m	10,20	24~25 (24~)	-13~-12	Launch	Launch	
1634	3~4	m (TJ)	27	34~36 (35~) js20~	-7~-5s	KND	KND	
	3~4, b	m (TJ)	27	34~36b (35~) js20~	-2~-0s	KND	KND	
1636	3~4, 3	m (TJ), l	27,21	s cs6~	-26~-14	KND	KND	
1639	4~3	m (TC)	25	27~36a (28~) js15~	-4~+5	+4~+13s	KND	
1598	1+2	m(Absorbs 1 h/m hit)	24	21~22 (2~7)	-13~-12	CS(KND)	CS	
1590	1+4	lh	7,10	21~22, 41~42	-31s	+6~+7	+6~+7	
	1+4 (Second hit only)	h	10	41	-2~-1	+6~+7	+6~+7	
1728	f+2	m	12	16~17	-8~-7	+3~+4	FS (+10~+11g) 23~24	
1730	f+2, 1	m, m	12,10	16~17	-5	+6	+6	
1731	f+2, 1, 2	m, m, m	12,10,20	16~17	-19~-18	KND	KND	
1732	f+3	m	10	21	-3	+9	+9	
1737	f+3, 4	m, m (TJ)	10,20	js21~	-16~-15	Launch (JG?)	Launch (JG?)	
1739	f+4	h (TJ)	15	18~19	-9~-8	CS	CS	
	f+4, B	h (TJ)	15	18~19b	-5~-4	CS	CS	
1744	f+4, 3	h (TJ), m	15,30	18~19	-10~-7	KND	KND	
	f+4, 4 (Close)	h (TJ), l (TC)	15,22	cs10~	-12	KND	KND	
1745	f+4, 4	h (TJ), l (TC)	15,15	cs10~	-12~-10	-1~+1	KND	
1815	f+1+2	h	28	19~20	-9~-8	KND	KND	Tail spin, Homing
	d/f+1	m	12	14	0	+6	+36g(m)	
1778	d/f+2	m	15	20	-9	+4	+4	
1779	d/f+2, 2	m, m	15,21	20	-6~-5	KND	KND	Wall bounce
1780	d/f+3	m	21	18~19	-7~-6	Launch	Launch	
1781	d/f+4	m	14	15	-6	+5	+5	
1782	d/f+4,2	m	14,15	15	-11	+1	+1	
1783	d/f+4,2,1+2	m	14,12,23	15	-19	KND	KND	
1785	d/f+3+4	m	23	23~27	-8~-4	KND	KND	Homing, Tail spin
1768	d+2	l (TC)	17	20~21s cs6~	-12~-11	-1~0	KND	
1771	d+4	l	7	14~15	-11~-10	0~+1	0~+1	
1772	d+4, 1+2	l, m	7,22	14~15	-10	KND	KND	
1591	d/b+1	m	12	16	-12	+4	+4	
1593	d/b+1, 2	m, m	12,18	16	-12~-11	+7~+8	KND	
	d/b+1, F	m, (STC)	12	16	-16	0	0	
	d/b+1, F (After stance ends)	m, (STC)	12	16	-41	-25	-25	
	d/b+1, B	m, (KNP)	12	16	-9	+7	+7	
	d/b+1, B (After stance ends)	m, (KNP)	12	16	-35	-19	-19	
1592	d/b+1, 4	m, h	12,23	16	-2~-1	KND	KND	Tail spin
1616	d/b+2	l (TC)	10	20~21 cs6~	-11~-10	0~+1	0~+1	
1617	d/b+2, 2	l (TC), l (TC)	10,10	cs1~	-17~-15	KND	KND	
	d/b+2, 2, b	l (TC)	10	20~21 cs6~	-15~-13	-4	-4	
1619	d/b+2, 2, 2	l (TC), l (TC), m	10,10,25	1~	-8~-7	KND	KND	
1786	d/b+3	l (TC)	14	16~17s cs6~	-15~-14	+4~+5s	+4~+5s	
1774	d/b+4	l (TC)	20	30~32s cs6~	-26	KND	KND	Homing
1596	d/b+1+2	m	15	21~22	0~+1	+8~+9	+8~+9	
1597	d/b+1+2, 2	m, l (TC)	15,15	s cs8~	-11~-10	0~+1	KND	
1747	b+1	h	17	10~11	-10~-9	+1~+2	KND	
1748	b+2	m?	15	17	-11	0s	0s	
1749	b+2, 3	m, l?	15,10	17	-11~-9	0~+2	+8~+10s	
1750	b+2, 3, 4	m, l, m	15,10,13	17	-12~-11	KND	KND	
