move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2342	in rage LFS or RFS d+3+4	m	55	20 pc8~17	-7	KND	KND	Rage art
1669	in rage d+3+4	lm	7,10	12,28~29	-4	0	0	Rage drive
1671	in rage d+3+4, 4	lm, m (TJ)(RFF)	6,9,27	js14~	7s	JG	JG	Rage drive
1537	in rage u/f+3, 4, 3+4	m (TJ), m, hh	16,15,17,27	28F	+4	KND	KND	Rage drive
	in rage LFS u/f+3, 4, 3+4	m (TJ), m, hh	14,13,17,27	js1~	+4	KND	KND	Rage drive
1627	1	h	7	10	+1	+8	+8	
1826	1, 1	h, h	7,8	10	-2	+6	+6	
1834	1, 1, 3	h, h, l	7,8,10	10	-12	-1	-1	
1835	1, 1, 3, 3	h, h, l, h	7,8,10,14	10	-14	-3	-3	
1596	1, 2	h, h	7,10	10	-1	+7	+8	
	1, 2, 3	h, h, (Special)	7,10	10	+3	+11g	+12	
	1, 2, 4	h, h, (Special)	7,10	10	+3	+11g	+12	
1852	1, 2, f+3	h, h, m	7,10,14	10	-8	+3	+3	
1933	1, 2, f+4	h, h, h (TJ)	7,10,34	js14~	0	Tail spin	Tail spin	Tail spin
1601	2	h	9	10	0	+8	+9	
	2, 3	h, (LFS)	9	10	+3	+11g	+12	
	2, 4	h, (RFS)	9	10	+3	+11g	+12	
	2, f+3	h, m	9,14	10	-8	+3	+3	
	2, f+4	h, h (TJ)	9,34	js14~	0	Tail spin	Tail spin	Tail spin
1604	3	h	15	14	-7	+4	+4	
1831	3, 3	h, m	15,12	14	-13	-7	-2	
	3, 3, F	h, m, (LFS)	15,12	14	+2	+8	+13	
1689	3, 3, 3	h, m, m	15,12,15	14	-14	KND	KND	
1926	3, 3, 4	h, m, h, (RFS)	15,12,15	14	10g	20g	20	
1690	3, 3, d/f or f+4	h, m, h	15,12,23	14	-1	KND	KND	
1948	3~4	mm (TJ)	11,21	22	-3	KND	KND	
1611	4	h	14	11	-6	+5	+5	
1844	4, 3	h, m(LFF)	14,12	11	-6	+5	+5	
	4, 3, f (Cancel)	h, (LFS)	14	11	-6	+5	+5	
1893	4, 4	h, h, (RFS)	14,13	11	-1	+10g	+10	
1918	4, f+4	h, h(RFF)	14,13	11	-5	+6	+6	
	4, 4, 3	h, h, m(RFF)	14,13,20	11	-15s	KND	KND	
1922	4, 4, 4	h, h, h, (RFS)	14,13,10	11	-1	+10g	+10	
1924	4, 4, f+4	h, h, h(RFF)	14,13,25	11	-6	+5	+5	
1925	4, 4, 4, 4	h, h, h, h(RFF)	14,13,10,20	11	+2	KND	KND	
	4, 4, 4, 3	h, h, h, m(RFF)	14,13,10,20	11	-15s	KND	KND	
	1+2	(RFF)	b	11~12				
	3+4	(RFF)		11~12				
1628	f+2	m(RFF)	15	16	-2	+9	+9	
	f+3	(Special)		13~				
1825	f+3~n+3	m	25	20	-16	KND	KND	
	f, n+4	(Special)		23~				
1637	f+4	h, (RFS)	21	17~23	+8~+12	+19~+23g	+19~+23g	
1629	f+1+2	m	17	15	-9	+2	CS	
1686	d/f+1	m	10	13	-1	6	6	
1687	d/f+1, 3	m, m	10, 15	13	-2	6	6	
	d/f+2	m	13	15	-7	Launch (JG?)(+4a)	Launch (JG?)	
	d/f+3	m	12	22	-14	-4	-4	Power crush
	d/f+3, 4	m, m	12,20	22	-14	KND	KND	
	d/f+3, f (Cancel)	(LFS)		22~23				
1649	d/f+4	m(RFF)	20	16	-8	+8	KND	Homing, Tail spin
	d/f+1+2	m	12	13	-3	+8	+8	
	d/f+3+4	m(, (Sky)(throw))	8(22)	15	-11	0	0	
1666	d+3	l	7	17	-13	-2	-2	
1927	d+3, 4	l, h, (RFS)	7,13	17	8g	15g	19	
1682	d+4	l (TC)	7	19s cs6~	-17	-6	-6	
1892	d+4, 4	l (TC), h	7,22	19 6~	-8	Launch (JG?)	Launch (JG?)	
1675	d/b+3	l (TC)	12	19s cs4~	-13	0	+7	
1691	d/b+4	l	12	16	-12	-8	-1	
	d/b+4, f	l, (RFS)	12	16	-1	+3	+10	
1789	d/b+4, 4	l, h	12,21	16	-1	KND	KND	Tail spin
1698	d/b+3+4	!	40	61	KND	KND	KND	
	d/b+3+4, b, b (Cancel)	(LFS)		61				
1600	b+1	m	15	15	-14	-1	-1	
1646	b+2	h	18	13	-9	15k	15k	
1959	b+3	m	17	16	-19	Launch (JG?)	Launch (JG?)	
1648	b+4	h(RFF)	20	13	-7	2	CS	41
1956	u/b+3	m	8	16	-14	-3	-3	
1957	u/b+3, 3	m, h (TJ), (LFS)	8,15	16	+3	KND	KND	Tail spin
1958	u/b+3, 4	m, m, (RFS)	8,16	16	-4	+12g	+12g	
1560	u/b+4	m (TJ)	18	17F	-8	+10	+10	44
1546	u+3	h (TJ), (LFS)	25	20F	5	uKZD	uKZD	
1561	u+4	m (TJ), (RFS)	18	16F	3	11g	11	
1917	u+3+4	m (TJ)	20	25	-7	KND	KND	51
1518	u/f+2	m (TJ)	22	26	+5s	+6s	KND	
1716	u/f+3	m (TJ)	15	28	-6	KND	KND	
1875	u/f+3, 4	m (TJ), m	15,14	js1~	-8	Launch (JG?)	Launch (JG?)	
	u/f+3, 4 (when second hit inputted)	m (TJ)	15	js9~	-13~-12	KND	KND	
1833	u/f+3, 4, 3	m (TJ), m, h	15,14,25	9~		KND		
1570	u/f+4	h (TJ), (RFS)	12	22	-2	+4	+4	
1571	u/f+4, 4	h (TJ), m (TJ), (RFS)	12,12	js1~5	0	6	6	
1572	u/f+4, 4, 4	h (TJ), m (TJ), l, (RFS)	12,12,12	1	1	7	7	
1900	u/f+3+4	mh (TJ)	9,8	14	-10	+1	+1	
1902	u/f+3+4, 4	mh (TJ), m (TJ)	9,8,13	js1~	-13	+4	+4	
1864	f, F+3	m(RFF)	24	22	6	6s	6s	
1894	f, F+4	m(RFF)	22	17	-7	KND	KND	
