move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2047	In rage d+1+2	m (throw)	10,45	20	-22	throw	throw	Rage art
1657	In rage b+2+3	m, m	10,10	22	+8	JG	JG	Rage drive
1656	In rage b+2+3, F	m, m	10,10	22	6g	KND	KND	Wall bounce
1658	In rage b+2+3, B	m, m	10,10(,3)	22	-7	JG	JG	
1587	1	h	7	10	+1	+8	+8	
1588	1, 1	h, h	7,9	10	-3	+8	+8	
1589	1, 1, 2	h, h, m	7,19,17	10	-9	+5	KND	
1590	1, 2	h, h	7,9	10	-8	+3	+3	
	1, 2*	h, h (INT)	7,9		-8	+3	+3	
1592	1, 2, 2	h, h, m	7,9,22	10	+4	JG	JG	
1593	1, 2, 4	h, h, h	7,9,13	10	-9	+1	KND	
1598	1, 4	h, h	7,17	10	-6	+3	+3	
	1, 4, 2	h, h, m	7,17,20	10	-5	+6s	KND	
1603	2	h	9	11	-8	+3	+3	
1606	2, 1	h, h	9,12	11	-7	+4	+4	
1607	2, 1, 4	h, h, l	9,12,15		-12	+3s	KND	
1609	2, 2	h, m	9,17		-14	+1s	+1s	
1612	2, 2, 2	h, m, m	9,17,17		-14	+1s	+1s	
1614	2, 2, 2, 2	h, m, m, m	9,17,17,20		-14s	KND	KND	
	3	h	25	13	-9	+2	+2	
1682	4	h	17	12	-6	+3	+3	
1683	4, 2	h, m	17,20		-5	+6s	KND	
1736	1+2	h, m	14,24	13	-14	KND	KNd	
1630	2+3	m	0	14	-7	+2	+14	
1615	f+2	h	10	14	-7	+4	+4	
1616	f+2, 2	h, m (throw)	10,15(,25)		-12	throw	throw	
1664	f+3	m	13	18	-7	+9	+9	
1669	f+3, 2	m, m	13,20		-19	KND	KND	
1641	f+1+2	m	21	24 pc8	-15	JG	JG	Power crush
1634	f+2+3	l	16	28	-12	+5	+5	
1717	d/f+1	m	13	13	-3	+4	+4	
1721	d/f+1, 1	m, h	13,9		-4	+7	+7	
1725	d/f+1, 1, 2	m, h, m	13,9,21		-13	KND	KND	Tail spin
1723	d/f+1, 2	m, m	13,20		-11	+7	+7	
1722	d/f+1,2*	m, m (INT)	13,20		-11	+7	+7	
1729	d/f+2	m	12	15	-14	JG	JG	
	d/f+2*	m (INT)	12		-15	JG	JG	
1737	d/f+3	m	13	15	-7	+4	+4	
1738	d/f+3, 1	m, h	13,12		-2	+9	+9	
1740	d/f+3, 1, 2	m, h, m	13,12,20		-11	+4s	KND	
1739	d/f+3, 1, 4	m, h, m	13,12,23		-14	KND	KND	
1742,1743	d/f+4	m	15	14	-7	+4	+4	
1746	d/f+4, 2	m, h	15,20		+1	+6	+6	
1745	d/f+4, 2*	m, h (INT)	15,20		+5	+10	+10	
1744	d/f+4, 3	m, m	15,18		-9	+7	KND	
1734	d/f+1+2	m, m	10,15	22	-14s	KND	KND	
	d/b or d+1	sm	5	10	-5	+6	+6	
1619	d+2	m	17(,30)	17	-9	+2S	throw	
1708	d+3	l	12	15	-12	-1	-1	
	d+4	l (TC)	7	12 cs4	-13	-2	-2	
1622	d/b+2	l	25	24	-15	+7	+7	
	d/b+3	l (TC)	12	16 cs6	-15	-4	-4	
1713	d/b+4	l	15	19	-13	+3	+7	
1646	d/b+1+2	h	26	21	-8	+11k	KND	Homing, Tail spin
1645	d/b+1+2*	h!	33	43	+11k	+11k	KND	Homing, Tail spin
1726	b+1	m	12	16	-9	+2	+2	
1727	b+1, 2	m, m	12,23		-10	KND	KND	Tail spin
1626	b+2	h	15	16	-9	-3	-3	Homing
1627	b+2, 2	h, m	15,20(,30)		-11	throw	throw	
1628	b+2, 3	h, m	15,20		-6	KND	KND	
1690	b+3	l	22	23	-12	+5	+11	
1694	b+4	m	20	20	-9	+2	KND	
1643	b+1+2	m	25	22	+4	KND	JG	
	u/b or u or u/f+1+2	m (TJ)	12 js9	18	-12	-1	-1	
1637	u/b+2	m	20	25	-20	KND	KND	
1625	u or u/f+2	h	25	24	-9	KND	KND	
1559	u/b or u or u/f+3	m (TJ)	25	29 js9	-9	KND	KND	
1562	u/b or u or u/f+4	m	20	17	-7	+5	KND	
	u/f, N, 4	m (TJ)	25	23 js9	-11	KND	KND	
1629	f, F+2	m	22	18	-9	KND	KND	
1670	f, F+3	m	13	18	-4	+8	+8	
1679	f, F+3, 2	m, m	13,23		-20	KND	KND	
1685	f, F+4	m	23	24	+4	KND	KND	Wall bounce
1633	f, F+1+2	m	21	28	-6	cs	cs	
1602	qcf+1	m	25	14	-19	KND	KND	
1638	f, f, f+2	m	30	20	+9g	KND	KND	
	FC+1	sm (TC)	5	10	-5	+6	+6	
	FC+2	sm (TC)	8	13	-7	+4	+4	
	FC+3	l (TC)	12	16	-15	-4	-4	
