move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2349	in rage d+1+2	m	55	20 pc8~17	-22	Throw(KND)	Throw(KND)	Rage art
1756	in rage f+2+3	m (TJ)	50	20~21 js5~17	+9~+10g (wl+15g)	KND	KND	Rage art
	in rage f+2+3, d/f	m (TJ), (Special)	50	20~21	+28~+29?	KND	KND	Rage art
1587	1	h	7	10	+1	+8	+8	
1605	1, 2	h, h	7,10	10,20	-1	+5	+5	
	1, 2, u or D	h, h, (Special)	7,10	10,20	0	+6	+6	
1731	1, 2, 1	h, h, h	7,10,6	10,20	-3	+4	+4	
1792	1, 2, 1, 4	h, h, h, l (TC)	7,10,6,12	s cs10~	-13	-2	-2	
1719	1, 2, 3	h, h, m	7,10,15	10~	-13	+2	+2	
1791	1, 2, 4	h, h, h	7,10,22	10~	-6	KND	CS	Tail spin
1752	1, 2, 1+2	h, h, m	7,10,22	10~	-14	KND	KND	
1741	1, 2, 1, 2	h, h, h, h	7,10,6,6	10~	-10	+1	+1	
1752	1, 2, 1, 2, 1+2	h, h, h, h, m	7,10,6,6,22	10~	-14	KND	KND	
1594	1, 4	h, h	7,17	10~	-4	+1	CS	
1595	1, 4, 1	h, h, m	7,17,21	10~	-11~-10	+15~+16kg	KND	Tail spin
1732	2	h	10	10	+1	+7	+7	
1732	2, 1	h, h	10,6	10,26	-3	+4	+4	
1792	2, 1, 4	h, h, l (TC)	10,6,12	s cs10~	-13	-2	-2	
1719	2, 3	h, m	10,15	10~	-13	+2	+2	
1791	2, 4	h, h	10,22	10~	-6	KND	CS	Tail spin
1752	2, 1+2	h, m	10,22	10~	-14	KND	KND	
1608	3	h	14	14	-16	-5	-5	
1771	3, 3	h, l (TC)	14,10	cs18~	-17	-6	-6	
1772	3, 3, 2	h, l (TC), m	14,10,10	18~	-13~-11	Launch (JG?)	Launch (JG?)	
1774	3, 3, 4	h, l (TC), h	14,10,18	18~	-6	+5	Launch (JG?)	
1801	3, 3, 4, 3	h, l (TC), h, m	14,10,18,20	18~	+2~+3s	+5~+6s	KND	
1793	3, 4	h, h	14,20	18~	-6	KND	CS	Tail spin
	3, d	h, (Special)	14	14	-27	-16	-16	
	3, d, D	h, (Special)	14	14s	-23	-12	-12	
1753	3, d, 1+2	h, (Special), m	14,22	14	-11	KND	KND	
1626	4	h	15	11	-9	+8	Launch	
1775	4, 3	h, l (TC)	15,13	cs10~	-17	-3	-3	
1744	4, 3, 2	h, l (TC), m	15,13,10	10~	-13~-11	Launch (JG?)	Launch (JG?)	
1798	4, 3, 4	h, l (TC), h	15,13,18	10~	-6	+5	Launch (JG?)	
1801	4, 3, 4, 3	h, l (TC), h, m	15,13,10,20	10~	+2~+3s	+5~+6s	JG	
	4, u	h, (Special)	15	11	-34	-17	Launch (JG?)	
	4, u, D	h, (Special)	15	11s	-30	-13	Launch (JG?)	
1753	4, u, 1+2	h, (Special), m	15,22	11	-11	KND	KND	
1600	1+4	mm	4,20	15~16, 28~29	-5~-4	+4~+5s	+6~+7s (+8s)	
1635	f+2	h	12	13	-3	+8	+8	
1636	f+2, 1	h, m	12,12	13	-13~-12	-6~-5a	-6~-5a	
1638	f+2, 1, 2	h, m, m	12,12,20	13	-12~-10s	+4~+6s (KND)	KND	
1637	f+2, 1, 4	h, m, h	12,12,22	13	-3~-1	KND(KND)	KND	Tail spin
1647	f+3	hh	10,20	14~15, 25~26	+6~+7	KND	CS	
1644	f+3 (Second hit ducked)	h	10	14~15	-24s			
	f+3 (Only first hit on counter)	h	10	14~15			CS (12~13)	
1651	f+4	h	14	16	-12	-3	-1	
1654	f+4, 3	h, m	14,13	16	-14	Launch (JG?)	Launch (JG?)	
1655	f+4, 3, 3	h, m, m (TJ)	14,13,20	a js19~	-14~-11	KND	KND	
1652	f+4, 4	h, h	14,17	19~	+1	+13kg	KND	
1748	f+1+2 or WS+1+2	m	24	17 pc8~16	-14	KND	KND	Power crush
1693	d/f+1	m	13	13	-1	+5	+5	
1747	d/f+1, 2	m, h	13,10	13,30	-3	+2	+9	
	d/f+1, 2, f or d/f	m, h, (Special)	13,10	13,30	-3	+2	+9	
	d/f+1, 2, u or D	m, h, (Special)	13,10	13,30	-1	+4	+11	
	d/f+2	m	12	15~16	-7~-6	Launch (JG?)(+4a)	Launch (JG?)	
1697	d/f+3	m	13	14	-11	+1	+1	
1735	d/f+3, 1	m, h	13,10	14	-8	+3	+3	
	d/f+3, 1, d or u (Cancel)	m, (Special)	13	14	-19	-7	-7	
1737	d/f+3, 1, 2	m, h, h	13,10,6	14	-10	+1	+1	
1752	d/f+3, 1, 2, 1+2	m, h, h, m	13,10,6,22	14	-14	KND	KND	
1761	d/f+3, 2	m, h	13,12	14,33	+1	+2	+12	
	d/f+3, 2, f or d/f	m, h, (Special)	13,12	14,33	-1	0	+10	
	d/f+3, 2, d or u	m, h, (Special)	13,12	14,33	0	+1	+11	
1732	d/f+3, 2, 1	m, h, h	13,12,6	14,33	-3	+4	+4	
1792	d/f+3, 2, 1, 4	m, h, h, l (TC)	13,12,6,12	s cs10~	-13	-2	-2	
1764	d/f+3, 2, 3	m, h, m	13,12,21	10~	-17~-16	Launch (JG?)	Launch (JG?)	
1791	d/f+3, 2, 4	m, h, h	13,12,22	10~	-6	KND	CS	Tail spin
1760	d/f+3, 2, d+3	m, h, l (TC)	13,12,10	s cs10~	-14	-3	-3	
